Agitatsiooni,(a|o).i(t|f)(a+|o+)(t|f)(s|f)+io+(n|u)
Aiheuttaa,(a|o)i(h|b)(e|c)u(t+|f+)(a+|o+)
Aika,(a|o)(i+|j+|ij)(k|f)(a|o)
Aikakausi,(a|o)(i|j|ij)(k|f)(a|o)(k|f)(a|o)u(s|f)i
Aikaväli,(a|o)(i+|j+|ij)(k|f)(a|o)(v|w)(a|ä|o|ö)li
Ajanjakso,(a|o)(i+|j+|ij)an(i|j|ij)a(k|f)(s|f)(a|o)
Ajankohta,(a|o)(i|j|ij)(a|o)n(k|f)o(h|b|d)(t|f)(a|o)
Akatemia,(a|o)(k|f)(a|o)(t|f)(e|c)(m|w)i(a|o)
Alamainen,(a|o)l(a|o)(m|w)(a|o)in(e|c)n
Alku,(a|o)l(k|f)u
Alue,(a|o)lu(e|c)
Arkisto,(a|o)r(k|f)i(s|f)(t|f)(o|u|ä)
Artikkeli,(a|o)(r|c)(t|f)i(k+|f+)(e|c)li
Artikla,(a|o)(r|c)(t|f)i(k|f)l(a|o)
Asema,(a|o)(s|f)(e|c)(m+|w+)(a|o)
Asukas,(a|o)(s|f)(u|n)(k|f)(a|o)(s|f)
Avustaa,(a|o)(v|w)(u|n)(s|f)(t|f)(a|o)
Bonapartism,(b|d)onapartism
Demokratia,.(e|c)(m|w)o(k|f)(r|c)(a|o)(t|f)i(a|o)
Dynastia,.(y|h|)(n|u)(a|o)(s|f)(t|f)i
Edistynyt,(e|c)(d|b|h)i(s|f)(t|f)(y|h)(n|u)(y|h)(t|f)
Eduskunta,(e|c)(d|h|b|t)u(s|f)(k|f)un(t|f)a
Edustajisto,(e|c)(d|b|h|t|)u(s|f)(t|f)a(ji|ij)(s|f)(t|f)o
Edustus,(e|c)(d|b|h)(u|n)(s|f)(t|f)(u|n)(s|f)
Eheys,(e|c)(h|b|d)(e|c)(y|h|b|d)(s|f)
Entinen,(e|c)n(t|f)in(e|c)n
Erilainen,(e|c)(r|c)il(a|o)in(e|c)n
Erkaantua,(e|c)r(k|f)(a+|o+)n(t|f)u(a|o)
Erottaa,(e|c)(r|c)(o|a)(t+|f+)
Esittää,(e|c)(s|f)i(t+|f+)
Etu,(e|c)(t|f)(u|n)
Eurooppa,(e|c)ur+op+(a|o)
Eurooppalainen,(e|c)ur(o+|a+)p+(a|o)l(a|o)in(e|c)
Hallinnallinen,h(a|o)l+in+(a|o)l+in(e|c)
Hallinto,h(a|o)l+in(t|f)o
Hallintojärjestelmä,hal+in(t|f)o(j|f)(ä|a)rje(s|f)(t|f)(e|c)lm(ä|a)
Hallitsija,h(a|o)l+i(t+|f+)(s+|f+)(i|j|ij)(a|o)
Hallitus,hal+i(t|f)u(s|f)
Hallitusaika,h(a|o)l+i(t|f)u(s|f)(a|o)i(k|f)(a|o)
Hallitusmuoto,h(a|o)l+i(t|f)u(s|f)(m|w)u(o|a)(t|f)(o|a)
Herttua,h(e|c)r(t+|f+)u(a|o)
