,en_1620,en_1620_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,poland,0.642,sueden,0.717,denmark,0.788,denmark,0.741,denmark,0.785,denmark,0.792,denmark,0.799,denmark,0.848,bavaria,0.686,denmark,0.893,bweden,0.9,swedeu,0.89,norway,0.808,norway,0.769,norway,0.785
1,french,0.606,denmark,0.664,swe,0.759,ofsweden,0.694,poland,0.702,pruflia,0.725,swveden,0.797,prussia,0.796,denmark,0.683,swveden,0.863,swedeu,0.879,bweden,0.885,norwav,0.765,norwav,0.685,finland,0.768
2,spaine,0.573,spain,0.618,prussia,0.735,swe,0.686,ruffia,0.652,pruffia,0.708,pruflia,0.771,swveden,0.741,swveden,0.665,germany,0.849,swveden,0.851,swveden,0.874,finland,0.721,esthonia,0.669,portugal,0.712
3,france,0.566,brandenburg,0.602,ofsweden,0.731,denmaik,0.682,ruflia,0.642,poland,0.703,pruffia,0.769,denmaik,0.715,prussia,0.658,prussia,0.847,bavaria,0.849,sveden,0.873,hungary,0.696,latvia,0.654,switzerland,0.696
4,ta,0.518,stockholm,0.59,poland,0.712,swcden,0.678,pruffia,0.637,denmaik,0.699,spain,0.739,swedeu,0.704,sardinia,0.656,denmnark,0.821,norway,0.845,isweden,0.853,scandinavia,0.695,netherlands,0.653,oslo,0.688
5,bohemia,0.505,poland,0.587,czar,0.702,sueden,0.657,rullia,0.627,prullia,0.688,prulfia,0.72,france,0.694,flanders,0.625,bavaria,0.819,germany,0.843,norway,0.842,roumania,0.69,austria,0.65,hungary,0.687
6,ef,0.471,gottorp,0.579,pomerania,0.657,poland,0.642,emprefs,0.624,prufiia,0.682,prufiia,0.707,pruffia,0.692,norway,0.611,belgium,0.818,denmark,0.835,siveden,0.833,portugal,0.689,italy,0.648,rumania,0.685
7,generall,0.454,copenhagen,0.564,schonen,0.643,swveden,0.642,pruflia,0.618,prulfia,0.677,kuflia,0.697,finland,0.691,netherlands,0.611,swedeu,0.817,sveden,0.829,swedon,0.822,greece,0.687,spain,0.642,spain,0.683
8,king,0.452,saxony,0.552,stockholm,0.641,russia,0.632,ruilia,0.611,sardinia,0.675,pruffla,0.696,pomerania,0.688,hungary,0.603,sardinia,0.816,dennark,0.828,norwav,0.82,spain,0.686,finland,0.64,copenhagen,0.678
9,tbe,0.438,holstein,0.547,swedens,0.631,czar,0.629,holftein,0.603,spain,0.671,pruftia,0.694,pruflia,0.685,germany,0.598,prnssia,0.815,germauy,0.826,swedeni,0.812,denmark,0.686,belgium,0.637,scandinavia,0.678
