,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,realm,0.657,jects,0.691,jects,0.764,jects,0.796,subjefts,0.846,subjefts,0.793,subjeas,0.824,subjedts,0.736,suhjects,0.795,snbjects,0.908,sabjects,0.928,subiects,0.933,subjeots,0.808,jects,0.8,jects,0.799
1,government,0.627,subjefts,0.636,subjefts,0.629,subjeds,0.748,subjeas,0.834,subjeas,0.78,subjeds,0.809,subjets,0.729,snbjects,0.784,subjeots,0.888,snbjects,0.924,snbjects,0.924,subject®,0.8,subiects,0.775,subiects,0.745
2,protestant,0.618,subjetts,0.589,subjeds,0.624,subjedts,0.721,subjeds,0.816,subjes,0.773,subjefts,0.802,subjecls,0.727,subiects,0.769,suhjects,0.886,subjeots,0.918,subjeots,0.919,subiects,0.78,subject®,0.718,sublects,0.617
3,nation,0.584,sub,0.52,subjeas,0.607,subjefts,0.718,subjes,0.8,subjeds,0.765,subjedts,0.777,subjeds,0.723,subjeets,0.762,subiects,0.881,subiects,0.916,sabjects,0.904,jects,0.74,übjects,0.683,subjects—,0.548
4,power,0.582,obedient,0.515,subjes,0.596,subjeas,0.712,subjefs,0.797,subjets,0.755,subjedis,0.773,subjecis,0.722,sabjects,0.752,sabjects,0.873,subjeets,0.912,aubjects,0.902,bubjects,0.729,subjeots,0.662,students,0.504
5,laws,0.582,dutiful,0.515,sub,0.562,subjes,0.712,subjets,0.794,fubjects,0.737,subjes,0.77,jects,0.722,suljects,0.741,suljects,0.87,aubjects,0.902,suhjects,0.898,subjecte,0.708,iects,0.581,languages,0.482
6,enemies,0.577,loyal,0.496,subjeffs,0.56,subjets,0.693,subjefls,0.759,fubjes,0.734,subjets,0.769,subiects,0.721,subjecis,0.738,subjeets,0.868,eubjects,0.898,subjeets,0.886,eubjects,0.694,subjects—,0.574,geography,0.481
7,designs,0.565,dominions,0.484,subjets,0.558,subjcts,0.686,subjeffs,0.75,subjefls,0.73,fubjects,0.751,subjeas,0.717,jects,0.737,bubjects,0.853,suhjects,0.888,suojects,0.882,subjecta,0.681,languages,0.521,mathematics,0.477
8,lives,0.554,faithful,0.409,subjecs,0.554,subjefs,0.677,subjedts,0.743,subjedls,0.726,subjefls,0.748,subjecs,0.715,subjecls,0.718,aubjects,0.837,subjecta,0.884,eubjects,0.881,snbjects,0.677,curriculum,0.508,—teacher,0.469
9,religion,0.553,bumble,0.4,fellowsubjects,0.508,subjefls,0.672,subjecs,0.739,fubjefts,0.723,subjecs,0.741,subjes,0.697,subjecu,0.707,eubjects,0.829,subjocts,0.879,subjocts,0.879,suojects,0.67,linguistic,0.507,mathema,0.468
10,duty,0.543,congratulate,0.39,subjefs,0.508,subjetts,0.657,subjecls,0.731,fubjedts,0.72,subjecls,0.737,subjefts,0.687,subects,0.686,subjecs,0.829,subjecte,0.874,bubjects,0.874,aubjects,0.669,arithmetic,0.505,syllabuses,0.467
11,kingdom,0.538,cious,0.388,jeas,0.488,subjeffs,0.648,subjels,0.721,subjcts,0.72,subjedls,0.73,subjedis,0.674,aubjects,0.683,sutjects,0.828,bubjects,0.873,subjecte,0.868,suhjects,0.666,riculum,0.503,lecturers,0.467
12,christian,0.537,subject,0.386,vassals,0.468,subjecs,0.644,subjetts,0.715,fubjeas,0.715,fubjedts,0.73,suhjects,0.664,subjects—,0.682,suijects,0.822,suljects,0.864,subjecta,0.862,übjects,0.648,science—phone,0.501,biology,0.457
13,title,0.528,loving,0.385,dutiful,0.465,subjcs,0.634,subjedis,0.713,subjefs,0.713,subjefs,0.728,fubjects,0.658,subjectsof,0.68,subjecte,0.816,subjeota,0.864,tubjects,0.859,subjecs,0.623,ject,0.5,teaching,0.456
