,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,creating,0.464,creating,0.497,creating,0.503,prompts,0.475,crcate,0.768,crcate,0.77,excite,0.661,cieate,0.678,ereate,0.861,oreate,0.893,oreate,0.903,oreate,0.731,creating,0.74,created,0.642
1,jealousies,0.424,created,0.49,foment,0.48,furnith,0.463,amazingly,0.713,creatc,0.737,creating,0.635,excite,0.655,crcate,0.855,creato,0.887,creato,0.871,creato,0.697,creato,0.706,creating,0.621
2,provoke,0.419,foment,0.488,procure,0.461,promotes,0.44,zingly,0.658,excite,0.61,engender,0.589,creating,0.644,cieate,0.825,cieate,0.874,cieate,0.833,creating,0.665,created,0.662,restore,0.594
3,animosities,0.402,constitute,0.442,constitute,0.45,leffen,0.435,appeite,0.655,creating,0.568,weaken,0.583,ereate,0.632,creatc,0.813,ereate,0.846,ereate,0.81,provoke,0.657,creates,0.649,undermine,0.592
4,breed,0.386,jealousies,0.433,conftitute,0.449,excite,0.418,appetite—none,0.646,engender,0.552,creates,0.577,tocreate,0.621,creato,0.81,crcate,0.783,excite,0.802,creates,0.655,crcate,0.636,promote,0.583
5,insinuate,0.382,creates,0.415,created,0.439,contribute,0.415,digcftion,0.641,foment,0.535,created,0.552,created,0.621,oreate,0.805,tocreate,0.778,crcate,0.776,created,0.634,engender,0.632,creates,0.569
6,tend,0.377,misunderstanding,0.414,creates,0.43,furnilh,0.411,apptite,0.624,promote,0.53,strengthen,0.547,engender,0.611,crente,0.783,creatc,0.749,tocreate,0.771,engender,0.622,promote,0.63,recreate,0.559
7,confound,0.377,propagate,0.412,apperite,0.427,promote,0.409,digeftion,0.609,creates,0.524,beget,0.545,diminish,0.569,engender,0.777,excite,0.743,createa,0.77,tensify,0.616,provoke,0.624,provoke,0.552
8,amuse,0.377,diffidence,0.384,reconcile,0.421,braes,0.407,digeilion,0.606,excitc,0.522,promote,0.544,augment,0.548,beget,0.754,creite,0.731,excito,0.747,intensify,0.616,intensify,0.624,intensify,0.549
9,vindicate,0.372,distrust,0.382,conflitute,0.418,bute,0.395,appetite,0.604,piomote,0.517,toexcite,0.535,beget,0.546,tocreate,0.745,beget,0.716,provoke,0.742,constitute,0.615,arouse,0.618,embroil,0.549
10,persuade,0.368,animosities,0.378,procuring,0.417,furniih,0.395,digeltion,0.601,prornote,0.517,creae,0.527,aggravate,0.541,excite,0.73,premote,0.71,exoite,0.719,excite,0.601,provide,0.591,dissipate,0.548
11,induce,0.364,discord,0.378,appetitc,0.414,matter,0.391,digeffion,0.597,provoke,0.512,provoke,0.522,creates,0.536,creite,0.716,engender,0.709,infuse,0.709,promote,0.599,stimulate,0.59,inspire,0.546
12,divide,0.361,fomented,0.374,promote,0.412,gratify,0.387,digellion,0.593,promnote,0.506,diminish,0.52,generate,0.536,stimulate,0.71,croato,0.708,intensify,0.708,dissipate,0.596,recreate,0.588,strengthen,0.544
13,encourage,0.359,appoint,0.373,cultivate,0.411,furnifh,0.385,digeflion,0.593,temove,0.502,irritate,0.52,provoke,0.526,creale,0.707,neutralise,0.704,appease,0.707,ereate,0.593,creatine,0.587,evolve,0.54
14,convince,0.356,excite,0.369,beget,0.404,defire,0.383,digeition,0.581,cxcite,0.501,operate,0.519,escite,0.524,remove,0.694,exeite,0.698,dispel,0.703,stimulate,0.587,impart,0.583,constitute,0.539
15,created,0.355,gratify,0.367,degrade,0.403,increafe,0.382,ceate,0.575,exifi,0.499,remove,0.519,lessen,0.518,counteract,0.687,exoite,0.695,promote,0.696,diminish,0.582,counteract,0.572,disrupt,0.534
16,tendency,0.351,reestablish,0.366,appetire,0.401,reltore,0.375,appetitc,0.564,pronote,0.492,exasperate,0.51,cxcite,0.517,weaken,0.686,stimulate,0.691,stimulate,0.689,embitter,0.578,infuse,0.57,reestablish,0.528
17,grant,0.348,expel,0.364,conciliate,0.395,jealoufies,0.374,digefion,0.563,jealoulies,0.489,exciting,0.509,raise,0.509,escite,0.686,excito,0.69,dissipate,0.687,weaken,0.577,constitute,0.568,allay,0.527
18,division,0.347,feuds,0.364,authorize,0.395,itnot,0.37,creates,0.561,jealoufies,0.487,revive,0.509,exasperate,0.509,superinduce,0.684,promote,0.689,awaken,0.684,reawaken,0.573,dissipate,0.565,engender,0.523
19,perswade,0.344,procure,0.355,heighten,0.393,foment,0.368,appe,0.56,reate,0.486,perpetuate,0.508,embarass,0.508,lemove,0.679,createa,0.688,diminish,0.682,accentuate,0.572,restore,0.563,initiate,0.522
20,encounter,0.34,disturbances,0.355,appetite,0.393,procure,0.367,digelion,0.555,beget,0.484,conciliate,0.507,awaken,0.508,creaite,0.679,infuse,0.684,dovelope,0.682,evoke,0.572,evolve,0.562,maintain,0.52
21,hatred,0.339,redound,0.354,jealousies,0.391,enriches,0.364,appette,0.546,flrengthen,0.472,foment,0.501,perpetuate,0.507,infuse,0.674,intensify,0.678,accentuate,0.677,inflame,0.566,dispel,0.547,impart,0.512
22,appoint,0.338,remove,0.346,calumniate,0.384,defite,0.363,digestion,0.539,digeition,0.47,inflame,0.498,dissipate,0.499,allay,0.673,excits,0.672,eicite,0.676,evolve,0.565,allay,0.545,stimulate,0.511
23,move,0.337,terminate,0.346,difquiet,0.383,appetite,0.362,reate,0.517,appetit,0.467,aggravate,0.495,embarrass,0.496,piomote,0.666,croate,0.671,induce,0.675,reestablish,0.564,perpetuate,0.545,counteract,0.51
24,obstruct,0.336,subdue,0.345,nominate,0.379,perpetuate,0.361,hindrance,0.493,created,0.466,deprefs,0.493,strengthen,0.496,tranquilize,0.664,revive,0.668,engender,0.673,infuse,0.561,engendered,0.543,forestall,0.51
25,incline,0.336,pleas,0.344,tend,0.378,animofities,0.359,cloying,0.492,pronmote,0.465,tend,0.492,superinduce,0.494,relieve,0.661,originate,0.666,cteate,0.671,exist,0.559,inspire,0.542,reassert,0.51
26,reconcile,0.334,alienate,0.343,prove,0.376,conftitute,0.358,geftion,0.488,leflen,0.464,augment,0.492,neutralise,0.493,createa,0.659,dispel,0.662,exasperate,0.67,counteract,0.555,conduce,0.54,dispel,0.51
27,accomplish,0.332,raise,0.343,minate,0.375,oceafions,0.358,crete,0.486,remove,0.464,prevail,0.49,tend,0.493,promete,0.658,dissipate,0.655,creates,0.669,appease,0.554,evoke,0.539,arouse,0.507
28,impose,0.332,inflame,0.341,animofities,0.369,raife,0.357,digef,0.467,operatc,0.463,dissipate,0.484,excile,0.49,evoke,0.658,oreato,0.65,tensify,0.668,arouse,0.553,embitter,0.536,achieve,0.506
29,accommodate,0.33,accrue,0.341,prefage,0.369,reflore,0.357,ama,0.46,amazingly,0.463,inspire,0.483,revive,0.49,strengthen,0.657,nromote,0.649,evoke,0.667,undermine,0.553,provido,0.532,introduce,0.506
30,envy,0.329,endless,0.341,begets,0.369,excites,0.357,drance,0.454,leften,0.462,raise,0.481,encourage,0.487,bringabout,0.656,creates,0.649,constitute,0.666,solidify,0.551,inculcate,0.531,subjugate,0.504
31,dissolve,0.329,revive,0.341,grant,0.367,furnifhes,0.357,furprifingly,0.447,cloy,0.461,agitate,0.481,encrease,0.486,creates,0.655,crente,0.647,discourage,0.665,transform,0.546,reestablish,0.53,unify,0.504
32,sham,0.327,divide,0.34,excites,0.364,thestomach,0.356,petite,0.445,creae,0.461,pronmote,0.478,impart,0.483,exoite,0.655,excita,0.647,exist,0.662,awaken,0.545,destroy,0.528,creation,0.5
33,distinguish,0.326,involve,0.34,crate,0.364,miflead,0.356,etite,0.44,operate,0.459,discontent,0.475,infuse,0.483,engendering,0.654,develop,0.646,creating,0.662,inspire,0.545,rekindle,0.528,induce,0.498
34,imagine,0.323,gratifie,0.336,introduce,0.363,ftrengthen,0.355,fiomach,0.44,jealou,0.458,jealousies,0.474,foment,0.481,derange,0.654,creata,0.646,reawaken,0.66,strengthen,0.543,achieve,0.526,frustrate,0.498
35,compose,0.323,pervert,0.333,digefion,0.362,difcourage,0.354,stomnach,0.43,digeflion,0.457,affect,0.474,excitc,0.478,excito,0.653,provoke,0.643,dissention,0.659,aggravate,0.542,encourage,0.525,perpetuate,0.498
36,vance,0.321,promote,0.333,reate,0.362,creates,0.353,rather,0.429,digef,0.457,involve,0.474,inspire,0.478,diminish,0.652,neutralize,0.64,disturb,0.657,alienate,0.541,beget,0.522,organise,0.497
37,redress,0.318,tend,0.332,clination,0.362,aggravate,0.352,excite,0.429,weaken,0.456,distrust,0.473,enfeeble,0.478,neutralise,0.651,cxcite,0.638,exeite,0.657,crcated,0.536,awaken,0.522,prerequisite,0.495
38,malicious,0.317,jea,0.331,involve,0.361,perplex,0.35,jealoufies,0.424,appetite,0.456,depress,0.473,stimulate,0.477,disorganise,0.65,counteract,0.638,embarrass,0.655,revive,0.533,eliminate,0.522,encourage,0.495
39,sort,0.316,juvenile,0.33,misunderstanding,0.36,teftes,0.349,beget,0.419,cloying,0.456,tranquillize,0.472,exciting,0.476,provoke,0.649,eicite,0.638,creatc,0.655,impart,0.533,undermine,0.518,provide,0.494
