,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,syftem,0.642,syftem,0.812,syftem,0.54,syftem,0.632,systemn,0.839,svstem,0.824,svstem,0.862,svstem,0.939,bystem,0.949,6ystem,0.928,svstem,0.895,svstem,0.861,sys,0.809
1,treatise,0.473,syflem,0.805,dispensatory,0.51,syflem,0.608,svstem,0.818,systemn,0.823,systemn,0.833,systom,0.913,svstem,0.927,bystem,0.927,6ystem,0.848,6ystem,0.789,svstem,0.791
2,anatomy,0.465,syltem,0.792,syltem,0.508,history,0.597,systern,0.788,sytem,0.79,systemi,0.811,sjstem,0.911,syatem,0.925,sjstem,0.921,eystem,0.817,sys,0.755,ystem,0.729
3,geography,0.464,syllem,0.787,syflem,0.506,syitem,0.595,systeni,0.77,sys,0.775,systeni,0.807,sysiem,0.896,syitem,0.922,syßtem,0.918,bystem,0.808,sytem,0.746,systems,0.646
4,essay,0.457,syfem,0.738,arithmetick,0.498,syltem,0.59,systemi,0.762,systen,0.749,sys,0.798,aystem,0.896,systam,0.922,svstem,0.915,ystem,0.785,systen,0.745,syste,0.575
5,practical,0.454,syfiem,0.732,praffical,0.472,syfem,0.585,ystem,0.736,systemi,0.742,ystem,0.794,ystem,0.893,systom,0.919,syitem,0.912,syetem,0.785,ystem,0.745,tematic,0.535
6,eflay,0.451,syftcm,0.704,arithmetic,0.471,botanist,0.579,systen,0.721,systern,0.742,systen,0.786,bystem,0.885,6ystem,0.917,syetem,0.91,sjstem,0.78,eystem,0.743,network,0.534
7,theory,0.437,sylem,0.699,theoretical,0.469,geogra,0.57,systein,0.714,systeni,0.734,sytem,0.785,6ystem,0.884,syttem,0.915,systom,0.91,sys,0.772,aystem,0.738,system—,0.528
8,scheme,0.437,præcordia,0.501,perspective,0.468,syfiem,0.569,systemof,0.712,systemr,0.723,sstem,0.778,eystem,0.881,3ystem,0.914,rystem,0.91,sytem,0.76,systems,0.719,cumbrous,0.512
9,philosophy,0.434,treatise,0.485,prafical,0.465,sylem,0.562,systems,0.699,systenm,0.708,systemof,0.777,systen,0.881,ystem,0.913,fystem,0.907,systen,0.755,sysem,0.717,syst,0.495
