,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,religious,0.415,individuals,0.55,individuals,0.587,fociety,0.649,munity,0.747,munity,0.742,munity,0.785,commuuity,0.911,commuuity,0.91,commuuity,0.943,oommunity,0.87,munity,0.832,munity,0.843
1,governmenr,0.411,munity,0.533,fociety,0.523,munity,0.625,comnmunity,0.726,poorer,0.61,communitv,0.73,commnnity,0.909,oommunity,0.9,communitv,0.915,munity,0.836,oommunity,0.758,communitv,0.72
2,legislature,0.409,nation,0.512,dependency,0.505,individuals,0.593,fociety,0.574,people,0.558,comnmunity,0.71,communitv,0.899,commnnity,0.878,commnnity,0.898,communitv,0.804,communitv,0.741,communities,0.538
3,helvetick,0.406,commonwealth,0.506,nation,0.499,focietv,0.563,mankind,0.561,communities,0.553,commuuity,0.7,comnmunity,0.853,comnunity,0.86,commanity,0.888,commnnity,0.735,communities,0.664,social,0.508
4,gallican,0.402,collective,0.496,legillature,0.497,focicty,0.557,focicty,0.542,ofsociety,0.546,community—,0.699,commnunity,0.853,commanity,0.854,oommunity,0.877,oommunitv,0.719,nation,0.661,commun,0.493
5,repugnant,0.401,individual,0.487,individual,0.477,mankind,0.557,individuals,0.532,mankind,0.545,thecommunity,0.667,commanity,0.842,communitv,0.853,comnmunity,0.868,communities,0.703,community—,0.649,munal,0.485
6,representative,0.398,executive,0.484,mankind,0.476,individual,0.55,offociety,0.531,fellowsubjects,0.524,commiunity,0.664,oommunity,0.841,eommunity,0.845,ommunity,0.861,commuuity,0.703,munitv,0.622,organisations,0.48
7,welfare,0.396,wellbeing,0.479,permanent,0.471,fociery,0.544,fbciety,0.521,wellbeing,0.523,commnunity,0.658,community—,0.831,munity,0.844,comnunity,0.859,ommunity,0.687,ommunity,0.599,munities,0.474
8,magistracy,0.396,fellowsubjects,0.478,executive,0.463,ibciety,0.538,focietv,0.518,nation,0.515,conimunity,0.649,munity,0.83,comnmunity,0.843,conmunity,0.853,ratepaying,0.64,communitys,0.593,communal,0.468
9,infringe,0.394,legistature,0.473,difhonour,0.462,nation,0.534,foclety,0.507,fociety,0.506,community—the,0.632,comnunity,0.827,commnunity,0.842,commnunity,0.853,workingclasses,0.634,munities,0.579,organi,0.462
10,freemen,0.389,constitutional,0.462,commonwealth,0.462,ficiety,0.532,ofmankind,0.503,classes,0.505,communities,0.625,communitythe,0.821,cemmunity,0.833,cemmunity,0.85,community—the,0.624,citizens,0.578,terests,0.462
11,hierarchy,0.389,germanick,0.46,felfifh,0.461,wellbeing,0.531,individual,0.502,individual,0.502,comimunity,0.625,eommunity,0.812,thecommunity,0.831,communityand,0.845,munitv,0.622,wellbeing,0.563,religion,0.459
12,vileges,0.388,welfare,0.457,legiflative,0.457,indivi,0.529,iociety,0.499,people—,0.498,classes,0.607,conmmunity,0.81,ommunity,0.828,conmmunity,0.831,munities,0.622,civilised,0.558,communitys,0.459
13,subjeffs,0.388,constituent,0.455,legiflature,0.455,mnankind,0.523,lociety,0.499,peope,0.495,conmmunity,0.603,ommunity,0.809,conmunity,0.822,eommunity,0.83,citizens,0.619,humanity,0.556,religious,0.455
14,nation,0.386,monwealth,0.452,opprefs,0.455,fuciety,0.515,thenation,0.496,immunity,0.494,communit,0.599,communityand,0.808,commuaity,0.815,commaunity,0.83,wageearning,0.612,communit,0.556,nation,0.452
15,chusing,0.382,mankind,0.451,neceflities,0.455,fiociety,0.506,indivi,0.481,clalfes,0.494,clasaes,0.599,thecommunity,0.807,comimunity,0.811,comrmunity,0.829,interests,0.604,mankind,0.554,ocial,0.452
16,uncharitable,0.381,essentially,0.45,corruption,0.454,legiflature,0.492,duals,0.48,peopl,0.492,wealthier,0.584,conimunity,0.803,commaunity,0.809,comimunity,0.828,nation,0.604,workingclasses,0.547,dividuals,0.452
17,credulity,0.378,uncorrupt,0.448,venality,0.453,lociety,0.488,penple,0.479,civilized,0.49,mankind,0.582,communty,0.798,conimunity,0.8,commnuity,0.828,lawabiding,0.598,townspeople,0.541,ligious,0.452
18,privi,0.375,legislature,0.446,chriftians,0.452,communities,0.47,faciety,0.478,peopie,0.489,ofsociety,0.574,comniunity,0.797,communuity,0.794,munity,0.824,wellbeing,0.598,community—the,0.539,citizenship,0.448
19,govern,0.374,legiflature,0.446,consequently,0.452,commonwealth,0.464,ellentially,0.478,clafies,0.488,nonproductive,0.573,community—the,0.795,commiunity,0.794,conimunity,0.824,taxpaying,0.589,fellowcitizens,0.531,culturally,0.447
