,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,garrifon,0.554,gentry,0.548,towns,0.561,tants,0.699,inhabi,0.782,inhabi,0.795,tants,0.784,habitants,0.819,bitants,0.856,bitants,0.871,inha,0.878,inhabi,0.945,inhabi,0.947,inhabi,0.941,inhabi,0.865,habitants,0.878,habitants,0.82
1,goods,0.521,citie,0.471,countrey,0.558,inhabi,0.687,inha,0.758,tants,0.789,bitants,0.747,bitants,0.813,inha,0.85,inha,0.867,bitants,0.874,bitants,0.942,bitants,0.928,habitants,0.922,habitants,0.863,inhabi,0.854,inhabi,0.8
2,spanifh,0.517,plundering,0.468,magistrates,0.555,habitants,0.654,habitants,0.753,bitants,0.759,habitants,0.747,inha,0.789,inhabi,0.843,inhabi,0.867,inhabi,0.873,tants,0.925,habitants,0.919,inhabitante,0.895,residents,0.716,inhabit,0.718,inhabit,0.64
3,townes,0.511,county,0.467,houses,0.518,commonalty,0.569,bitants,0.752,habitants,0.757,inhabi,0.742,inhabi,0.779,habitants,0.832,habitants,0.865,habitants,0.855,iuhabitants,0.923,iahabitants,0.906,inbabitants,0.895,inhabit,0.705,residents,0.707,people,0.634
4,ships,0.509,workes,0.461,citizens,0.5,citizens,0.483,tants,0.752,inha,0.733,inha,0.705,inhahitants,0.678,inhabitantsof,0.725,tants,0.814,tants,0.845,inhabitauts,0.919,tants,0.906,inhabitauts,0.887,inhabitant,0.682,townspeople,0.664,villagers,0.618
5,coun,0.471,horfes,0.45,cannon,0.491,villages,0.47,peasants,0.576,inhabirants,0.714,inhabitant,0.578,inhibitants,0.674,tants,0.718,inhabitant,0.743,inhabitantsof,0.797,inha,0.917,inbabitants,0.904,iuhabitants,0.882,nhabitants,0.672,villagers,0.641,residents,0.611
6,states,0.461,country,0.442,people,0.482,burrough,0.469,burghers,0.565,inbabitants,0.593,villages,0.539,inhabitant,0.669,inhabitints,0.713,inhabitantsof,0.735,inbabitants,0.788,inliabitants,0.902,iuhabitants,0.903,inhabitanta,0.878,population,0.671,townsfolk,0.638,townspeople,0.595
7,citie,0.459,fouldiers,0.442,cities,0.476,town,0.468,villages,0.56,villages,0.58,magifirates,0.515,inhabitints,0.643,inhahitants,0.709,inhahitants,0.72,inhahitants,0.776,habitants,0.886,inhabitauts,0.889,inhahitants,0.861,townspeople,0.663,populace,0.638,population,0.588
8,souldiers,0.457,ammunition,0.438,city,0.473,gentry,0.466,magistrates,0.536,burghers,0.547,burghers,0.511,tants,0.621,inbabitants,0.705,inbabitants,0.707,inhabitanits,0.755,inbabitants,0.884,inhabitanta,0.885,innabitants,0.858,inhabitant®,0.66,tants,0.629,popula,0.581
9,vntill,0.457,provifions,0.436,members,0.472,adjacent,0.46,inhabitant,0.532,peasants,0.525,parithes,0.503,inbabitants,0.618,inhabtants,0.699,nhabitants,0.658,inhabit,0.753,inhab,0.872,inhabitante,0.881,bitants,0.858,tants,0.658,people,0.621,villages,0.581
10,perfons,0.454,minifters,0.424,town,0.465,freemen,0.46,burgers,0.525,freemen,0.515,people,0.491,inhabirants,0.617,inihabitants,0.695,inihabitants,0.655,inba,0.743,iahabitants,0.871,inhahitants,0.88,inhaoitants,0.85,inhabitante,0.654,dwellers,0.618,townsfolk,0.576
11,pay,0.44,loyall,0.408,castle,0.465,burghers,0.455,adjacent,0.508,magistrates,0.503,fuburbs,0.489,inhabitans,0.609,inhabitanti,0.694,inliabitants,0.653,inhabitauts,0.74,inhahitants,0.87,inbabi,0.864,inhabitantsof,0.848,inhabitanta,0.646,inhabitant,0.618,refugees,0.575
12,number,0.438,towne,0.396,security,0.465,magistrates,0.448,strates,0.497,neighbouring,0.496,magillrates,0.487,inhabitanti,0.608,inhabitanits,0.69,inhabit,0.649,iuhabitants,0.727,inhabitantsof,0.864,inhabitantsof,0.86,inabitants,0.843,townsfolk,0.646,peoplo,0.614,citizens,0.573
13,towne,0.428,mens,0.396,country,0.463,freeholders,0.447,gistrates,0.482,district,0.491,communities,0.487,theinhabitants,0.603,nhabitants,0.68,theinhabitants,0.647,inbabi,0.722,inbabi,0.854,inhabitanti,0.856,inbabi,0.843,villagers,0.642,population,0.603,inhabitant,0.568
14,water,0.424,counties,0.393,want,0.454,suburbs,0.445,freemen,0.482,grisons,0.491,parifhes,0.486,inhabitantsof,0.59,inhibitants,0.678,inhabitauts,0.646,inhahi,0.721,inhabitante,0.852,inliabitants,0.854,inhibitants,0.842,inhab,0.622,vilages,0.602,populations,0.564
15,prouinces,0.424,garrifon,0.391,plague,0.452,towns,0.445,towns,0.481,inhabiting,0.482,pariflies,0.485,inhabit,0.558,inhabitant,0.666,inhlabitants,0.631,nhabitants,0.713,inhabiants,0.848,theinhabitants,0.852,inliabitants,0.84,citizens,0.612,peonle,0.599,populace,0.557
16,fire,0.424,powder,0.387,themselves,0.452,burgesses,0.445,natives,0.479,people,0.478,populous,0.477,inhab,0.543,lnhabitants,0.665,inhab,0.624,theinhabitants,0.708,inhabitanta,0.842,inabitants,0.851,iahabitants,0.839,populace,0.595,citizens,0.593,pecple,0.55
17,chiefe,0.421,reading,0.385,miles,0.45,people,0.435,lages,0.479,traders,0.476,inhabiting,0.469,natives,0.542,inhabitanta,0.664,inhabitanti,0.622,inhiabitants,0.707,nhabitants,0.834,inha,0.842,inhabitaats,0.831,dwellers,0.593,inhab,0.586,neople,0.547
18,fayd,0.418,forts,0.382,prisoners,0.447,commoncouncil,0.434,pillaged,0.478,balagna,0.475,magiftrates,0.467,diftrift,0.532,inhabitaits,0.663,inhiabitants,0.615,inliabitants,0.706,inhabitaits,0.832,inhabitaats,0.842,inhabitents,0.822,peoplo,0.592,peopie,0.585,oeople,0.531
19,prifoners,0.411,ordnance,0.38,countries,0.439,strates,0.433,soldiers,0.468,towns,0.468,parilhes,0.465,magiftrates,0.529,iihabitants,0.66,inhabitaints,0.612,inhab,0.705,itants,0.831,inhabitsnts,0.842,theinhabitants,0.818,people,0.59,popula,0.585,deople,0.524
20,manner,0.41,some,0.375,daily,0.433,officers,0.43,townsmen,0.468,garrison,0.467,magiltrates,0.464,peafants,0.526,inabitants,0.66,inhabitanits,0.61,inihabitants,0.703,inhabitaats,0.825,iuhabitauts,0.84,tants,0.814,villages,0.589,communities,0.584,dwellers,0.521
21,flaine,0.407,gentlemen,0.371,forts,0.43,city,0.429,town,0.463,districts,0.467,natives,0.464,fuburbs,0.525,inhabitarts,0.659,inhabitatits,0.602,inhabilants,0.69,mhabitants,0.823,innabitants,0.837,inhabitan,0.812,papulation,0.583,neople,0.579,municipality,0.517
22,about,0.406,trade,0.37,ral,0.429,burgers,0.422,commonalty,0.461,rebels,0.465,ajaccio,0.463,garrifon,0.521,inhabirants,0.659,habitant,0.593,ilhabitants,0.684,iuhabitauts,0.819,mhabitants,0.835,ihabitants,0.811,popula,0.578,peoole,0.575,lages,0.517
23,force,0.403,befides,0.365,quarters,0.427,garison,0.421,city,0.451,townsmen,0.46,garrifon,0.457,colony,0.511,inliabitants,0.658,bitant,0.593,inhabitanta,0.682,inhiabitants,0.818,ihabitants,0.834,inhalitants,0.81,resideuts,0.573,peope,0.573,zens,0.515
24,breda,0.402,pretence,0.363,election,0.427,neighbouring,0.419,catalans,0.45,malecontents,0.458,neighbourhood,0.455,province,0.507,inhabitauts,0.654,inhabitaits,0.588,inhabitatits,0.681,bitauts,0.817,inhibitants,0.83,iuhabitauts,0.803,refugees,0.569,oeople,0.572,peodle,0.515
25,countrey,0.401,fled,0.363,persons,0.425,peasants,0.418,populace,0.444,parissies,0.457,freemen,0.455,freemen,0.506,inhiabitants,0.653,inhahi,0.587,hitants,0.677,inhabitans,0.816,inlhabitants,0.83,irhabitants,0.801,natives,0.561,populations,0.571,natives,0.512
26,away,0.401,brave,0.361,coun,0.425,boors,0.417,people,0.443,adjacent,0.454,convents,0.454,foldiery,0.505,ihabitants,0.653,inlhabitants,0.58,inhabitant,0.676,ishabitants,0.815,itants,0.828,iuhabi,0.8,residenters,0.56,families,0.564,towns,0.509
27,firong,0.4,town,0.359,ty,0.424,carlson,0.409,plunder,0.443,gistrates,0.449,ifland,0.452,burghers,0.504,abitants,0.646,abitants,0.574,inhabitanti,0.675,inhabitents,0.813,inhabitats,0.827,inliabi,0.8,civilians,0.551,residenters,0.563,lagers,0.508
28,warres,0.395,armes,0.358,places,0.424,ruines,0.408,principality,0.442,peo,0.449,commonalty,0.451,indians,0.504,theinhabitants,0.644,citizens,0.556,iihabitants,0.671,innabitants,0.811,nhabitants,0.827,inhabitanti,0.796,populations,0.551,natives,0.559,communities,0.507
29,ofthc,0.391,finally,0.357,considerable,0.419,garifon,0.408,provinces,0.439,natives,0.449,burgeffes,0.45,neighbouring,0.503,inhbitants,0.643,burghers,0.537,inhabitaits,0.67,inhabtants,0.81,inhab,0.826,mhabitants,0.793,armenians,0.548,towns,0.558,countryfolk,0.5
30,empire,0.39,rebels,0.357,party,0.418,natives,0.407,pillagd,0.438,inhabitant,0.443,nobleffe,0.448,provinces,0.494,inbabi,0.642,population,0.53,inliabi,0.669,inhabitanits,0.81,inhabitints,0.826,inhabitats,0.79,populatiou,0.547,jieople,0.552,neighbourhood,0.499
