,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,affable,0.486,generous,0.53,mechanical,0.496,beral,0.583,libcral,0.779,libera,0.808,liheral,0.821,libeial,0.889,libeial,0.936,libeial,0.942,libera,0.841,libera,0.9,iberal,0.658
1,education,0.466,communicative,0.505,arts,0.492,libral,0.572,libetal,0.76,libeial,0.801,libeial,0.82,lilieral,0.877,liheral,0.922,liberil,0.922,liberai,0.794,liberai,0.771,conservative,0.629
2,arts,0.461,liberally,0.48,mecha,0.482,generous,0.547,liheral,0.741,liheral,0.786,iberal,0.781,liheral,0.858,liberai,0.901,libetal,0.922,libeial,0.778,lileral,0.755,liberals,0.624
3,courteous,0.437,bountiful,0.466,sciences,0.479,ingenuous,0.538,libeial,0.736,iberal,0.784,lilieral,0.773,liberai,0.856,lileral,0.893,lileral,0.917,liberaj,0.768,lberal,0.742,unionist,0.61
4,edu,0.428,hospitable,0.459,humane,0.47,liberality,0.532,lberal,0.711,hberal,0.764,libera,0.762,lileral,0.852,iiberal,0.891,libsral,0.915,lilieral,0.748,lioeral,0.733,vative,0.601
5,conversation,0.412,indigent,0.45,education,0.457,benevolent,0.52,liberil,0.702,liberai,0.763,iiberal,0.741,libersl,0.843,iberal,0.885,libernl,0.912,lberal,0.74,libeial,0.732,beral,0.591
6,learning,0.41,commendable,0.447,profeffions,0.452,education,0.52,iberal,0.695,iiberal,0.743,hberal,0.738,iberal,0.831,libetal,0.882,liheral,0.912,lileral,0.729,conservative,0.721,servative,0.589
7,sciences,0.401,inoffenfive,0.443,nical,0.447,equitable,0.512,libtral,0.692,libetal,0.739,libernl,0.736,liboral,0.826,liboral,0.881,lioeral,0.91,iiberal,0.729,liberaj,0.721,liberalnational,0.575
8,ingenuous,0.397,tensive,0.443,fignified,0.416,humane,0.512,iiberal,0.688,lberal,0.723,überal,0.73,überal,0.823,libsral,0.881,libtral,0.909,liheral,0.717,lilieral,0.714,conserva,0.563
9,inquisitive,0.393,liberality,0.44,fciences,0.415,cquitable,0.489,libera,0.687,liberil,0.718,lileral,0.721,liberil,0.815,lioeral,0.88,iiberal,0.908,lioeral,0.703,liberil,0.7,libera,0.544
10,study,0.39,endeared,0.44,courteous,0.407,gencrous,0.487,liberai,0.676,lilieral,0.71,beral,0.698,lioeral,0.814,liberil,0.878,liiberal,0.905,liboral,0.698,liheral,0.697,conservatives,0.544
11,benefactor,0.389,benevolent,0.437,educa,0.403,judicious,0.487,liberl,0.667,beral,0.706,libetal,0.698,iiberal,0.81,libernl,0.874,iliberal,0.904,libaral,0.698,libe,0.682,conser,0.534
