,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d
0,tiersparti,0.642,monarchical,0.812,monarchial,0.813,monarchical,0.831,monarchy,0.654,racial,0.621
1,doctrinaires,0.592,monarchic,0.803,absolutism,0.81,irredenta,0.781,monarchical,0.644,dynasties,0.604
2,legitimists,0.581,absolutism,0.798,monarchical,0.808,monarchial,0.78,political,0.634,babylonian,0.58
3,mouvement,0.579,imperialism,0.796,disement,0.805,orleanists,0.776,dynasties,0.608,monarchical,0.58
4,doctrinaire,0.575,monarchial,0.785,pohtical,0.803,panslavism,0.771,militarist,0.607,hohenzollerns,0.557
5,juste,0.563,constitutionalism,0.782,aggrandizement,0.803,panslavonic,0.767,monarchial,0.605,monarchial,0.556
6,justemilieu,0.561,reactionary,0.78,political,0.796,orleanist,0.765,dynasty,0.594,civilisations,0.548
7,ultraroyalists,0.561,absolutist,0.777,aggrandisement,0.791,russophile,0.763,bonapartist,0.591,mahometan,0.547
8,gauche,0.552,orleanist,0.767,monarchy,0.79,alliances,0.752,papacy,0.59,conflicts,0.546
9,antirevolutionary,0.55,monarchy,0.766,aggran,0.789,dolitical,0.752,autocracy,0.583,greeces,0.544
10,broglies,0.55,aggrandizement,0.765,nolitical,0.786,prorussian,0.752,absolutism,0.582,abdicating,0.543
11,moderado,0.548,monarchists,0.764,bonapartism,0.785,triplice,0.75,politioal,0.581,monarchies,0.541
12,doctrinnaires,0.543,nolitical,0.761,constitutionalism,0.783,absolutism,0.748,ambitions,0.577,ideologies,0.539
13,exaltado,0.539,napoleonic,0.752,dynasty,0.778,particularist,0.748,russia,0.575,tribal,0.537
14,ultras,0.532,aggrandisement,0.751,pobtical,0.775,royalists,0.747,dictatorship,0.57,hohenzollern,0.536
15,franfais,0.532,dynasties,0.749,jiolitical,0.774,coalition,0.746,oolitical,0.569,hittite,0.534
16,milieu,0.532,factions,0.748,dualism,0.773,austrogerman,0.746,diplomatic,0.566,rulers,0.53
17,factious,0.531,dynasty,0.747,intrigues,0.772,intrigues,0.743,prorussian,0.564,papacy,0.529
18,trinaires,0.529,austrias,0.745,absolutist,0.772,carlists,0.742,aggression,0.564,poitical,0.526
19,finitive,0.528,orleanism,0.744,ambitions,0.771,antidynastic,0.742,nolitical,0.563,political,0.524
20,legitimist,0.528,revolutionary,0.744,hohenzollerns,0.767,russophil,0.742,abdication,0.563,civilisa,0.523
21,temps,0.528,orleanists,0.737,napoleonic,0.766,monarchy,0.742,revolutionary,0.561,civilisation,0.523
22,counterrevolutionary,0.521,bonapartism,0.736,orleanism,0.765,bonapartists,0.741,politica,0.56,sovereignty,0.523
23,courrier,0.514,disement,0.736,alliances,0.762,orleanism,0.739,imperialistic,0.56,versies,0.522
24,ministerial,0.512,anarchical,0.735,politieal,0.762,papacy,0.738,greece,0.559,anschluss,0.521
25,spotic,0.508,nationalities,0.733,compromises,0.761,pobtical,0.736,intrigues,0.558,controversies,0.52
26,bataille,0.507,ambitions,0.731,antagonisms,0.76,monarchic,0.735,antagonisms,0.557,cataclysmic,0.519
27,ministeria,0.501,intrigue,0.731,aggraudisement,0.76,nolitical,0.734,intrigue,0.557,dethronement,0.515
28,moderados,0.5,anticonstitutional,0.731,imperialism,0.759,monarchist,0.733,austriahungary,0.555,chronology,0.513
29,bonapartists,0.499,rivalries,0.73,dynasties,0.755,monarchists,0.732,factional,0.554,sumerian,0.513
30,philippe,0.499,intrigues,0.729,humanitarian,0.754,legitimist,0.732,monarchist,0.554,serbs,0.512
31,monarchial,0.498,actionary,0.726,rivalries,0.753,magyars,0.73,jealousies,0.551,caliphate,0.512
32,ultraroyalist,0.497,antipathies,0.725,republicanism,0.751,bismarckian,0.73,agrarian,0.551,agelong,0.511
33,odilon,0.496,aristocratical,0.724,chical,0.75,reactionary,0.73,balkan,0.551,antagonisms,0.51
34,drapeau,0.496,political,0.723,solidarity,0.75,jiolitical,0.727,anarchic,0.55,greeks,0.51
35,ministres,0.494,absolutists,0.723,antipathies,0.749,absolutist,0.727,monarchies,0.55,italogreek,0.509
36,bourgeoisie,0.494,warparty,0.722,papacy,0.745,panslavist,0.726,particularism,0.549,regime,0.509
37,legitimatists,0.491,bonapartists,0.722,predilections,0.745,irreconcilable,0.725,llussia,0.548,enmities,0.509
38,fueros,0.49,carlism,0.721,poutical,0.745,panslavists,0.723,regicides,0.548,anglosaxons,0.507
39,ministerialists,0.489,aggran,0.721,statecraft,0.744,legitimists,0.723,chancellories,0.547,dethroned,0.507
40,gouvernement,0.489,moldowallachians,0.72,pclitical,0.743,poitical,0.723,garias,0.546,ideology,0.507
