,en_1720,en_1720_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,viris,0.524,quo,0.55,possidetis,0.491,stales,0.44,territorial,0.686,atatus,0.802,etatus,0.8,quo,0.541,autonomy,0.595,aspirations,0.584
1,pacem,0.523,lempire,0.545,quo,0.441,statu,0.429,autonomy,0.681,etatus,0.736,atatus,0.756,sovereignty,0.531,equality,0.587,autonomy,0.575
2,quarum,0.522,tieaty,0.534,fraice,0.422,stites,0.418,citizenship,0.679,prerogatives,0.732,btatus,0.711,dignity,0.528,privileges,0.58,independence,0.568
3,eadem,0.521,stites,0.528,ante,0.418,quo,0.408,immunities,0.672,supremacy,0.719,prerogatives,0.707,reestablishment,0.527,selfgoverning,0.565,relationship,0.557
4,perire,0.504,itreaty,0.52,basis,0.416,states,0.404,nonrecognition,0.671,immunities,0.703,digaity,0.675,prestige,0.526,nonrecognition,0.561,selfgoverning,0.555
5,eorum,0.503,treaiy,0.515,unitedstates,0.414,ipso,0.397,digni,0.669,supre,0.699,headship,0.666,relations,0.525,sovereignty,0.561,sovereignty,0.55
6,regum,0.503,preliminaries,0.513,bases,0.405,inviola,0.394,independence,0.664,headship,0.687,reestablishment,0.666,integrity,0.523,nationality,0.555,pendence,0.55
7,reges,0.502,treary,0.511,frauce,0.404,arbiter,0.39,pendence,0.66,citizenship,0.687,supremacy,0.665,tegrity,0.514,prestige,0.55,nationhood,0.548
8,regno,0.498,mpire,0.509,rica,0.397,frantce,0.39,indepeudence,0.656,rights,0.686,statuis,0.661,inviolability,0.512,prerogatives,0.548,selfgovernment,0.548
9,cujus,0.497,states,0.509,hasis,0.394,dignity,0.387,dignity,0.656,inviolability,0.685,maiutain,0.658,relationship,0.51,independence,0.544,selfdetermination,0.546
10,summa,0.497,preliminary,0.507,ireaty,0.39,stntes,0.386,jiosition,0.654,irrespectively,0.673,subordination,0.657,nationality,0.504,responsibilities,0.543,prestige,0.539
11,decus,0.495,secularization,0.504,pussia,0.389,successions,0.384,sovereignty,0.654,dignity,0.67,maintain,0.657,retention,0.496,eligibility,0.538,responsibilities,0.529
12,lambini,0.494,ireaty,0.501,franice,0.387,ritorial,0.383,supremacy,0.653,qualification,0.67,kingship,0.655,eligibility,0.493,nationhood,0.536,attitude,0.513
13,adjiciuntur,0.494,pacification,0.498,statis,0.386,vereignty,0.383,dignities,0.649,dignitv,0.667,sovereignty,0.649,relatione,0.492,reestablishment,0.535,representation,0.51
14,hæc,0.492,germanic,0.497,prossia,0.386,blishes,0.382,preeminence,0.648,sovereignty,0.666,supre,0.649,safeguarding,0.491,coequal,0.535,selfgovern,0.508
15,quicquid,0.491,eimpire,0.497,franct,0.386,dlignity,0.38,dignitv,0.646,independence,0.665,citizenship,0.647,independence,0.491,relationship,0.531,attainment,0.507
16,illustrata,0.491,rreaty,0.496,lrussia,0.385,independance,0.38,suzerainty,0.646,competence,0.663,relation,0.646,prerogatives,0.49,inviolability,0.527,abrogation,0.506
17,linguam,0.488,withfrance,0.494,treaity,0.384,fraisce,0.379,imprescriptible,0.646,relatioi,0.662,prestige,0.643,headship,0.486,selfgovernment,0.524,footing,0.506
18,latino,0.488,statts,0.493,treatv,0.383,ratione,0.379,posiiion,0.644,eligibility,0.662,immunities,0.643,legality,0.486,guardianship,0.522,stability,0.506
19,qux,0.487,provinices,0.492,stntes,0.383,thrones,0.378,intellectu,0.642,relation,0.657,prestigo,0.642,bellum,0.485,dignities,0.518,supranational,0.505
20,magno,0.484,emrpire,0.49,swedeu,0.383,queenconsort,0.378,vassalage,0.635,irremovability,0.653,reestablish,0.641,validity,0.485,noninterference,0.515,citizenship,0.503
21,calcem,0.483,ratification,0.49,prance,0.382,helium,0.378,predominance,0.635,diguity,0.652,relatioa,0.639,relationships,0.484,citizenship,0.514,equality,0.503
22,ratione,0.483,trreaty,0.489,rtussia,0.379,relatiotis,0.377,competence,0.634,relationships,0.651,upremacy,0.639,regarding,0.479,mandatory,0.513,orientation,0.502
23,commune,0.479,statcs,0.487,prassia,0.377,renun,0.377,attributions,0.632,rightsand,0.651,eligibility,0.638,morality,0.478,homogeneity,0.512,interests,0.5
24,veteres,0.479,prelimi,0.487,louisiana,0.377,spaii,0.376,dependence,0.627,privileges,0.651,pendence,0.638,emolument,0.476,theposition,0.511,loyalty,0.499
25,gestis,0.478,tteaty,0.487,fraitce,0.376,reignty,0.375,position,0.626,selfgovernment,0.651,unify,0.637,jeopardising,0.473,definition,0.511,fundamental,0.498
26,rebus,0.476,srates,0.486,france,0.376,coutitries,0.375,predominancy,0.626,privdeges,0.65,relations,0.637,prejudicing,0.473,aspirations,0.51,responsibili,0.498
27,libertas,0.475,thetreaty,0.484,rassia,0.376,couintries,0.374,religtous,0.624,iategrity,0.649,wellbeiug,0.636,indissolubility,0.472,inalienable,0.509,ambitions,0.495
28,vitæ,0.475,rovinces,0.484,srates,0.373,statcs,0.373,independenceof,0.62,fundamentally,0.649,subordinate,0.635,neutrality,0.472,belligerency,0.508,democratisation,0.494
29,fumma,0.474,neutra,0.482,fratice,0.372,legi,0.373,ascendency,0.62,riglts,0.647,pretensions,0.633,attitude,0.472,judiciary,0.507,setup,0.493
30,ulla,0.474,atreaty,0.481,confedera,0.371,indepenidence,0.373,positiou,0.62,dignities,0.647,relatione,0.633,stability,0.472,capitulations,0.507,reorientation,0.491
31,moribus,0.474,trcaty,0.479,llussia,0.371,elurope,0.372,polity,0.619,priveleges,0.645,sttus,0.632,autonomy,0.472,dignity,0.506,proposals,0.491
32,primus,0.474,fmpire,0.478,treatyof,0.371,attributions,0.371,rights,0.619,attributions,0.645,suthority,0.632,lawfulness,0.47,mandatories,0.504,rights,0.491
33,vobis,0.473,stattes,0.476,atreaty,0.371,politicall,0.37,independency,0.617,autonomy,0.644,indispensability,0.632,relation,0.467,selfgovern,0.502,trusteeship,0.49
