,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,bordering,0.548,borders,0.502,borderd,0.58,borders,0.603,borders,0.655,borders,0.671,skirt,0.674,borders,0.75,bordei,0.809,bordei,0.846,borders,0.699,borders,0.706,frontier,0.593
1,borders,0.514,bordering,0.482,borders,0.472,laylock,0.576,festooned,0.616,applique,0.669,bonier,0.643,border—,0.682,bordor,0.761,berder,0.783,bordei,0.67,bordei,0.624,borders,0.577
2,fringe,0.477,cover,0.433,gadroond,0.439,flounced,0.55,tassel,0.597,appliqued,0.655,rouleau,0.629,foliaged,0.662,border—,0.731,bcrder,0.761,bonier,0.668,boeder,0.61,borde,0.569
3,sleeves,0.463,azure,0.432,towels,0.426,llriped,0.509,fpangles,0.583,scolloped,0.65,vandyked,0.627,grampians,0.639,borders,0.712,borders,0.755,bordet,0.64,rorder,0.596,dutchgerman,0.524
4,cover,0.457,embroidered,0.429,tureen,0.425,fringe,0.507,petticoat,0.581,fpangles,0.647,rouleaux,0.622,bordeis,0.638,berder,0.701,bordar,0.748,boeder,0.612,bonier,0.593,bonier,0.512
5,embroider,0.444,ermin,0.426,chasd,0.419,tiffue,0.506,spangles,0.581,chenille,0.643,ceinture,0.622,lozengeshaped,0.635,borderi,0.672,bordor,0.747,liorder,0.588,bordor,0.561,ochrida,0.474
6,crim,0.44,embroider,0.421,etwee,0.417,gimp,0.503,coquelicot,0.58,embroidered,0.642,tunique,0.616,margined,0.632,bordeis,0.666,bordler,0.736,border—,0.575,fastcoloured,0.497,palatinate,0.474
7,confines,0.439,skirts,0.417,fluted,0.414,luteftring,0.497,headplates,0.578,flounce,0.641,satin,0.613,shaded,0.628,boider,0.653,bonier,0.719,bordere,0.533,borde,0.492,hron,0.459
8,mountains,0.427,faced,0.402,teatables,0.412,petticoat,0.494,felloons,0.577,fpangled,0.64,floize,0.612,purple,0.627,pampas,0.625,borderi,0.717,bordor,0.53,fringe,0.475,crossed,0.458
9,crimson,0.426,dialplate,0.401,aprons,0.41,peagreen,0.492,taffels,0.575,garniture,0.639,whitesatin,0.608,cairngorms,0.621,bordler,0.624,bordeis,0.697,bordera,0.507,rosegreen,0.46,churian,0.452
10,creft,0.423,fringes,0.392,candleflicks,0.41,dimity,0.491,taffel,0.573,vandyked,0.636,noeuds,0.603,plashes,0.617,bordera,0.624,bordsr,0.696,basntoland,0.491,plaincoloured,0.447,doubs,0.452
11,velvet,0.418,tabby,0.392,workmanfhip,0.403,stripes,0.481,flounces,0.572,pocketholes,0.632,scallops,0.603,foilage,0.615,margined,0.608,liorder,0.694,bordr,0.469,colours—gold,0.446,prussian,0.451
12,infide,0.406,sleeves,0.389,ruffles,0.402,liriped,0.48,rofecoloured,0.57,ornamented,0.631,scollop,0.602,tufted,0.614,flanked,0.596,iborder,0.689,—border,0.456,border—,0.444,molougha,0.451
13,rampant,0.402,crimson,0.389,candlefticks,0.4,iriped,0.479,fringe,0.566,festooned,0.626,looped,0.599,waterlilies,0.614,grampians,0.596,bordors,0.688,borderland,0.446,rosegold,0.441,frankfleld,0.45
14,purple,0.401,gules,0.388,pierced,0.4,sleeves,0.475,pctticoat,0.559,spangled,0.622,ruche,0.598,gumtree,0.613,caucasian,0.596,birder,0.687,bordered,0.433,—border,0.431,plains,0.449
15,frontier,0.4,sattin,0.388,waiflcoat,0.399,triangular,0.47,embroidered,0.557,fringe,0.619,torsade,0.598,tersecting,0.611,bonier,0.593,theborder,0.673,hawiek,0.431,bordered,0.431,bessarabian,0.449
16,heaps,0.399,lcather,0.387,corinthian,0.396,apron,0.466,velvet,0.555,trimnmed,0.617,mancherons,0.597,plaius,0.611,bordered,0.592,bordera,0.671,horders,0.43,leicestersuffolks,0.429,francospanish,0.447
