,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,only,0.575,authority,0.506,authority,0.701,powers,0.547,authority,0.632,powver,0.665,powver,0.679,powver,0.778,powcr,0.835,powver,0.768,powver,0.816,powei,0.897,powor,0.919,powor,0.897,powor,0.783,powei,0.786,powei,0.759
1,armes,0.545,confent,0.503,title,0.604,prerogative,0.529,tyranny,0.535,authority,0.663,powcr,0.638,powcr,0.738,powver,0.793,powei,0.717,powei,0.78,powor,0.877,pewer,0.914,pewer,0.886,powet,0.745,powet,0.77,powet,0.671
2,their,0.542,rule,0.493,gods,0.595,authority,0.526,arbitrary,0.531,influence,0.606,powet,0.613,pover,0.694,pover,0.748,pover,0.717,pover,0.77,jiower,0.871,pswer,0.881,powei,0.88,powei,0.712,powor,0.745,oower,0.629
3,honour,0.533,laws,0.469,subjects,0.582,sovereignty,0.504,powers,0.518,powcr,0.585,pover,0.589,powet,0.663,poiver,0.741,powcr,0.702,powrer,0.764,pewer,0.854,powei,0.872,povrer,0.868,nower,0.7,powar,0.69,power—,0.569
4,own,0.529,crown,0.457,glory,0.572,supreme,0.482,sanction,0.511,powei,0.574,influence,0.575,powerof,0.65,povwer,0.718,powtr,0.693,pewer,0.764,nower,0.836,jiower,0.871,puwer,0.865,pewer,0.681,powr,0.68,powr,0.531
5,of,0.523,dome,0.429,pretend,0.568,prerogatives,0.473,dominion,0.509,tyranny,0.572,executive,0.563,puwer,0.639,pawer,0.714,pnwer,0.665,powet,0.747,powver,0.835,piwer,0.87,jiower,0.863,pcwer,0.652,pewer,0.642,p°wer,0.479
6,and,0.511,truft,0.418,laws,0.552,unaccountable,0.448,greatness,0.507,pover,0.55,afpiring,0.546,pwer,0.626,potver,0.688,powet,0.653,posver,0.74,pover,0.833,pjwer,0.868,powtr,0.861,jiower,0.617,nower,0.642,nower,0.474
7,not,0.504,advice,0.415,doth,0.551,governing,0.447,subjection,0.489,oppressors,0.549,fluence,0.536,poiver,0.625,powerof,0.682,thepower,0.647,powe,0.719,pawer,0.824,pawer,0.861,powet,0.861,powar,0.616,jiower,0.638,tvrone,0.47
8,hands,0.502,defend,0.415,scripture,0.551,absolute,0.447,property,0.485,independency,0.545,ftrength,0.53,powtr,0.623,pnwer,0.681,povwer,0.639,pawer,0.718,powrer,0.822,powtr,0.852,vower,0.858,powr,0.615,powef,0.604,usurpation,0.458
9,rather,0.494,nation,0.414,judgment,0.546,privilege,0.445,glory,0.48,powet,0.543,ufurp,0.526,piwer,0.619,pbwer,0.679,pdwer,0.638,poiver,0.717,pcwer,0.822,powar,0.851,pnwer,0.853,pwer,0.612,oower,0.597,—tyrone,0.453
