,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,country,0.49,laws,0.455,inhabitants,0.482,peo,0.575,peo,0.683,peopie,0.759,pcople,0.793,pcople,0.799,pcople,0.84,peopie,0.781,peopie,0.814,peoplo,0.899,poople,0.918,peoplo,0.943,peoplo,0.847,peoplo,0.853,peoplo,0.765
1,defend,0.483,hearts,0.423,joy,0.463,multitude,0.492,feople,0.625,peo,0.756,peope,0.722,peope,0.787,peope,0.821,pcople,0.764,peo,0.786,jeople,0.886,peoole,0.917,pecple,0.941,poople,0.815,peopie,0.85,peope,0.746
2,their,0.482,yea,0.393,especially,0.444,ple,0.454,peopie,0.609,peope,0.725,peo,0.697,peoplc,0.775,peoplc,0.82,peope,0.759,thepeople,0.777,peonle,0.87,peeple,0.915,neople,0.936,peonle,0.813,neople,0.833,peonle,0.723
3,unto,0.463,world,0.382,themselves,0.418,peoples,0.448,ple,0.543,pcople,0.717,peoplc,0.639,peopie,0.716,peopie,0.801,peo,0.745,peopl,0.776,peoole,0.868,peonle,0.914,peeple,0.934,neople,0.796,peonle,0.833,peopie,0.717
4,armes,0.448,thei,0.382,reformation,0.417,inhabitants,0.435,peope,0.515,feople,0.688,leople,0.635,peo,0.714,peo,0.772,peopl,0.727,peeple,0.766,neople,0.863,peoplo,0.913,psople,0.933,peopie,0.785,peope,0.831,neople,0.714
5,them,0.443,ruine,0.374,countries,0.414,outrages,0.408,eople,0.501,peoplc,0.679,peopl,0.622,pople,0.705,peopl,0.753,thepeople,0.727,peope,0.764,poople,0.861,psople,0.9,peonle,0.932,peoole,0.784,oeople,0.799,oeople,0.699
6,com,0.442,dome,0.367,prayers,0.413,spectators,0.397,peopl,0.468,pecple,0.662,peopie,0.617,peopl,0.704,peopic,0.748,peoplc,0.697,peoplo,0.762,peeple,0.856,peopie,0.9,peoule,0.929,peope,0.783,poople,0.796,peoole,0.698
7,they,0.433,work,0.367,laws,0.404,boors,0.388,pcople,0.464,peopic,0.651,ptople,0.588,peple,0.687,penple,0.74,peeple,0.693,eople,0.759,jieople,0.855,neople,0.894,deople,0.924,peopl,0.767,peoole,0.784,peopl,0.694
8,countrey,0.43,happy,0.366,like,0.404,spoil,0.387,fellowsubjects,0.447,penple,0.649,eople,0.587,peeple,0.677,pcoplc,0.708,eople,0.687,pcople,0.757,eople,0.852,peopla,0.891,peopie,0.921,eople,0.755,eople,0.761,pecple,0.683
9,forward,0.429,even,0.365,affairs,0.402,wolves,0.386,inhabitants,0.443,eople,0.639,pople,0.586,ptople,0.671,ptople,0.707,pebple,0.685,peopleof,0.742,deople,0.84,pecple,0.888,poople,0.917,oeople,0.754,peopl,0.759,peodle,0.678
10,bring,0.427,clergy,0.364,generally,0.398,peasants,0.384,populace,0.435,reople,0.635,peple,0.583,prople,0.669,pople,0.706,penple,0.668,penple,0.741,peopleand,0.839,pcoplo,0.887,ptople,0.914,jeople,0.743,jieople,0.751,deople,0.674
11,into,0.424,clergie,0.364,images,0.394,hypocrites,0.383,peoples,0.434,peopl,0.616,peop,0.582,pecple,0.669,thepeople,0.705,countrymen,0.663,ieople,0.727,peopla,0.839,jeople,0.883,peoole,0.91,ieople,0.733,peopio,0.727,peop,0.65
