,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,prove,0.44,produced,0.492,producc,0.618,product,0.635,producc,0.693,producc,0.727,duce,0.755,pioduce,0.823,prodnce,0.914,prodnce,0.903,prodnce,0.923,produoe,0.833,produoe,0.776,duce,0.677
1,produced,0.4,producing,0.433,affect,0.53,affect,0.576,pioduce,0.654,pioduce,0.726,pioduce,0.737,prodnce,0.782,produoe,0.894,produoe,0.901,pioduce,0.907,produco,0.716,produco,0.774,produoe,0.637
2,convince,0.376,produe,0.415,produces,0.519,affea,0.533,product,0.616,prodoce,0.688,producc,0.706,producc,0.76,produco,0.888,pioduce,0.893,proiuce,0.896,iroduce,0.668,producc,0.744,producc,0.597
3,tendency,0.359,prove,0.414,product,0.486,affe,0.528,produces,0.579,product,0.675,ptoduce,0.69,prodace,0.751,pioduce,0.881,produco,0.879,produca,0.894,prodoce,0.665,prodice,0.691,oroduce,0.587
4,allow,0.353,produces,0.412,produced,0.482,produces,0.514,duce,0.574,ptoduce,0.67,prodace,0.685,proluce,0.716,prodace,0.872,prodace,0.876,prodace,0.883,froduce,0.657,froduce,0.654,roduce,0.56
5,demonstrate,0.352,acquire,0.399,affeft,0.472,affedt,0.503,products,0.558,produice,0.664,produee,0.655,prodoce,0.698,producc,0.872,preduce,0.86,produco,0.879,pkoduce,0.656,duce,0.654,oduce,0.514
6,imagine,0.344,suffice,0.393,affea,0.47,duce,0.484,proluce,0.557,proluce,0.662,produre,0.646,ptoduce,0.697,produee,0.869,produee,0.857,produoe,0.878,producc,0.656,pioduce,0.632,produ,0.499
7,afford,0.344,duce,0.392,producing,0.464,affeft,0.471,prodace,0.543,preduce,0.653,prodluce,0.645,duce,0.695,prodnee,0.855,produca,0.856,prodnee,0.848,proouce,0.653,prodnce,0.622,°duce,0.495
8,procure,0.338,produc,0.389,decrease,0.439,conlent,0.466,roduce,0.512,produee,0.645,preduce,0.64,preduce,0.695,proluce,0.829,iroduce,0.852,prodoce,0.848,prodice,0.647,iroduce,0.612,vegetables,0.472
9,credible,0.337,demonstrate,0.381,duce,0.434,affet,0.466,produft,0.512,duce,0.644,poduce,0.635,produee,0.689,produca,0.825,proluce,0.848,proluce,0.843,prodnce,0.644,proouce,0.605,deadstock,0.471
