,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,politicks,0.596,politicks,0.593,politicks,0.725,politicks,0.804,political,0.724,polities,0.795,polities,0.859,politios,0.932,politios,0.92,polities,0.866,polities,0.886,politi,0.66
1,politi,0.533,fyftem,0.534,political,0.647,political,0.652,politi,0.625,politics—,0.66,polemics,0.826,polities,0.907,poutics,0.918,politios,0.763,political,0.715,religion,0.647
2,speculative,0.496,declamation,0.515,polities,0.59,polities,0.617,litics,0.614,polemics,0.612,politicsand,0.821,poutics,0.903,polities,0.896,politico,0.758,politic,0.687,poli,0.644
3,poliricks,0.486,licentioufnefs,0.504,politi,0.551,literature,0.587,poltical,0.608,litics,0.61,politios,0.821,pohtics,0.892,pohtics,0.891,politic,0.751,politico,0.671,socialism,0.637
4,fpeculative,0.479,policy,0.5,jurifprudence,0.54,politici,0.585,politica,0.599,political,0.603,poutics,0.809,pobtics,0.868,nolitics,0.885,politi,0.694,politicians,0.658,political,0.633
5,philoso,0.469,political,0.498,literature,0.528,politica,0.574,politicai,0.595,politico,0.595,politics—,0.806,nolitics,0.856,pobtics,0.883,politica,0.694,controversies,0.646,politicians,0.629
6,liticks,0.447,meannefs,0.498,controverfy,0.521,machiavelian,0.563,litical,0.585,pontics,0.563,politice,0.8,politics—,0.839,politico,0.868,pontics,0.693,socialism,0.644,conservatism,0.617
7,morals,0.447,hypocrify,0.495,litics,0.521,litics,0.561,poitical,0.581,politi,0.546,political,0.795,poitics,0.836,poltics,0.863,personalities,0.685,politically,0.644,nationalism,0.616
8,lcarning,0.446,politicians,0.488,poli,0.515,intrigues,0.558,literature,0.576,politicians,0.541,politico,0.777,politice,0.834,politice,0.86,political,0.683,pontics,0.623,communism,0.61
9,learning,0.444,condudt,0.488,fcience,0.511,politi,0.553,polities,0.575,literature,0.536,olitics,0.775,olitics,0.825,poitics,0.857,poli,0.682,poli,0.621,democracy,0.61
10,religion,0.443,fchemes,0.485,politician,0.511,pblitical,0.549,politcal,0.569,poliiical,0.533,politicsi,0.762,pelitics,0.816,pontics,0.85,politics—,0.681,unionism,0.62,polities,0.607
11,morality,0.443,fafhions,0.484,plitical,0.51,literaturc,0.546,metaphysics,0.564,politicul,0.531,politica,0.759,political,0.808,politica,0.837,politic®,0.675,politi,0.619,ideological,0.602
12,religions,0.44,perhaps,0.481,fyfiem,0.509,plitical,0.544,politieal,0.563,metaphysics,0.527,poitics,0.759,politico,0.801,political,0.837,politioal,0.672,journalism,0.616,politica,0.597
13,schoolmen,0.438,criticifm,0.481,policy,0.507,litical,0.542,politicl,0.56,poli,0.524,politicnl,0.758,pobtical,0.801,dolitics,0.832,politically,0.654,politics—,0.614,internationalism,0.592
14,litical,0.435,statefmen,0.479,politicians,0.507,affairs,0.541,theories,0.559,poliical,0.523,politicsa,0.749,poltics,0.798,politicsand,0.817,politicians,0.653,politica,0.612,philosophies,0.586
15,profeflions,0.435,degenerate,0.478,poliical,0.506,politicai,0.539,opinions,0.559,poutical,0.521,politicians,0.748,pontics,0.797,pelitics,0.816,religion,0.648,liberalism,0.612,ethics,0.58
16,pedantick,0.431,coalition,0.477,litical,0.506,olitical,0.537,ticism,0.557,politica,0.518,pontics,0.745,pohtical,0.785,olitics,0.81,controversies,0.648,conservatism,0.611,dictatorship,0.579
