,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,consanguinity,0.524,tionship,0.673,tionship,0.887,tionship,0.898,tionship,0.903,tionship,0.825,relationships,0.824,relationships,0.753
1,affinity,0.51,consanguinity,0.66,lationship,0.812,relationships,0.838,relations,0.875,relationships,0.804,tionship,0.824,tionship,0.745
2,testatrix,0.457,relation,0.594,relationships,0.808,relations,0.798,relationships,0.873,relations,0.79,lationship,0.786,lationship,0.682
3,relations,0.456,lationship,0.589,consanguinity,0.753,kinship,0.797,relatious,0.829,lationship,0.758,relations,0.773,relations,0.616
4,testator,0.451,intimacy,0.552,relations,0.732,lationship,0.793,relatione,0.809,relatione,0.747,relatione,0.676,tionships,0.607
5,relation,0.45,kindred,0.546,relatious,0.718,relatious,0.759,relatioas,0.801,intimacy,0.69,tionships,0.672,relation,0.568
6,identity,0.449,affinity,0.513,timacy,0.712,intercourse,0.758,relationa,0.8,relation,0.677,lationships,0.652,kinship,0.564
7,kindred,0.442,timacy,0.512,intimacy,0.705,relationa,0.756,lationship,0.791,tionships,0.66,intercourse,0.628,cooperation,0.562
8,scendants,0.441,relations,0.499,sanguinity,0.696,tionships,0.755,kinship,0.789,relatious,0.651,relation,0.626,status,0.557
9,intimacy,0.431,intermarriage,0.489,relationa,0.692,intimacy,0.741,lelations,0.787,kinship,0.642,friendliness,0.608,affinities,0.555
10,criminality,0.43,heirship,0.472,relationsof,0.692,rolations,0.741,tionships,0.787,lationships,0.632,intimacy,0.607,collaboration,0.548
11,ownership,0.413,illegitimacy,0.463,relatione,0.688,relstions,0.738,relationsbip,0.782,antagonism,0.627,antagonism,0.595,affinity,0.548
12,presumptive,0.409,connection,0.462,estrangement,0.686,timacy,0.734,intimacy,0.77,friendship,0.623,differences,0.592,intimacy,0.546
13,deposition,0.406,identity,0.46,intimacies,0.685,relatione,0.73,reations,0.77,intercourse,0.618,understanding,0.586,differences,0.544
14,testators,0.402,connexion,0.459,kinship,0.681,relation,0.728,relatiors,0.766,estrangement,0.613,cooperation,0.577,friendship,0.544
15,niarriage,0.399,mairiage,0.447,lineage,0.669,telations,0.725,triendship,0.764,friendliness,0.597,neighbourliness,0.576,attitude,0.542
16,distinctions,0.399,disagreements,0.447,differences,0.666,antagonism,0.721,acquaintanceship,0.762,rela,0.592,collaboration,0.573,antagonism,0.539
17,familiarity,0.395,propinquity,0.445,lelations,0.665,relatioas,0.721,friendship,0.761,comradeship,0.584,rela,0.569,loyalty,0.532
18,descendants,0.394,intermarriages,0.445,disagreement,0.661,iutimacy,0.72,relatiois,0.758,disagreement,0.58,friendship,0.567,rela,0.521
19,substantiate,0.393,relationships,0.443,relatioas,0.661,guinity,0.718,relatons,0.757,differences,0.579,interdependence,0.567,intercourse,0.519
20,pedigree,0.392,estrangement,0.44,familiarity,0.66,friendship,0.718,differences,0.755,cooperation,0.577,interrelation,0.56,understanding,0.519
21,similarity,0.391,similarity,0.44,guinity,0.659,acquaintanceship,0.717,rolations,0.753,goodfeeling,0.576,resemblance,0.556,antipathy,0.518
22,attachment,0.389,alliances,0.438,intermarriages,0.659,estrangement,0.715,estrangement,0.751,acquaintanceship,0.573,similarity,0.555,interplay,0.518
23,pedigrees,0.388,parentage,0.438,relitions,0.655,differences,0.712,relation,0.748,camaraderie,0.573,analogy,0.551,interdependence,0.517
24,resemblance,0.384,liarity,0.434,antagonism,0.654,intercouse,0.71,relaions,0.747,rivalry,0.572,enmity,0.549,contacts,0.516
25,teftator,0.38,kinswoman,0.434,affinity,0.653,familiarity,0.708,telations,0.746,mutuality,0.568,intimacies,0.548,derstanding,0.511
26,arbitrators,0.378,marriage,0.432,parentage,0.651,subsists,0.705,relatios,0.738,quarrels,0.568,conflict,0.546,existed,0.51
27,maniage,0.376,disagreement,0.43,legitimacy,0.646,relatons,0.703,relaticns,0.737,interdependence,0.566,coopeiation,0.545,animosity,0.51
28,connection,0.375,liarities,0.424,relatiois,0.644,frendship,0.703,friendliness,0.735,tercourse,0.565,cooporation,0.545,quarrels,0.508
29,misunderstandings,0.374,nection,0.424,dependence,0.644,intimacies,0.699,intimaoy,0.735,illwill,0.564,tercourse,0.544,rivalry,0.508
30,testimony,0.37,familiarity,0.424,tercourse,0.643,relatiens,0.699,friendshin,0.732,solidarity,0.56,correlation,0.543,fundamental,0.508
31,impossibility,0.368,criminality,0.423,intercourse,0.642,relatlons,0.697,relatioss,0.73,existed,0.559,existed,0.541,irreconcilable,0.508
32,suspicions,0.368,lineage,0.422,enmity,0.636,interoourse,0.695,relstions,0.73,consanguinity,0.558,attitudo,0.539,00operation,0.508
33,distinctive,0.368,enmity,0.421,intercouse,0.635,lelations,0.695,relationis,0.727,intercommunion,0.558,quarrels,0.539,cordiality,0.501
34,fitness,0.367,endearing,0.42,propinquity,0.635,disagreements,0.694,reltions,0.725,oonflict,0.557,likeness,0.538,disagreement,0.499
35,guilt,0.366,distinctions,0.417,dispute,0.634,reations,0.692,disagreements,0.725,00operation,0.555,differentiation,0.537,disagreements,0.498
36,domicile,0.366,clanship,0.417,similarity,0.634,contentions,0.692,relitions,0.724,enmity,0.555,fundamental,0.536,harmonious,0.493
37,circumstances,0.365,acquaintance,0.416,acquaintanceship,0.634,idiosyncracy,0.69,relatiou,0.722,rivalrv,0.554,conflicts,0.535,traditions,0.492
38,intestates,0.365,fraternal,0.416,affinities,0.633,analogy,0.69,irelations,0.721,timacy,0.554,conception,0.533,awareness,0.492
39,testi,0.364,privity,0.413,ancestry,0.632,incompatibility,0.69,neighbourliness,0.72,incompatibility,0.55,status,0.531,rapprochement,0.492
40,distintion,0.363,intercourse,0.412,relation,0.631,idiosyncracies,0.688,affinity,0.719,resemblance,0.548,approximation,0.53,distrust,0.488
41,unhappiness,0.363,attachment,0.41,incompatibility,0.631,intimaoy,0.687,antagonism,0.716,illfeeling,0.545,attitude,0.53,antagonisms,0.488
