,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,languages,0.473,ropean,0.572,europe,0.437,ropean,0.618,ropean,0.733,ropean,0.735,ropean,0.763,europeau,0.906,earopean,0.921,earopean,0.921,kuropean,0.735,pean,0.795,euro,0.861
1,practical,0.39,euro,0.45,urope,0.429,euro,0.595,euro,0.697,euro,0.617,kuropean,0.724,earopean,0.893,europeau,0.916,europeau,0.921,europeau,0.698,kuropean,0.751,pean,0.861
2,scheme,0.377,savages,0.425,nations,0.427,englifh,0.567,uropean,0.684,pean,0.579,pean,0.721,enropean,0.866,enropean,0.898,euronean,0.899,enropean,0.696,europe,0.692,europe,0.674
3,injuries,0.37,civilized,0.422,lonies,0.425,pean,0.557,europcan,0.673,europe,0.564,furopean,0.703,furopean,0.86,luropean,0.86,enropean,0.89,pean,0.686,luropean,0.678,countries,0.648
4,langua,0.361,nations,0.413,empires,0.418,europe,0.546,pean,0.622,europeans,0.546,euro,0.663,pean,0.855,huropean,0.856,luropean,0.868,euronean,0.671,opean,0.64,angloamerican,0.592
5,oriental,0.361,europeans,0.403,afiatic,0.411,afiatic,0.537,attpofphere,0.527,britih,0.539,luropean,0.653,kuropean,0.846,europoan,0.842,kuropean,0.862,furopean,0.662,europ,0.633,kurope,0.581
6,spanijb,0.354,eastern,0.402,europc,0.406,englilh,0.537,europea,0.517,continental,0.537,europeans,0.622,ropean,0.828,euiopean,0.842,europeaa,0.856,europea,0.655,euro,0.628,europes,0.576
7,scowring,0.354,pean,0.402,afia,0.405,englifli,0.52,atnsofphere,0.514,uropean,0.534,continental,0.62,europeaa,0.824,eluropean,0.832,europoan,0.854,luropean,0.652,countries,0.625,continent,0.574
8,italian,0.35,countries,0.379,countries,0.4,foreign,0.519,attsofphere,0.503,continent,0.521,europe,0.618,buropean,0.812,eiropean,0.826,europea,0.837,earopean,0.628,kurope,0.609,america,0.571
9,arabick,0.346,narions,0.378,america,0.395,englih,0.501,afiatic,0.49,europ,0.513,enropean,0.606,euiopean,0.81,buropean,0.824,huropean,0.836,europe,0.617,enropean,0.598,asian,0.567
10,eastern,0.34,africk,0.374,euro,0.39,enghfh,0.5,europe,0.484,asiatic,0.51,turkish,0.597,luropean,0.807,kuropean,0.823,eurooean,0.833,russia,0.587,germany,0.596,nations,0.562
11,countries,0.336,epick,0.374,africa,0.389,englifl,0.495,fomehbere,0.483,urope,0.507,uropean,0.587,europeai,0.774,euronean,0.821,ruropean,0.832,russian,0.569,eurone,0.586,germany,0.556
12,manu,0.332,europe,0.373,provinces,0.386,engliih,0.495,opean,0.477,eritish,0.496,kurope,0.58,eiropean,0.765,europeaa,0.821,euroiean,0.83,europ,0.568,ussr,0.586,territories,0.556
13,language,0.331,factories,0.37,regencies,0.386,europeans,0.492,europeans,0.475,british,0.493,archipelago,0.576,europoan,0.762,ecropean,0.811,europeai,0.829,balkan,0.565,balkans,0.58,hemisphere,0.553
14,europe,0.329,colonies,0.362,turkiih,0.382,europ,0.492,peans,0.471,mahratta,0.491,asiatic,0.566,europesn,0.762,eurepean,0.807,europsan,0.821,hungary,0.561,britain,0.578,balkans,0.546
15,englifb,0.329,dizes,0.359,colonics,0.382,englith,0.49,fomewbere,0.464,indian,0.489,enrope,0.565,eurepean,0.759,europsan,0.8,europesn,0.818,uropean,0.559,furope,0.573,unified,0.54
16,spanilb,0.322,portugueze,0.358,indians,0.381,loreign,0.489,sepoys,0.449,ropeans,0.484,persia,0.555,ieuropean,0.753,euopean,0.8,eluropean,0.812,europo,0.557,europo,0.564,peans,0.54
17,inju,0.321,empires,0.358,continent,0.378,englilli,0.489,aflatic,0.445,biitish,0.484,nations,0.553,europeani,0.751,europeon,0.799,eurepean,0.803,balkans,0.551,francogerman,0.562,oeec,0.536
18,broken,0.319,glutted,0.356,europeans,0.375,euiope,0.487,eutope,0.432,colonial,0.482,turkey—the,0.552,eluropean,0.75,europea,0.791,eoropean,0.802,foreigners,0.548,germanys,0.56,bizone,0.534
19,foreigners,0.314,europ,0.355,natives,0.374,foregn,0.485,ropeans,0.431,guzerat,0.48,russian,0.547,leuropean,0.736,furopean,0.79,eurodean,0.801,europeans,0.546,russia,0.559,american,0.532
20,cal,0.31,foreign,0.353,northamerica,0.373,frenchand,0.484,indian,0.428,uritish,0.477,ottoman,0.546,europeon,0.735,europeani,0.789,furopean,0.8,austriahungary,0.543,°pean,0.556,zones,0.531
21,foreign,0.304,westlndies,0.348,lilands,0.373,marattas,0.484,seapoys,0.42,biitilh,0.474,europ,0.543,eutopean,0.723,pean,0.788,euiopean,0.799,belligerent,0.54,anglofrench,0.555,african,0.53
22,royalexchangegate,0.302,bordering,0.347,fettlements,0.372,forcign,0.484,europr,0.419,magazine,0.472,greece,0.54,uropean,0.722,europesn,0.776,uropean,0.799,countries,0.537,italys,0.552,continents,0.529
23,constitutions,0.302,merchandizes,0.346,europ,0.37,engiifh,0.483,europ,0.418,nations,0.471,ropeans,0.538,europan,0.72,europe,0.775,iuropean,0.797,austria,0.535,america,0.55,commonwealth,0.527
24,lan,0.302,mahometans,0.345,englifh,0.369,furope,0.479,fomewhere,0.418,antilles,0.471,lurkish,0.538,europeanl,0.72,iuropean,0.774,turopean,0.796,bussia,0.534,kussia,0.549,europeans,0.524
25,indians,0.302,continent,0.343,american,0.366,foreigners,0.479,feapoys,0.418,britidi,0.469,nental,0.537,eiuropean,0.714,euiropean,0.774,europein,0.794,rnssian,0.531,austria,0.545,democracies,0.522
26,forreign,0.301,merchandize,0.343,eaftern,0.365,ineurope,0.477,viv,0.415,brifish,0.467,hussian,0.536,europea,0.709,leuropean,0.774,europeon,0.794,america,0.531,europeans,0.54,france,0.52
27,africk,0.301,merchandise,0.342,illands,0.364,turkifli,0.475,kurope,0.41,hindostan,0.466,burope,0.534,euiropean,0.708,uropean,0.77,europen,0.792,bulgaria,0.53,republics,0.54,allies,0.516
28,nations,0.3,eaftern,0.341,interior,0.363,foieign,0.474,enrope,0.41,btitish,0.464,torkish,0.529,iuropean,0.707,ropean,0.768,eiuropean,0.789,korean,0.528,latinamerican,0.539,subjugated,0.515
29,philological,0.299,eaflern,0.34,spanijh,0.363,portugucfe,0.474,aliatic,0.408,britith,0.463,furope,0.527,eropean,0.705,europen,0.767,euopean,0.785,philippines,0.527,eurooe,0.539,noneuropean,0.514
30,ical,0.299,polite,0.34,potentates,0.362,nations,0.472,eurepe,0.407,britisli,0.463,turkisb,0.526,angloindian,0.704,ieuropean,0.761,suropean,0.785,noneuropean,0.526,france,0.539,anglofrench,0.514
31,firmities,0.299,ameri,0.339,refpedl,0.36,turkilh,0.468,euroe,0.403,turkish,0.46,euiope,0.525,euro,0.701,euroiean,0.76,europear,0.785,rusia,0.526,japans,0.538,britishfrench,0.514
32,delph,0.297,indian,0.338,neutral,0.36,toreign,0.468,indians,0.403,britiih,0.457,greeks,0.524,europe,0.701,eropean,0.755,earopeau,0.782,ruesia,0.525,lurope,0.537,britain,0.513
