,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,stion,0.62,queftion,0.605,queftion,0.669,answer,0.733,queflion,0.689,thequestion,0.743,questiou,0.771,questiou,0.867,qnestion,0.951,questiou,0.933,ouestion,0.944,ouestion,0.837,ouestion,0.852,auestion,0.754
1,controversy,0.592,queflion,0.527,queflion,0.667,istory,0.553,queltion,0.674,qucstion,0.734,ques,0.755,qnestion,0.825,questiou,0.926,qnestion,0.932,qnestion,0.938,auestion,0.802,auestion,0.832,ques,0.737
2,affirmative,0.492,doubt,0.523,queltion,0.646,qeftion,0.529,queftion,0.667,ques,0.723,quesiion,0.719,quesiion,0.791,quesiion,0.902,ouestion,0.932,auestion,0.937,ques,0.781,ques,0.812,matter,0.706
3,point,0.49,stion,0.51,proposition,0.642,extraded,0.505,quellion,0.654,questioni,0.72,quesion,0.713,quetion,0.774,ouestion,0.89,auestion,0.925,questicn,0.928,nuestion,0.771,quetion,0.75,ouestion,0.675
4,observator,0.467,objection,0.475,questi,0.635,history,0.481,qucllion,0.634,proposition,0.705,questioa,0.701,questien,0.764,auestion,0.878,questien,0.923,questiou,0.926,queston,0.759,queston,0.749,problem,0.652
5,briefly,0.466,questions,0.462,quellion,0.629,extradled,0.476,qucftion,0.627,discussion,0.702,quetion,0.698,queslion,0.75,juestion,0.869,questioi,0.92,juestion,0.921,quetion,0.759,questiou,0.745,vexed,0.616
6,objection,0.459,suppose,0.462,quefion,0.6,extrafled,0.473,queition,0.626,questions,0.7,quiestion,0.697,qiestion,0.735,queslion,0.863,qaestion,0.916,nuestion,0.915,qnestion,0.755,nuestion,0.735,queston,0.613
7,reasoning,0.457,consider,0.434,dispute,0.6,extraaed,0.462,quelion,0.622,qestion,0.693,qnestion,0.694,qluestion,0.732,qaestion,0.862,quostion,0.91,questiom,0.906,queetion,0.751,matter,0.722,suggestion,0.604
8,queftion,0.455,controverted,0.43,queffion,0.592,ceebrated,0.457,quefion,0.621,decision,0.692,questioni,0.69,juestion,0.73,questioo,0.858,qoestion,0.909,suestion,0.905,questiou,0.743,queetion,0.719,possibility,0.593
9,querist,0.446,answer,0.43,stion,0.579,extrated,0.447,quettion,0.619,discussed,0.687,qtestion,0.69,ques,0.727,questioa,0.851,nuestion,0.908,questior,0.903,questioi,0.736,juestion,0.712,question—,0.59
10,matter,0.443,scruple,0.418,quefltion,0.566,extraed,0.436,queffion,0.618,questionl,0.684,qucstion,0.683,questlon,0.722,quostion,0.851,cuestion,0.907,questioa,0.902,matter,0.73,vexed,0.707,questions,0.588
11,trueprotestant,0.442,stions,0.417,qucftion,0.564,extrafted,0.435,qeftion,0.618,discuss,0.677,qustion,0.674,quesion,0.72,nuestion,0.839,queition,0.905,quostion,0.902,problem,0.718,qnestion,0.699,questio,0.574
12,dottrine,0.438,ask,0.416,supposition,0.554,thoyras,0.433,qucflion,0.615,subjet,0.674,proposition,0.67,questioi,0.717,luestion,0.838,quetion,0.902,qiestion,0.902,quostion,0.701,quesion,0.696,controversy,0.573
13,imposture,0.433,know,0.411,answer,0.554,hifloty,0.419,quefiion,0.603,questio,0.671,questioi,0.67,qoestion,0.713,quetion,0.837,questior,0.902,quastion,0.9,luestion,0.697,cuestion,0.69,principle,0.571
