,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,geographical,0.552,xxxxxx,0.666,hiftorical,0.786,hillorical,0.622,hiftorical,0.677,hiftorical,0.804,torical,0.763,histori,0.79,torical,0.892,torical,0.893,historial,0.909,torical,0.811,torical,0.836,torical,0.779
1,philosophical,0.541,genealogical,0.571,hiflorical,0.755,hiftorical,0.616,hiflorical,0.661,hiltorical,0.761,hiftorical,0.74,torical,0.785,historic,0.865,historial,0.882,torical,0.901,historic,0.758,histori,0.779,historic,0.649
2,history,0.536,storical,0.567,hiltorical,0.743,hiltorical,0.602,hittorical,0.623,hiflorical,0.755,histori,0.708,histo,0.753,historial,0.863,histoiical,0.879,bistorical,0.871,histori,0.747,historic,0.688,histori,0.647
3,political,0.506,gical,0.537,hiforical,0.684,hifforical,0.584,hiltorical,0.603,hillorical,0.727,hiltorical,0.694,historic,0.739,histo,0.846,bistorical,0.877,historieal,0.86,historically,0.701,topographical,0.668,topographical,0.619
4,transactions,0.484,hiftorical,0.515,hifiorical,0.671,hiflorical,0.58,hiforical,0.595,istorical,0.711,histo,0.692,biographical,0.734,histori,0.836,historica,0.858,histori,0.856,historio,0.672,historio,0.631,antiquities,0.597
5,introduction,0.478,rical,0.498,hifforical,0.666,hiforical,0.572,hillorical,0.585,hittorical,0.691,graphical,0.692,istorical,0.733,bistorical,0.836,legendary,0.847,historica,0.854,legendary,0.666,historically,0.631,archaeological,0.593
6,containing,0.478,numb,0.496,hillorical,0.651,geographical,0.502,hitlorical,0.54,histori,0.688,hiflorical,0.688,topographical,0.706,historieal,0.835,historioal,0.841,histoiical,0.85,antiquity,0.658,legendary,0.625,mediaeval,0.58
7,miscellany,0.464,histo,0.472,histori,0.632,history,0.479,hifforical,0.527,hilorical,0.684,biographical,0.672,biogra,0.704,hitorical,0.828,historieal,0.833,historioal,0.845,archaeological,0.628,antiquity,0.613,contemporary,0.578
8,moral,0.463,political,0.455,storical,0.629,genealogical,0.478,rical,0.502,hiitorical,0.681,hillorical,0.67,biographi,0.69,biography,0.82,histo,0.832,historicil,0.842,archaeology,0.628,antiquarian,0.603,medieval,0.574
9,appendix,0.459,domestics,0.439,critical,0.567,hiftor,0.477,torical,0.5,hifforical,0.673,anecdotes,0.657,hlistorical,0.689,biographical,0.815,histori,0.826,histerical,0.84,tectural,0.626,history,0.598,antiquity,0.566
10,impartial,0.454,geographical,0.428,hiftori,0.52,miscellaneous,0.468,biographical,0.491,hitlorical,0.667,biogra,0.639,hitorical,0.684,listorical,0.814,listorical,0.826,hitorical,0.838,mediaeval,0.62,folklore,0.593,legends,0.562
11,domeftick,0.452,observa,0.427,geographical,0.518,istory,0.456,hiaory,0.491,hitorical,0.658,rical,0.637,ilistorical,0.679,biographic,0.814,hiatorical,0.825,bibliographical,0.828,history,0.615,topography,0.587,historians,0.558
12,historians,0.447,transactions,0.423,crirical,0.504,dictionary,0.456,poetry,0.485,hifiorical,0.647,phical,0.636,biography,0.677,biogra,0.812,hietorical,0.822,istorical,0.826,biblical,0.614,architecture,0.584,relics,0.557
13,remarks,0.444,5cc,0.422,histo,0.502,etymological,0.453,hirtory,0.484,torical,0.643,history,0.632,graphical,0.674,antiquarian,0.812,hitorical,0.819,historicl,0.825,tiquities,0.608,mediaeval,0.584,folklore,0.553
14,critical,0.441,chronological,0.402,rical,0.495,hilory,0.453,graphical,0.469,hiforical,0.642,topographical,0.624,antiquities,0.659,historioal,0.808,historlcal,0.814,listorical,0.823,historians,0.608,illustrative,0.581,architecture,0.546
15,abstract,0.441,fff,0.395,introductions,0.487,rical,0.446,hifloty,0.469,histo,0.642,illustrative,0.622,history,0.64,legendary,0.8,bibliographical,0.809,hisorical,0.823,histories,0.601,architectural,0.578,architec,0.543
16,modern,0.44,♦,0.391,polirical,0.484,iliftory,0.446,history,0.469,hiftori,0.6,tiquities,0.62,illustrations,0.625,historica,0.799,pictorial,0.808,historic,0.822,literary,0.601,archaeological,0.578,toric,0.542
17,geography,0.438,postmaster,0.389,histor,0.479,phical,0.446,hijlory,0.469,orical,0.587,sketches,0.612,phical,0.625,ilistorical,0.797,biography,0.808,hietorical,0.82,legends,0.596,archseological,0.577,antiquarian,0.541
18,anatomy,0.433,containing,0.389,xlviii,0.477,hiilory,0.441,hifto,0.466,history,0.584,memoirs,0.605,topogra,0.625,histoiical,0.795,history,0.8,historicai,0.819,ethnological,0.596,anecdotal,0.573,prehistoric,0.536
19,index,0.432,domestick,0.389,nealogical,0.471,hiftorv,0.44,ritical,0.465,biographical,0.577,necdotes,0.604,anecdotes,0.624,hiatorical,0.794,biblical,0.8,historcal,0.815,topographical,0.591,archaeo,0.572,monastic,0.535
20,description,0.427,ical,0.386,phical,0.47,customs,0.437,satirical,0.464,rical,0.576,illustrations,0.604,hitory,0.622,pictorial,0.791,istorical,0.8,ethnological,0.808,bibliographical,0.59,arthurian,0.572,sociological,0.535
21,domestick,0.424,tical,0.38,political,0.465,hifto,0.435,hiftary,0.462,interspersed,0.56,sketch,0.602,illustrative,0.612,histerical,0.786,arthurian,0.797,hiatorical,0.808,folklore,0.587,legends,0.571,history,0.532
