,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,subordination,0.407,equa,0.548,confiftent,0.463,inequality,0.479,ofliberty,0.612,reciprocity,0.601,equa,0.614,equalitv,0.875,eqnality,0.878,eqnality,0.913,equalitv,0.744,reciprocity,0.643,democracy,0.635
1,birthright,0.389,solidity,0.508,extenfion,0.461,dependence,0.466,equa,0.606,immutable,0.544,equalisation,0.552,equalit,0.778,equahty,0.863,equalitv,0.868,toleration,0.619,inequality,0.604,principle,0.589
2,entail,0.385,varies,0.479,equal,0.46,comparifon,0.455,liberiy,0.594,equipoise,0.534,footing,0.547,equaity,0.728,equalitv,0.849,equaiity,0.856,freedom,0.616,solidarity,0.604,freedom,0.583
3,fundamental,0.384,thinneft,0.475,implies,0.459,equal,0.453,libertv,0.581,irreconcilable,0.531,toleration,0.531,toleration,0.722,equauty,0.83,eouality,0.841,inequality,0.607,status,0.587,selfdetermination,0.582
4,income,0.38,thinnest,0.466,independency,0.452,immutable,0.453,libeity,0.577,nations,0.524,equalization,0.52,equality—,0.721,eqality,0.791,equslity,0.838,principle,0.603,toleration,0.581,giveandtake,0.577
5,incapacity,0.377,equal,0.463,ftrength,0.449,subordination,0.451,berty,0.562,equilibrium,0.523,citizenship,0.511,freedom,0.721,equslity,0.789,eqaality,0.791,selfdetermination,0.594,minorities,0.58,fundamental,0.574
6,repugnant,0.373,milled,0.456,incroachment,0.444,axiom,0.439,democracy,0.561,unalienable,0.516,fooling,0.504,citizenship,0.703,equaity,0.774,equaity,0.788,independence,0.594,independence,0.58,independence,0.571
7,matrimony,0.369,bcauty,0.426,fuperiority,0.443,evident,0.429,cquality,0.556,fubverfion,0.512,fieedom,0.504,inalienable,0.696,toleration,0.768,freedomand,0.763,selfgovernment,0.586,selfdetermina,0.579,survival,0.571
8,reverence,0.367,subordination,0.422,ftipend,0.441,idea,0.427,lberty,0.555,inalienable,0.51,fredom,0.5,nonchristian,0.694,equalit,0.749,unsectarianism,0.761,fieedom,0.584,selfgovernment,0.578,inequality,0.571
9,consistent,0.366,ballance,0.417,emulation,0.44,felfprefervation,0.426,freedom,0.553,democratical,0.51,inalienable,0.497,imprescriptible,0.692,equality—,0.738,toleration,0.76,evenhanded,0.584,selfdetermination,0.575,inalienable,0.568
10,presbyters,0.365,neceflarily,0.415,balance,0.437,fubordination,0.424,liberty,0.546,freedom,0.509,indefeasible,0.491,treedom,0.682,unsectarianism,0.733,selfgovernment,0.749,citizenship,0.581,principle,0.574,ciple,0.558
