,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,external,0.596,external,0.676,external,0.734,external,0.664,interna,0.772,ternal,0.744,ternal,0.723,iuternal,0.89,iuternal,0.926,iuternal,0.921,ternal,0.771,ternal,0.796,ternal,0.802
1,heals,0.529,ternal,0.584,hemorrhages,0.504,ternal,0.572,intcrnal,0.757,external,0.721,interna,0.684,ternal,0.84,ternal,0.884,nternal,0.876,external,0.712,external,0.658,external,0.672
2,inward,0.446,inward,0.502,afterpains,0.48,local,0.483,external,0.699,interna,0.72,external,0.642,external,0.778,intornal,0.849,inteinal,0.855,nternal,0.693,externa,0.612,externa,0.621
3,rhume,0.429,wastings,0.492,puflules,0.476,internally,0.472,ternal,0.682,externa,0.551,externa,0.546,nternal,0.771,external,0.821,interual,0.849,externa,0.581,internally,0.536,gaseous,0.466
4,wastings,0.423,exco,0.487,ternal,0.472,fovercign,0.472,interial,0.631,finances,0.492,intestine,0.489,iternal,0.746,interual,0.817,iaternal,0.842,interna,0.542,externally,0.512,internally,0.461
5,effusions,0.415,phthisical,0.474,excoriations,0.46,weakens,0.463,iternal,0.604,exterior,0.473,finances,0.481,interna,0.738,iaternal,0.805,iternal,0.832,internally,0.495,interna,0.498,economic,0.457
6,shortness,0.413,waftings,0.468,conftraint,0.454,humian,0.461,tcrnal,0.551,resources,0.466,internally,0.476,internial,0.694,nternal,0.8,intornal,0.824,economic,0.476,germicide—an,0.491,friction,0.442
7,waitings,0.402,ulceis,0.462,puftules,0.45,obftructions,0.46,extcrnal,0.538,prosperity,0.461,stability,0.472,preexisting,0.68,iuterual,0.793,intrnal,0.818,hemorr,0.476,hemor,0.488,impairment,0.441
8,corroborate,0.387,ptisical,0.459,flimulating,0.447,vifcera,0.457,externa,0.536,manufadures,0.458,tranquillity,0.464,equilibrium,0.677,internsl,0.785,internsl,0.808,minasspc,0.462,acid—an,0.474,alignment,0.44
9,unhinge,0.386,excoriations,0.457,paini,0.443,externally,0.454,interal,0.526,permanence,0.45,tranquility,0.454,initernal,0.663,internai,0.775,internial,0.805,laceration,0.461,empyema,0.466,interference,0.438
10,genital,0.383,sorenef,0.449,paina,0.431,pleurifies,0.453,cxternal,0.523,paralyse,0.445,monetary,0.452,paralysing,0.648,inteinal,0.775,ternal,0.804,complications,0.455,rhage,0.464,economio,0.438
11,chronick,0.382,refpiration,0.447,gritty,0.43,flammations,0.453,inteftine,0.517,ameliora,0.444,ofthecountry,0.442,internat,0.648,mternal,0.772,intcrnal,0.795,fractures,0.455,dislocations,0.464,suppres,0.435
12,ulcers,0.382,applications,0.44,fiflulas,0.427,obftruaions,0.446,ernal,0.503,perity,0.441,territorial,0.437,governmental,0.636,theinternal,0.772,internai,0.786,ernal,0.452,ruptures,0.458,dislocation,0.432
13,digeftion,0.38,waitings,0.439,sciatick,0.422,bleedings,0.445,intestine,0.493,wellbeing,0.441,slightness,0.437,testine,0.634,iternal,0.765,initernal,0.785,complication,0.448,economic,0.456,disloca,0.432
14,provokes,0.379,gritty,0.438,sorenefs,0.419,obftruftions,0.441,intefline,0.466,amelioration,0.439,temporal,0.436,developmentof,0.634,internel,0.754,intermal,0.779,westnof,0.445,cranial,0.45,feverreducer,0.432
15,fistulas,0.378,ptifical,0.438,weaknefies,0.412,intern,0.44,exter,0.441,refources,0.436,mothercountry,0.435,equili,0.63,intenal,0.754,internil,0.775,hemor,0.444,redesigning,0.449,disintegra,0.431
16,catarrhs,0.377,rawness,0.438,lownels,0.406,rheumatifms,0.439,exhaufting,0.433,interior,0.436,resources,0.432,disarrangements,0.627,interaal,0.737,internali,0.773,subcutaneous,0.442,hemorrhages,0.446,interna,0.429
17,reftores,0.376,calculous,0.435,pains,0.403,fprains,0.438,interior,0.432,essentially,0.434,externally,0.431,enfeebling,0.627,internial,0.735,iinternal,0.77,hemorrhage,0.437,crippling,0.446,resulting,0.429
18,perfedly,0.37,ulccrs,0.433,nerve,0.401,obftruc,0.435,amelioration,0.431,financial,0.434,relations,0.428,development,0.627,initernal,0.717,interoal,0.768,convulsion,0.436,analgesic,0.445,nomic,0.427
19,immoderate,0.37,drowsiness,0.43,inflammation,0.4,weakening,0.432,cifential,0.429,enervate,0.433,commerce,0.428,expansion,0.624,eiternal,0.705,interaal,0.764,bureaucratic,0.434,feverreducer,0.445,omic,0.426
20,feaver,0.366,rheumatisms,0.428,limb,0.4,overeign,0.431,domeftic,0.426,tranquillity,0.433,development,0.427,intestine,0.62,inernal,0.705,inernal,0.761,complica,0.433,acid—a,0.445,consequent,0.424
21,breath,0.362,reltores,0.427,ieaft,0.399,weaken,0.431,intermeddling,0.424,prolperity,0.432,organization,0.425,impairing,0.618,xternal,0.703,internel,0.758,malady,0.43,septic,0.445,instability,0.423
22,remainders,0.361,opiates,0.422,rheumatick,0.396,difordrs,0.431,countervail,0.423,fexual,0.432,afftirs,0.425,internally,0.618,extornal,0.701,isternal,0.753,dissensions,0.429,prostate,0.443,nonintervention,0.422
23,asthmas,0.36,respiration,0.42,rheumatic,0.396,weaknefies,0.43,domeltic,0.421,insular,0.431,exterior,0.424,interial,0.615,ernal,0.687,external,0.749,dislocation,0.428,governmental,0.442,remedying,0.421
24,cancers,0.359,loosenesses,0.414,hypochondriac,0.395,weaknelles,0.425,tranquility,0.419,affeclions,0.431,local,0.421,structural,0.614,interal,0.685,luternal,0.745,austroservian,0.428,vascular,0.442,deterioration,0.413
25,curts,0.358,urinary,0.414,ringworms,0.394,inflammations,0.422,relburces,0.419,profperity,0.43,nffairs,0.421,complication,0.611,esternal,0.675,lnternal,0.743,rhage,0.428,degenerative,0.441,arbitrary,0.411
26,loathing,0.357,uicers,0.411,bleedings,0.394,coniftitution,0.421,diftracted,0.419,complexity,0.429,ternally,0.421,complicated,0.604,intersal,0.674,interinal,0.741,respiratory,0.427,derange,0.44,spleen,0.411
27,appetite,0.357,sorenels,0.41,convullive,0.393,tumours,0.421,veaknefs,0.418,factitious,0.428,concerns,0.421,localisation,0.602,exterual,0.674,intenal,0.739,kxternal,0.426,economio,0.439,absorption,0.408
28,restores,0.355,reftorcs,0.409,tympanum,0.393,conltitu,0.417,rcfources,0.417,manufadlures,0.426,reciprocal,0.42,derange,0.601,externa,0.671,interial,0.703,combus,0.426,recurrent,0.436,supervened,0.404
29,cancerous,0.353,excorations,0.406,rcins,0.39,linbs,0.416,intern,0.416,inefficiency,0.425,existing,0.42,localization,0.6,internall,0.663,internlal,0.698,weaknesses,0.425,arteries,0.435,necessitating,0.403
30,relick,0.353,ukers,0.405,breakingsout,0.387,ulcerous,0.415,injection,0.414,counteraction,0.424,tranq,0.419,contraction,0.6,internl,0.659,mternal,0.689,externally,0.423,antifermentative,0.434,currence,0.403
31,caures,0.351,hypochondriacal,0.403,palpitations,0.386,glandular,0.415,diffracted,0.412,chondriac,0.423,organical,0.419,bodypolitic,0.599,interial,0.657,eaternal,0.686,political,0.423,hemorrhage,0.434,farreaching,0.402
32,surfeits,0.35,soreners,0.402,theleaft,0.385,deformities,0.414,domeflic,0.411,endanger,0.423,equilibrium,0.418,impede,0.598,oxternal,0.649,internall,0.682,gastro,0.422,injuiy,0.433,governmental,0.4
33,rectifies,0.35,dropsies,0.402,symptomns,0.384,lownefi,0.414,tianquillity,0.41,ganization,0.422,distractions,0.417,disarrangement,0.598,terual,0.644,erternal,0.645,disloca,0.421,pancreas,0.433,integrating,0.4
34,arcanum,0.347,ulcets,0.398,hyfteric,0.384,llrength,0.414,prevention,0.41,welfare,0.422,permanence,0.417,existiug,0.597,intestine,0.622,cicatrisation,0.643,intestine,0.418,arthritic,0.431,irritating,0.399
35,scurvey,0.346,extreamparts,0.395,surfeits,0.382,difeafts,0.412,flrengthening,0.409,acceleration,0.418,structure,0.417,externa,0.596,extenal,0.614,extrnal,0.642,agrarian,0.418,arterio,0.431,administration,0.398
36,suffusions,0.346,heal,0.395,bruifes,0.378,althmas,0.412,obftru,0.409,connedled,0.417,efliciency,0.417,isolation,0.596,internally,0.614,exernal,0.633,adenoids,0.417,pleural,0.429,dispensable,0.398
37,stitches,0.343,digellion,0.394,convulfive,0.376,rhcu,0.411,enenies,0.409,happines,0.417,financial,0.417,disarrange,0.595,constriction,0.603,intetnal,0.63,brain—the,0.417,indirect,0.428,embarrassments,0.397
38,urine,0.342,obstructi,0.392,aflhmas,0.375,legiflation,0.411,fomenting,0.409,ofthings,0.417,affitirs,0.414,disorgani,0.595,externl,0.6,interal,0.626,strangulated,0.416,haemorrhage,0.427,inflamma,0.397
39,digestion,0.34,stomatical,0.391,sleepinefs,0.375,abhorrent,0.41,weaknels,0.408,externally,0.416,quillity,0.411,complica,0.594,weakening,0.598,xternal,0.625,economio,0.415,muscular,0.426,thyroid,0.395
40,itchings,0.339,digefion,0.389,tumours,0.374,weaknelfes,0.409,doineftic,0.408,analagous,0.416,domestic,0.411,intertial,0.591,ternally,0.592,eiternal,0.621,amelioration,0.412,constriction,0.426,ternally,0.395
41,swoonings,0.338,cararrhs,0.388,incipient,0.374,ucers,0.408,refourees,0.407,affirs,0.415,affhirs,0.41,necessitating,0.59,isolation,0.592,internl,0.621,austria,0.412,combustion,0.426,cuts,0.394
42,urinally,0.337,hoarfnefs,0.386,eradicating,0.372,secretion,0.408,fydem,0.406,development,0.414,derange,0.41,maritime,0.589,externally,0.587,terual,0.607,internecine,0.412,fering,0.424,intransigence,0.394
43,potently,0.337,digeltion,0.385,cholicks,0.372,bodily,0.407,exterior,0.406,conservation,0.414,tianquillity,0.409,anterior,0.589,exteral,0.587,bilateral,0.604,functional,0.411,intensification,0.424,commissariat,0.394
44,fæces,0.335,itcures,0.385,palfiy,0.372,fovereign,0.407,interfere,0.405,aggrandisement,0.414,relatione,0.409,weakening,0.587,induration,0.585,externa,0.604,austriahungary,0.411,complications,0.423,tortion,0.393
45,corroborating,0.334,perfctly,0.384,ventreal,0.371,fources,0.407,nal,0.405,comnerce,0.414,aifairs,0.408,complications,0.587,contraction,0.582,esternal,0.603,hungary,0.41,pituitary,0.422,minimises,0.393
46,cholicks,0.334,incipient,0.382,difeaft,0.37,difordes,0.406,inefficiency,0.405,organiza,0.413,terior,0.408,state—in,0.587,deepseated,0.578,exterual,0.6,pleuritic,0.41,osteomyelitis,0.421,externally,0.393
47,hysterick,0.333,ucers,0.382,gouty,0.37,legillation,0.405,adual,0.404,fyttem,0.413,administrative,0.408,disorgan,0.586,oisease,0.577,externial,0.597,sepsis,0.41,sufiering,0.42,antipyretic,0.392
48,corroborates,0.332,ulcers,0.382,fiftulas,0.367,partial,0.405,diftrafted,0.403,sperity,0.413,noninterference,0.407,abnormal,0.586,irritatin,0.577,derange,0.596,cerebral,0.409,stomaoh,0.42,heightening,0.391
49,indigestions,0.331,sorenefi,0.381,lownef,0.367,conrtitution,0.404,piomote,0.403,mental,0.413,affsirs,0.406,existing,0.584,tornal,0.576,macous,0.596,injuries—the,0.409,hemorr,0.42,glandular,0.391
