,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,countrey,0.626,countrey,0.523,countrey,0.543,countrey,0.67,counrry,0.575,countiy,0.753,ccuntry,0.68,countrv,0.755,countrv,0.82,countrv,0.847,conntry,0.879,conntry,0.916,conntry,0.93,ccuntry,0.924,oountry,0.842,oountry,0.865,countrv,0.779
1,armie,0.497,inhabitants,0.442,news,0.498,neighborhood,0.468,gauntry,0.554,countrv,0.747,counrry,0.672,countr,0.73,countiy,0.814,couutry,0.82,couutry,0.847,countiy,0.894,coantry,0.918,conntry,0.917,countrv,0.823,countiy,0.837,ountry,0.726
2,coun,0.496,gentry,0.435,countries,0.485,province,0.453,countrv,0.551,counrry,0.734,countiy,0.664,countiy,0.722,ccuntry,0.799,conntry,0.816,couniry,0.837,couutry,0.885,countiy,0.916,countiy,0.9,oountrv,0.805,countrv,0.831,oountry,0.709
3,people,0.49,courage,0.431,quarters,0.466,kingdom,0.42,countiy,0.537,conntry,0.71,countrv,0.658,conntry,0.719,conntry,0.785,countiy,0.793,coantry,0.82,countrj,0.874,countrv,0.908,eountry,0.9,ountry,0.763,couutry,0.814,countr,0.692
4,garrifon,0.485,fled,0.425,inhabitants,0.463,territories,0.414,countrey,0.524,councry,0.695,countty,0.653,coantry,0.718,cointry,0.782,coantry,0.774,countrv,0.812,countrv,0.865,ccuntry,0.908,couutry,0.89,countrj,0.759,ountry,0.804,countrj,0.677
5,hands,0.478,plundering,0.42,false,0.443,countreys,0.402,native,0.499,ountry,0.674,ceuntry,0.641,cuuntry,0.711,couintry,0.781,couniry,0.756,countiy,0.81,couniry,0.864,conutry,0.904,countrv,0.889,eountrv,0.743,oountrv,0.795,countiy,0.665
6,bring,0.447,gallant,0.403,hamburg,0.441,dutchy,0.396,gountry,0.497,ccuntry,0.674,couitry,0.64,cuntry,0.7,cuntry,0.773,couitry,0.753,coontry,0.806,counlry,0.847,couniry,0.9,couitry,0.882,countiy,0.738,conntry,0.788,counry,0.611
7,fell,0.438,worke,0.382,toward,0.44,coun,0.395,coun,0.469,countty,0.657,coantry,0.637,counrry,0.699,courtry,0.772,couatry,0.746,couatry,0.803,ccuntry,0.844,countrj,0.899,conutry,0.88,conntry,0.722,countrj,0.767,eountrv,0.598
8,red,0.436,home,0.379,towards,0.44,villages,0.394,neighbourhood,0.448,gountry,0.648,conntry,0.635,ccuntry,0.693,coantry,0.77,countr,0.745,ceuntry,0.79,conutry,0.841,ceuntry,0.891,cauntry,0.876,oonntry,0.718,conntrv,0.747,countn,0.597
9,honour,0.425,brave,0.378,poor,0.435,neighbourhood,0.386,town,0.442,couutry,0.648,courtry,0.633,couatry,0.682,couniry,0.767,coontry,0.73,counlry,0.789,coautry,0.837,couutry,0.889,cuuntry,0.876,eountry,0.697,eountrv,0.738,country—,0.596
10,com,0.411,quarters,0.372,suedes,0.432,principality,0.386,countrys,0.427,courtry,0.64,countr,0.628,countty,0.678,ountry,0.764,ountry,0.729,ountry,0.774,couutrv,0.832,couatry,0.889,coumtry,0.872,conntrv,0.694,ccuntry,0.722,untry,0.582
11,gotten,0.41,county,0.371,security,0.425,piedmont,0.384,territories,0.426,couniry,0.626,couniry,0.626,couniry,0.678,couutry,0.764,cotintry,0.719,couotry,0.772,coantry,0.831,coimtry,0.884,comntry,0.871,ccuntry,0.688,eountry,0.719,oountrv,0.573
12,taking,0.407,horfes,0.37,empire,0.42,trey,0.382,kingdom,0.425,countr,0.625,ountry,0.624,ceuntry,0.675,couitry,0.762,eountry,0.714,oountry,0.754,eountrv,0.83,courtry,0.881,ceuntry,0.871,coimtry,0.685,coantry,0.705,conntry,0.565
13,army,0.405,town,0.368,reports,0.411,moselle,0.38,villages,0.41,cotintry,0.61,counitry,0.608,ountry,0.664,cotntry,0.761,courtry,0.711,eountry,0.753,couotry,0.823,coontry,0.879,counlry,0.868,untry,0.667,couniry,0.7,couniry,0.549
14,marched,0.404,coming,0.364,city,0.41,brabant,0.38,district,0.409,cuntry,0.6,cuntry,0.607,coustry,0.663,eountry,0.752,cointry,0.705,cointry,0.75,sountry,0.818,sountry,0.875,couatry,0.868,couutry,0.661,countty,0.689,rountry,0.548
15,firong,0.404,fellow,0.358,defence,0.407,frontiers,0.378,mecklemburgh,0.4,thecountry,0.587,cuuntry,0.598,cotintry,0.663,counrry,0.75,counitry,0.699,rountry,0.749,eountry,0.818,cauntry,0.873,countrr,0.867,eonntry,0.66,ocuntry,0.686,eountry,0.535
16,city,0.403,number,0.358,enemies,0.406,nation,0.375,countries,0.4,couintry,0.584,couintry,0.597,coontry,0.663,countr,0.747,counrry,0.698,counitry,0.738,cuuntry,0.814,eountrv,0.872,aountry,0.866,ocuntry,0.659,courtry,0.68,°untry,0.519
17,citie,0.402,fort,0.352,daily,0.403,forrage,0.371,countr,0.398,couatry,0.579,untry,0.573,cnuntry,0.661,coontry,0.745,cauntry,0.688,couintry,0.736,countryand,0.813,oountry,0.872,coautry,0.865,couniry,0.658,rountry,0.672,iountry,0.515
18,left,0.399,hearts,0.352,river,0.403,winterquarters,0.371,province,0.385,couitry,0.577,coutry,0.524,cbuntry,0.657,cauntry,0.741,thecountry,0.687,conntrv,0.723,oountry,0.811,couutiy,0.87,sountry,0.862,ooontry,0.655,cointry,0.67,pountry,0.514
19,company,0.396,fouldiers,0.351,prevent,0.4,peasants,0.37,own,0.384,countrey,0.563,counry,0.519,countsy,0.654,cotintry,0.737,ceuntry,0.687,cauntry,0.719,conntrv,0.811,coudtry,0.87,counrry,0.861,cotmtry,0.649,counry,0.67,country—a,0.504
20,land,0.391,citie,0.35,troops,0.398,luxemburgh,0.368,incursions,0.383,coantry,0.563,town,0.48,couhtry,0.653,tountry,0.734,counfry,0.687,coutitry,0.719,couatry,0.809,couotry,0.868,cnuntry,0.859,countrr,0.649,couutrv,0.669,countryside,0.49
21,fill,0.39,mercy,0.346,poland,0.394,moldavia,0.367,desolation,0.383,coutry,0.562,contry,0.48,cointry,0.65,coutitry,0.733,cotntry,0.686,cotntry,0.718,icountry,0.808,eonntry,0.867,couniry,0.858,rountry,0.647,countrr,0.667,neighbourhood,0.478
22,field,0.387,hopes,0.344,field,0.39,incursions,0.366,electorate,0.378,untry,0.561,thecountry,0.479,lountry,0.649,counitry,0.732,rountry,0.682,thecountry,0.714,couitry,0.806,eountry,0.867,eouutry,0.858,oouniry,0.646,oonntry,0.661,village,0.471
23,amongft,0.383,trade,0.344,parts,0.389,forage,0.365,religion,0.374,cointry,0.557,coun,0.46,couintry,0.646,countty,0.728,cuntry,0.68,conutry,0.712,coumtry,0.806,couitry,0.865,corntry,0.856,countr,0.645,countr,0.66,counti,0.471
24,troopes,0.38,fafety,0.344,port,0.389,alsace,0.364,transilvania,0.373,contry,0.554,try,0.437,couutry,0.643,ceuntry,0.718,couintry,0.68,couitry,0.703,ceuntry,0.806,counlry,0.864,cotntry,0.855,ooumtry,0.641,countn,0.659,ciountry,0.464
25,keepe,0.379,danger,0.343,germany,0.384,garifons,0.362,habitations,0.369,counny,0.546,tovwn,0.415,tountry,0.641,cnuntry,0.715,ccuntry,0.677,coustry,0.697,coontry,0.803,conatry,0.861,coudtry,0.855,cointry,0.636,•ountry,0.651,cotswolds,0.463
