,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,doge,0.601,republick,0.574,regency,0.625,dyet,0.59,fenate,0.784,fenate,0.696,tribunate,0.741,congress,0.636,seuate,0.885,senato,0.929,senato,0.903,senates,0.765,senates,0.747,senates,0.726
1,venice,0.547,regency,0.532,republick,0.619,republick,0.573,divan,0.648,scnate,0.667,conservative,0.734,deputies,0.58,deputies,0.835,seuate,0.917,seuate,0.898,senators,0.725,senators,0.721,congressional,0.702
2,republick,0.528,doge,0.524,senators,0.595,states,0.544,dyet,0.597,senatc,0.657,confervative,0.677,senate—,0.575,congress,0.826,thesenate,0.881,deputies,0.866,senato,0.711,reichstag,0.665,vandenberg,0.683
3,pope,0.509,emperor,0.503,states,0.574,divan,0.542,republic,0.579,direaory,0.545,deputies,0.666,convocation,0.548,cortes,0.817,benate,0.862,senates,0.862,deputies,0.666,ratification,0.654,appropriations,0.668
4,milan,0.484,repubiick,0.497,deputies,0.574,nuncios,0.541,senators,0.559,senators,0.536,legislative,0.653,proceres,0.548,thesenate,0.806,cortes,0.849,reichstag,0.858,reichsrath,0.656,legislature,0.637,senator,0.654
5,emperor,0.481,senators,0.485,republic,0.567,deputies,0.54,emprefs,0.537,congrefs,0.536,bunate,0.651,senators,0.545,cougress,0.795,reichstag,0.848,skupshtina,0.849,reichstag,0.649,senatorial,0.631,congress,0.639
6,dalmatia,0.463,rcpublick,0.471,dyet,0.552,fenate,0.535,empire,0.537,congrefa,0.534,legiflative,0.642,procuradores,0.534,storthing,0.794,cougress,0.834,reichatag,0.841,riksdag,0.647,deputies,0.625,senators,0.604
7,vienna,0.462,pifani,0.465,rcpublick,0.55,dyct,0.529,nuncios,0.526,direftory,0.526,statesgeneral,0.626,aulic,0.529,statesgeneral,0.788,reichatag,0.834,reichetag,0.84,storthing,0.646,eireann,0.624,legislature,0.6
8,signior,0.456,regent,0.455,nuncios,0.544,regency,0.523,eledor,0.523,congrels,0.52,senatus,0.624,legislature,0.524,regency,0.776,depnties,0.826,beichstag,0.84,skupshtina,0.641,coolidge,0.62,republican,0.587
9,statesgeneral,0.449,repub,0.455,divan,0.54,republicks,0.514,magiltracy,0.518,convention,0.518,archchancellor,0.623,republic,0.52,volksthing,0.761,reicherath,0.823,doputies,0.839,folkething,0.635,riksdag,0.602,gressional,0.583
10,malta,0.449,regents,0.451,republiek,0.536,emprefs,0.514,diffidents,0.518,direory,0.518,fenate,0.618,ongress,0.518,senato,0.761,folksthing,0.821,denuties,0.834,seriate,0.624,republican,0.598,connally,0.575
11,genoua,0.441,pope,0.45,repubhck,0.534,teflin,0.51,fenators,0.516,direcory,0.515,legillative,0.599,executive,0.515,senators,0.757,senators,0.819,skupchtina,0.829,statesgeneral,0.617,legislatures,0.592,republicans,0.564
