,en_1700,en_1700_d,en_1720,en_1720_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,writer,0.533,hiftorian,0.632,hiftorian,0.635,historians,0.683,torian,0.699,biographer,0.849,hiatorian,0.808,philologist,0.826,historians,0.72,philosopher,0.693,novelist,0.677
1,examiner,0.513,hiflorian,0.565,historians,0.597,biographer,0.596,historians,0.678,essayist,0.829,philosopher,0.792,genealogist,0.811,biographer,0.712,dramatist,0.69,journalist,0.657
2,englishman,0.506,historians,0.532,hiflorian,0.548,hiftorian,0.584,biographer,0.644,torian,0.82,biographer,0.789,commentator,0.809,theologian,0.665,historians,0.672,essayist,0.656
3,tatler,0.498,poet,0.5,philosopher,0.546,philosopher,0.583,philosopher,0.617,historians,0.818,machiavelli,0.777,biographer,0.804,statesman,0.662,statesman,0.659,antiquary,0.638
4,critick,0.482,philosopher,0.496,hiltorian,0.525,commentator,0.57,grapher,0.607,annalist,0.812,antiquary,0.771,litterateur,0.795,archaeologist,0.653,theologian,0.658,author,0.637
5,philosopher,0.469,histo,0.491,naturalist,0.521,histo,0.55,theologian,0.606,novelist,0.807,spinoza,0.768,historians,0.788,chronicler,0.652,biographer,0.647,dramatist,0.637
6,epigram,0.466,statesman,0.488,hiftorians,0.519,philosophers,0.546,philologist,0.602,froissart,0.8,tacitus,0.763,lexicographer,0.782,philologist,0.649,author,0.639,publicist,0.633
7,flyingpost,0.458,critick,0.478,poet,0.518,moralist,0.545,torians,0.596,commentator,0.797,lexicographer,0.762,archaeologist,0.779,philosopher,0.648,sopher,0.639,historians,0.628
8,historians,0.458,echard,0.477,classic,0.517,antiquary,0.541,annalist,0.592,chronicler,0.795,sopher,0.762,annalist,0.779,litterateur,0.64,archaeologist,0.624,biographer,0.622
9,whig,0.442,observes,0.473,moralist,0.514,translator,0.536,chronicler,0.572,torians,0.785,statesman,0.753,historiau,0.776,satirist,0.639,novelist,0.62,philosopher,0.614
10,cicero,0.438,histoiy,0.47,hillorian,0.507,history,0.535,moralist,0.567,philologist,0.784,annalist,0.751,chronicler,0.771,politician,0.637,politician,0.617,economist,0.604
11,orator,0.437,writer,0.465,politician,0.507,reviewer,0.534,mosheim,0.562,biographers,0.77,commentator,0.749,archeologist,0.765,geographer,0.633,litterateur,0.616,theologian,0.593
12,criticks,0.433,histori,0.465,biographer,0.505,statesman,0.529,commentator,0.561,lexicographer,0.768,historians,0.749,publicist,0.761,dramatist,0.633,playwright,0.6,politician,0.587
13,inserting,0.427,history,0.461,hiltorians,0.498,critics,0.524,romancer,0.56,metaphysician,0.76,novellist,0.739,metaphysician,0.758,novelist,0.627,geographer,0.596,playwright,0.586
14,histo,0.427,classical,0.45,jewish,0.492,criticism,0.518,antiquity,0.557,epic,0.755,moralist,0.738,romancist,0.756,publicist,0.62,satirist,0.596,archaeologist,0.581
15,reflection,0.426,critic,0.445,criticism,0.489,grotius,0.516,histo,0.555,niebuhr,0.755,fronde,0.737,disciple,0.749,genealogist,0.612,educationist,0.595,educationist,0.581
16,poet,0.424,eusebius,0.445,hillorians,0.485,posterity,0.515,statesman,0.555,theologian,0.75,philologist,0.737,zoologist,0.749,anthropologist,0.611,publicist,0.594,reviewer,0.565
17,statesman,0.422,observation,0.443,commentator,0.482,historical,0.513,chroniclers,0.552,archaeologist,0.749,phuosopher,0.736,bibliophile,0.747,critic,0.605,astronomer,0.594,translator,0.56
18,admirer,0.417,disciple,0.439,moralift,0.481,philosophic,0.509,historic,0.548,topographer,0.748,theologian,0.736,scientist,0.747,antiquary,0.604,journalist,0.591,nalist,0.551
19,hero,0.416,translator,0.437,historv,0.481,augustan,0.509,metaphysician,0.548,erudite,0.74,chronicler,0.734,dramatist,0.747,essayist,0.602,essayist,0.588,contemporary,0.55
20,postman,0.415,cicero,0.436,statesman,0.48,commentators,0.506,history,0.545,histoiy,0.738,curtius,0.731,anthropologist,0.742,erudite,0.599,geologist,0.585,chronicler,0.546
21,aristotle,0.415,aristotle,0.433,aristotle,0.477,statesmen,0.506,antiquary,0.544,orientalist,0.737,novelist,0.73,poetlaureate,0.74,translator,0.598,lexicographer,0.584,authoress,0.545
22,postboy,0.414,wisest,0.432,legislator,0.471,journalist,0.503,translator,0.543,reviewer,0.735,mathematician,0.729,ethnologist,0.739,journalist,0.594,antiquary,0.584,antiquarian,0.543
23,mist,0.41,cotemporary,0.432,history,0.47,histor,0.502,histori,0.536,philosopher,0.734,historiau,0.727,bibliographer,0.739,thinker,0.594,philologist,0.578,ornithologist,0.535
24,poets,0.409,apostle,0.428,philosophers,0.469,historyof,0.501,erudite,0.535,pamphleteer,0.734,prophet,0.725,orientalist,0.736,sopher,0.588,sociologist,0.574,statesman,0.533
25,author,0.406,romance,0.427,grotius,0.468,cotemporary,0.501,poet,0.533,histo,0.732,namesake,0.723,annotator,0.734,mathematician,0.584,translator,0.571,writings,0.53
26,philosophers,0.402,astronomer,0.427,atheist,0.467,analyses,0.501,genius,0.53,tacitus,0.732,torian,0.722,pamphleteer,0.733,novelists,0.58,moralist,0.569,antiquities,0.528
27,quote,0.402,tacitus,0.427,hiflorians,0.466,essayist,0.5,biogra,0.53,controversialist,0.732,caesar,0.718,arminius,0.732,thucydides,0.578,spinoza,0.565,archaeology,0.526
28,instance,0.4,annals,0.426,hiflo,0.461,englishman,0.5,orator,0.529,naturalist,0.729,topographer,0.717,antiquary,0.731,playwright,0.577,lawyer,0.56,writer,0.526
29,writers,0.4,gramma,0.422,warrior,0.46,contemporary,0.498,novelist,0.529,statesman,0.724,socrates,0.717,novelist,0.73,lexicographer,0.576,thinker,0.557,history,0.524
30,epitaph,0.398,historv,0.421,reviewer,0.46,biogra,0.498,politician,0.525,moralist,0.723,translator,0.714,sociologist,0.727,educationist,0.574,genealogist,0.555,aristotle,0.524
31,politician,0.397,insincerity,0.419,listory,0.459,virgil,0.497,physiognomist,0.523,humourist,0.716,puritan,0.714,mathematician,0.727,tacitus,0.57,reviewer,0.554,personage,0.522
32,artist,0.397,boetius,0.419,histoty,0.459,novelist,0.496,tiquity,0.523,commentators,0.716,chivalry,0.714,biographers,0.726,empirebuilder,0.568,orientalist,0.553,dramatists,0.521
33,rehearsal,0.396,artist,0.418,thehistory,0.459,histoiy,0.496,rhetorician,0.519,defoe,0.716,arthurian,0.712,eulogist,0.725,astronomer,0.568,lucretius,0.551,geologist,0.519
34,prophecy,0.394,genius,0.418,flavius,0.456,socinian,0.49,expounder,0.516,antiquary,0.715,charlemagne,0.709,erudite,0.724,contemporary,0.565,poets,0.545,philanthropist,0.518
35,medley,0.391,rushworth,0.415,wvriters,0.454,antiquity,0.489,immortal,0.515,essayists,0.714,cfesar,0.708,contemporary,0.722,hymnwriter,0.563,anthropologist,0.544,artist,0.518
36,authors,0.391,fitness,0.415,observes,0.449,poetical,0.489,histery,0.513,songwriter,0.712,nostradamus,0.708,biologist,0.721,parliamentarian,0.562,mathematician,0.544,theologians,0.517
37,papist,0.389,supposes,0.412,journalist,0.447,hislory,0.488,dunciad,0.512,history,0.711,aristotle,0.706,biography,0.719,moralist,0.562,philanthropist,0.541,compiler,0.515
38,apostle,0.389,hiltorians,0.412,grammarian,0.446,profundity,0.486,smollett,0.512,biography,0.711,dramatist,0.706,critio,0.718,diplomatist,0.561,reformer,0.54,astronomer,0.514
39,actor,0.387,hiflo,0.412,anecdote,0.445,aristotle,0.486,controversialist,0.512,sopher,0.707,epic,0.705,folklorist,0.716,craftsman,0.56,sculptor,0.539,novelists,0.514
40,wisest,0.386,rapin,0.411,tacitus,0.445,tiquity,0.485,histoiy,0.511,narrator,0.707,litterateur,0.704,geographer,0.716,philanthropist,0.559,chronicler,0.538,reformer,0.514
41,fiction,0.385,inconsistency,0.411,josephus,0.445,poet,0.485,augustan,0.511,litterateur,0.706,philanthropist,0.704,coutemporary,0.715,egyptologist,0.558,patriot,0.536,descendant,0.513
42,freeholder,0.383,bistop,0.41,posterity,0.444,authors,0.484,poet—,0.509,novelists,0.705,simonides,0.703,ancestry,0.715,biographers,0.558,discoverer,0.535,biologist,0.511
43,circumstance,0.383,consolation,0.409,artist,0.443,southeys,0.484,historical,0.508,novellist,0.705,chaldean,0.703,archaeology,0.714,legislator,0.556,strabo,0.535,histor,0.511
44,absurdity,0.383,journalist,0.409,inspiration,0.442,historv,0.484,orientalist,0.507,versifier,0.702,ctesar,0.7,history,0.713,author,0.556,philoso,0.534,industrialist,0.51
45,manuscript,0.382,facts,0.409,intcresting,0.442,anecdote,0.484,artist,0.507,biogra,0.701,archaeologist,0.7,reviewer,0.713,ethnologist,0.553,descendant,0.533,englishman,0.504
46,criticism,0.381,arrian,0.408,philanthropist,0.44,junius,0.484,aristotle,0.506,historian—,0.7,savant,0.699,panegyrist,0.71,genealogy,0.553,caricaturist,0.531,ancestor,0.504
47,translation,0.381,diodorus,0.408,contemporary,0.44,manuscript,0.483,naturalist,0.505,dunciad,0.697,annalists,0.698,critic,0.71,reviewer,0.55,scholarly,0.53,mathematician,0.503
48,publicly,0.381,ecclesiastic,0.407,writer,0.439,bistory,0.483,historv,0.505,philologists,0.696,biography,0.697,demosthenes,0.709,philosophers,0.55,poetess,0.529,worthies,0.501
49,heroe,0.38,priesthood,0.407,philoso,0.437,theological,0.482,poets,0.504,herodotus,0.695,orator,0.697,homeric,0.709,contemporaries,0.547,economist,0.528,archaeo,0.5
50,reader,0.38,quotation,0.406,illustration,0.434,histoty,0.482,biography,0.502,sismondi,0.694,poetess,0.697,spinoza,0.709,bibliophile,0.547,versifier,0.528,musician,0.5
