,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,faith,0.605,rule,0.542,laws,0.597,laws,0.541,statute,0.561,lawv,0.767,lawv,0.776,lawv,0.812,lawv,0.832,iaw,0.802,lawv,0.828,lavw,0.806,lawv,0.88,lavw,0.887,iaw,0.714,iaw,0.729,laws,0.662
1,right,0.571,lawes,0.522,act,0.531,statute,0.466,laws,0.559,liw,0.73,lav,0.648,liw,0.692,iaw,0.754,lawv,0.798,lawr,0.779,lawv,0.806,lavw,0.877,lawv,0.854,bonar,0.674,laws,0.708,iaw,0.616
2,religion,0.56,laws,0.493,common,0.524,equity,0.448,liw,0.48,lav,0.73,liw,0.607,lavw,0.666,lavw,0.746,lavw,0.664,lasv,0.752,law—,0.799,thelaw,0.822,lawy,0.842,law—the,0.663,law—the,0.649,rence,0.524
3,true,0.552,civill,0.485,judge,0.52,humanity,0.418,torney,0.462,lasv,0.678,lawr,0.563,iaw,0.666,lav,0.718,lasv,0.643,iaw,0.727,lavv,0.796,lawy,0.808,jlaw,0.789,laws,0.62,bonar,0.555,criminal,0.491
4,honour,0.542,divine,0.483,treason,0.519,philosophy,0.401,jewish,0.45,laiv,0.671,equity,0.539,lav,0.649,laiv,0.704,thelaw,0.639,lasw,0.703,lawand,0.778,laiw,0.79,lawf,0.788,ijaw,0.587,lawj,0.547,rule,0.49
5,of,0.536,ancient,0.466,judgment,0.503,tenor,0.4,divinity,0.437,latv,0.621,thelaw,0.535,lasv,0.637,liw,0.682,laiv,0.638,laiv,0.699,laws,0.774,lasw,0.782,law7,0.787,law—l,0.565,bcnar,0.545,violates,0.487
6,empire,0.536,nature,0.464,allowed,0.498,established,0.397,attorney,0.433,iaw,0.606,laiv,0.53,lawj,0.604,lawj,0.665,lawj,0.629,lavw,0.697,lawa,0.766,lawand,0.771,iaw,0.786,law—,0.559,procedure,0.541,unwritten,0.486
7,tion,0.52,clergy,0.456,nature,0.484,obligations,0.386,lav,0.432,lawj,0.594,directs,0.496,lavv,0.594,lasv,0.663,laiw,0.627,thelaw,0.679,lasv,0.755,ljaw,0.758,law1,0.781,motherin,0.553,eonar,0.514,justice,0.475
8,church,0.514,statute,0.449,proceedings,0.471,legal,0.38,civil,0.415,lawr,0.59,iaw,0.492,lawof,0.58,lavv,0.661,lawr,0.62,lavv,0.676,lawi,0.754,iaw,0.757,laiw,0.779,•law,0.552,law—,0.513,fatherin,0.471
9,be,0.509,judgement,0.447,realm,0.468,decrees,0.377,mathematics,0.414,lawy,0.579,attor,0.48,laiv,0.575,laxv,0.657,lawy,0.618,lawy,0.674,lawf,0.751,lasv,0.737,laxv,0.777,law—that,0.551,jlaw,0.511,legal,0.468
