,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,dutchy,0.8,dutchy,0.867,dutchy,0.801,dutchy,0.82,dutchy,0.84,dutchy,0.808,ducby,0.768,ducby,0.938,dachy,0.939,duohy,0.914,duchv,0.722,duchv,0.73,chancellor,0.469
1,durchy,0.689,durchy,0.773,duchies,0.649,holftein,0.58,principality,0.645,duchies,0.57,duchv,0.742,dachy,0.919,duohy,0.934,dnchy,0.896,duohy,0.678,waless,0.501,cellor,0.434
2,dutchies,0.572,dutcby,0.749,dutchies,0.636,holflein,0.566,duchies,0.627,electorate,0.563,dutchy,0.719,duehy,0.891,ducby,0.931,ducby,0.893,duchies,0.568,cellor,0.483,chancellorship,0.419
3,mecklemberg,0.552,datchy,0.726,marquifate,0.635,lithuania,0.566,palatine,0.605,eledor,0.542,duchies,0.62,dnchy,0.887,dnchy,0.924,duchv,0.878,cellorship,0.498,chancellor,0.461,cornwall,0.392
4,bishoprick,0.524,dutchv,0.71,eleorate,0.615,holltein,0.557,eleftorate,0.55,bifhopric,0.539,luxemburg,0.555,duohy,0.883,duehy,0.901,duehy,0.85,chancellorship,0.491,lordlieu,0.46,newquay,0.392
5,mecklen,0.523,dutchies,0.677,juliers,0.61,duchies,0.553,electorate,0.55,piacenza,0.536,emburg,0.539,duchv,0.862,duchv,0.851,dachy,0.83,chancellor,0.484,lordlieut,0.451,climsland,0.388
6,deuxponts,0.523,dutchics,0.647,milaneze,0.605,bavaria,0.553,cleves,0.532,baden,0.535,luxemburgh,0.511,duoby,0.849,duchyof,0.833,duoby,0.793,hohenlohelangenburg,0.48,privy,0.435,viscount,0.385
7,ukrania,0.522,duchies,0.643,principality,0.605,principality,0.546,bailiwick,0.532,lauenburg,0.534,luxem,0.507,duchyof,0.831,duoby,0.833,dochy,0.733,mecklenburgstrelitz,0.48,cornwall,0.433,riviera,0.382
8,electorate,0.519,milaneze,0.626,eledorate,0.596,electorate,0.543,eleaorate,0.531,bishopric,0.53,electorate,0.502,dueby,0.823,dochy,0.763,lordlieutenant,0.713,ihike,0.478,comptroller,0.43,pakenham,0.381
9,mecklem,0.516,courland,0.604,landgraviate,0.583,palatinate,0.53,juliers,0.529,principality,0.528,limburg,0.502,ducliy,0.813,chancellorship,0.677,chancellor,0.702,duko,0.476,hrhs,0.421,lordlieutenant,0.377
10,milaneze,0.515,tuicany,0.598,electorate,0.576,courland,0.523,lithuania,0.521,guastalla,0.525,palatinate,0.497,dochy,0.807,lieutenancy,0.673,dueby,0.697,paymastergeneral,0.467,lordlieutenant,0.419,exchequer,0.375
11,principality,0.514,durchies,0.593,territory,0.576,cracovia,0.522,ponts,0.52,osnaburgh,0.525,luxembourg,0.49,duchiy,0.779,uchy,0.67,cellorship,0.692,cellor,0.463,principality,0.418,falmouth,0.367
12,courland,0.512,tuscany,0.592,bergues,0.575,palatine,0.52,palatinate,0.518,territories,0.521,baden,0.465,dechy,0.761,luchy,0.669,chancellorship,0.692,ducal,0.461,princo,0.418,newquav,0.366
13,territory,0.511,juliers,0.589,courland,0.575,dukedom,0.514,bifhopric,0.516,elector,0.517,oldenburg,0.459,dutchy,0.732,newlycreated,0.666,marqnis,0.684,receivergeneral,0.455,governorgenera,0.418,cornwalls,0.366
14,juliers,0.499,tufcany,0.587,eleaorate,0.574,palatinates,0.508,bailiwicks,0.515,eleftor,0.516,posen,0.458,ducly,0.704,hospodarship,0.657,dnke,0.682,michaelovitch,0.452,hrh,0.416,looe,0.363
15,milanese,0.499,sleswick,0.586,tufcany,0.571,regency,0.507,marquifate,0.512,cleves,0.515,limbourg,0.457,duchsy,0.7,dueby,0.649,cellor,0.681,comptroller,0.448,princ©,0.415,cubert,0.363
16,lithuania,0.497,tulcany,0.586,lombardy,0.57,magdeburg,0.505,urbino,0.51,wirtemburg,0.512,hesse,0.457,palatinate,0.686,laueuburg,0.643,lordlieatenant,0.676,duke,0.445,chancellorship,0.415,deputations,0.362
17,bremen,0.493,dukedom,0.585,eleftorate,0.568,wurtemberg,0.5,palatinates,0.508,archbishopric,0.509,confederation,0.446,tuscauy,0.668,dachies,0.632,chanceuor,0.668,duike,0.445,prince,0.411,paymastergeneral,0.361
18,territories,0.488,lithu,0.577,parma,0.566,silelia,0.5,gueldres,0.507,saltzburgh,0.509,germanic,0.445,uchy,0.668,limburg,0.626,lordlieutenaut,0.667,mecklenburgschwerin,0.443,bosahan,0.41,clifden,0.358
19,district,0.485,deuxponts,0.577,dominions,0.566,glatz,0.497,territory,0.507,brisgau,0.507,palatinates,0.443,duchies,0.644,cellorship,0.626,dacby,0.667,dukedom,0.442,chatsworth,0.41,minister,0.356
