,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,moft,0.47,fide,0.414,sunday,0.417,parr,0.536,parr,0.771,parr,0.85,past,0.708,pirt,0.76,partof,0.793,partof,0.824,partof,0.815,psrt,0.82,psrt,0.884,pnrt,0.812,nart,0.659,nart,0.81,nart,0.728
1,con,0.426,fort,0.396,towards,0.404,pare,0.493,pare,0.68,pare,0.794,pirt,0.702,partof,0.745,pirt,0.765,pirt,0.778,pait,0.787,jiart,0.818,pnrt,0.835,psrt,0.781,pait,0.642,pait,0.773,pait,0.726
2,taking,0.417,lands,0.363,during,0.402,fart,0.454,fart,0.563,parc,0.734,partof,0.7,parr,0.718,piart,0.714,psrt,0.746,pirt,0.768,partof,0.779,pait,0.834,partof,0.777,paxt,0.639,pirt,0.676,psrt,0.572
3,kingdome,0.411,government,0.356,denmark,0.384,remainder,0.39,partof,0.52,fart,0.733,parr,0.694,parc,0.648,parc,0.708,pait,0.737,psrt,0.756,pnrt,0.778,partof,0.8,jiart,0.768,pajt,0.631,partof,0.649,ipart,0.567
4,whole,0.41,forts,0.355,journey,0.374,greatest,0.309,parc,0.511,partof,0.718,patt,0.679,lpart,0.621,pairt,0.692,pnrt,0.724,pnrt,0.755,ipart,0.727,pirt,0.774,pait,0.757,psrt,0.618,paxt,0.63,iart,0.551
5,owne,0.39,theirs,0.341,christian,0.372,derable,0.302,patt,0.457,patt,0.701,lpart,0.674,past,0.616,ipart,0.679,patt,0.699,ipart,0.712,paitof,0.727,piart,0.771,nart,0.748,jiart,0.59,rart,0.629,oart,0.549
6,regiment,0.377,tlhe,0.335,princes,0.363,plenipotentiary,0.3,pait,0.445,pirt,0.693,parc,0.652,psrt,0.602,p3rt,0.678,paitof,0.674,jiart,0.678,pait,0.723,pasrt,0.768,ipart,0.748,pirt,0.588,iart,0.619,part—,0.529
7,amongft,0.375,ancient,0.33,side,0.361,parts,0.293,pirt,0.428,psrt,0.587,pait,0.622,patt,0.566,psrt,0.674,fart,0.658,lpart,0.676,partot,0.702,lpart,0.762,paxt,0.731,ipart,0.578,pajt,0.614,pari,0.51
8,reft,0.374,matter,0.329,monday,0.359,moment,0.292,parts,0.405,prt,0.584,fart,0.613,piart,0.556,parr,0.669,piart,0.647,piart,0.67,tpart,0.697,nart,0.761,pirt,0.722,partof,0.577,jiart,0.608,fart,0.476
9,countrey,0.372,benefit,0.323,affairs,0.356,except,0.291,rart,0.367,pait,0.582,iart,0.596,ptrt,0.554,patt,0.669,pairt,0.647,patrt,0.658,rpart,0.693,jpart,0.76,ptrt,0.721,pajrt,0.56,psrt,0.602,paft,0.465
10,the,0.371,oncly,0.319,way,0.356,payment,0.286,tart,0.35,tart,0.551,pact,0.584,pairt,0.554,palrt,0.668,nart,0.642,nart,0.657,lpart,0.682,palrt,0.759,jpart,0.711,portion,0.559,pnrt,0.602,whole,0.46
11,want,0.37,thing,0.319,behalf,0.355,70000,0.285,rest,0.35,lpart,0.551,rart,0.584,paitof,0.55,ptrt,0.666,ptrt,0.642,pairt,0.655,pirt,0.677,psart,0.757,pxrt,0.709,pnrt,0.555,portion,0.581,pirt,0.433
12,and,0.368,11,0.314,marquis,0.355,considerable,0.282,separately,0.349,rart,0.544,prt,0.569,ipart,0.542,lpart,0.66,parr,0.632,partot,0.649,nart,0.671,ipart,0.756,parb,0.708,■part,0.549,ipart,0.574,rart,0.429
13,of,0.365,ver,0.307,den,0.354,article,0.28,whole,0.349,ptrt,0.536,lart,0.567,pait,0.541,patrt,0.653,pjrt,0.618,partofthe,0.638,piart,0.67,ptart,0.75,pasrt,0.703,rart,0.545,jpart,0.571,jart,0.422
14,ma,0.365,publike,0.306,through,0.353,translation,0.28,parrs,0.343,iart,0.535,psrt,0.56,fart,0.531,partot,0.618,ipart,0.614,ptart,0.638,pasrt,0.66,paxt,0.738,tpart,0.698,jpart,0.507,jart,0.554,whoie,0.42
15,out,0.364,intereft,0.302,matter,0.353,subsistence,0.279,pan,0.337,parrof,0.532,ipart,0.536,pdrt,0.528,paitof,0.611,partot,0.614,paitof,0.636,partofthe,0.66,paart,0.736,lpart,0.692,jart,0.5,paft,0.511,parttme,0.417
16,then,0.364,payment,0.301,parted,0.353,substance,0.275,side,0.334,parn,0.515,ptrt,0.521,vart,0.525,plrt,0.61,p3rt,0.611,ptirt,0.633,portion,0.659,tpart,0.736,paitof,0.687,part—a,0.495,fart,0.506,partlime,0.416
17,fome,0.363,advantage,0.296,difference,0.352,disbanding,0.272,prt,0.334,ipart,0.506,pare,0.494,prt,0.522,tpart,0.607,partofthe,0.611,paft,0.619,portiou,0.657,psirt,0.729,p3rt,0.683,•part,0.483,purt,0.502,exchange—phone,0.412
18,pre,0.361,clergie,0.296,expected,0.351,ruined,0.269,way,0.332,pdrt,0.501,pnrt,0.474,iart,0.517,pjrt,0.603,pari,0.61,ptrt,0.617,palrt,0.656,ptrt,0.729,partcf,0.674,pari,0.482,parf,0.486,full,0.409
19,citie,0.358,crown,0.295,ministers,0.343,whole,0.269,share,0.319,yart,0.495,pairt,0.464,p3rt,0.517,pait,0.601,palrt,0.603,palt,0.613,pjart,0.649,jiart,0.725,pvrt,0.674,parb,0.48,part—,0.486,—part,0.408
20,own,0.358,firfi,0.295,party,0.343,quota,0.267,sending,0.315,pact,0.489,paut,0.458,pact,0.516,pasrt,0.6,jiart,0.602,palrt,0.612,p3rt,0.643,pattof,0.717,fpart,0.671,ptrt,0.478,thepart,0.484,pnrt,0.405
21,your,0.35,troope,0.295,envoy,0.34,capital,0.267,transporting,0.313,1art,0.485,1art,0.454,pzrt,0.513,partofthe,0.59,patrt,0.586,patt,0.61,patrt,0.64,rpart,0.716,psart,0.666,iart,0.474,•part,0.483,exchange—,0.404
22,whereof,0.35,ammunition,0.292,blood,0.338,fense,0.266,losing,0.312,thepart,0.479,purt,0.45,anypart,0.497,partr,0.59,lpart,0.585,pact,0.604,partol,0.637,pfart,0.711,ppart,0.665,part—and,0.471,tegral,0.481,time—apply,0.399
23,truth,0.346,ou,0.292,resolution,0.333,materials,0.265,lending,0.309,pirr,0.464,paet,0.428,rart,0.491,jart,0.588,jpart,0.584,jpart,0.602,ptart,0.627,panrt,0.706,piart,0.662,whole,0.466,pari,0.477,—cadena,0.397
24,hands,0.344,fomc,0.292,service,0.33,9000,0.264,quartering,0.308,lart,0.463,parn,0.425,plart,0.488,iart,0.584,prrt,0.576,plart,0.601,jmrt,0.626,paitof,0.705,portiou,0.659,part—,0.465,nortion,0.475,parttune,0.394
25,honour,0.344,par,0.29,molt,0.329,center,0.263,substance,0.307,pairt,0.461,yart,0.424,paut,0.485,prt,0.581,pare,0.574,partt,0.597,partthat,0.623,pnart,0.704,portion,0.658,place,0.459,prrt,0.473,partt,0.39
26,ly,0.341,ate,0.288,marriage,0.329,consi,0.262,compleating,0.307,parrt,0.46,pat,0.413,parrt,0.479,parrof,0.579,piirt,0.573,partol,0.595,jpart,0.622,patrt,0.703,1part,0.658,parts,0.458,pairt,0.459,parts,0.389
27,is,0.34,articles,0.288,designs,0.328,fistula,0.262,thousandth,0.307,pirc,0.423,parf,0.41,pnrt,0.474,pattof,0.576,jart,0.571,portion,0.593,ptrt,0.613,paert,0.702,■part,0.657,piirt,0.457,r6le,0.451,portion,0.388
28,through,0.336,chat,0.287,however,0.324,conveniency,0.26,subsisting,0.302,vart,0.409,tart,0.407,patof,0.471,ptart,0.574,parc,0.565,tpart,0.589,jart,0.611,plrt,0.689,palrt,0.651,parf,0.454,portions,0.439,whol,0.388
