,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,betwixt,0.537,happy,0.491,treaty,0.648,treaty,0.571,feace,0.68,peacc,0.784,pcace,0.767,pcace,0.811,pcace,0.867,pcace,0.834,pcace,0.839,peaoe,0.926,peaco,0.943,peaco,0.938,peaco,0.861,peaoe,0.874,pcace,0.763
1,likely,0.51,agreement,0.429,concluded,0.546,truce,0.527,pcace,0.636,feace,0.779,peacc,0.74,peacc,0.806,peacc,0.858,peacc,0.82,peacc,0.831,peaco,0.926,pesce,0.922,peaca,0.919,peaoe,0.853,pcace,0.845,peaoe,0.746
2,fecing,0.5,religion,0.417,emperor,0.541,nimeguen,0.527,peacc,0.633,pcace,0.768,thepeace,0.622,pcacc,0.689,peac,0.799,peaee,0.779,peaee,0.796,pcace,0.907,peaoe,0.91,peacc,0.876,pcace,0.832,peacc,0.81,peac,0.733
3,matters,0.499,war,0.408,imperial,0.532,preliminaries,0.503,peac,0.57,peaee,0.753,eace,0.606,peac,0.671,pcacc,0.79,peac,0.778,pesce,0.78,pesce,0.905,peaca,0.905,peaee,0.873,peaoo,0.778,peaco,0.781,peacc,0.721
4,warre,0.489,treaty,0.401,ambassadors,0.524,negotiations,0.496,peae,0.555,pcacc,0.749,peac,0.594,peaee,0.667,peaee,0.773,pcacc,0.732,peaco,0.772,peacc,0.888,poace,0.897,peaoe,0.872,peacc,0.775,neace,0.762,neace,0.715
5,poland,0.486,declaration,0.396,sueden,0.517,tranquility,0.492,treaty,0.54,thepeace,0.743,tranquility,0.592,thepeace,0.642,peact,0.74,thepeace,0.731,thepeace,0.772,peaee,0.866,peaee,0.884,pcace,0.868,poace,0.768,feace,0.71,oeace,0.686
6,emperour,0.462,liberties,0.395,brandenburg,0.499,ratifications,0.491,truce,0.539,peac,0.691,leace,0.587,eace,0.639,ieace,0.735,ieace,0.727,ieace,0.764,pcacc,0.862,pcace,0.881,pesce,0.857,peac,0.755,poace,0.707,peaee,0.629
7,hope,0.457,crown,0.393,denmark,0.498,cessation,0.482,tranquillity,0.532,ofpeace,0.682,tranquillity,0.576,peact,0.636,thepeace,0.712,pesce,0.717,eace,0.75,pcaco,0.859,pcaco,0.874,neace,0.851,neace,0.743,ieace,0.7,peace—,0.621
8,againfi,0.455,fafety,0.392,affairs,0.48,repose,0.478,tranquility,0.532,teace,0.665,pacification,0.512,tranquility,0.623,peacei,0.71,peact,0.696,peac,0.74,poace,0.858,jieace,0.871,thepeace,0.849,jeace,0.715,peaee,0.69,—peace,0.616
9,true,0.45,ruine,0.39,points,0.467,neutrality,0.472,reace,0.526,leace,0.588,quillity,0.509,tranquillity,0.615,eace,0.704,eace,0.689,peaceof,0.727,peaca,0.848,peacc,0.864,ieace,0.839,peace—a,0.71,peac,0.688,eace,0.613
