,en_1720,en_1720_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,disputed,0.555,contefted,0.674,contefted,0.669,wellcontested,0.623,coutested,0.856,oontested,0.898,coutested,0.936,oontested,0.834,oontested,0.713,contesting,0.656
1,contefted,0.517,contefled,0.615,contefled,0.607,contest,0.601,closelycontested,0.74,coutested,0.896,oontested,0.93,contest,0.653,keenlycontested,0.642,fourcornered,0.599
2,contest,0.498,contelted,0.589,contest,0.599,contests,0.571,conteated,0.738,conteated,0.823,conteated,0.883,contesting,0.644,hardfought,0.628,threecornered,0.546
3,dispute,0.489,contest,0.583,wellcontested,0.578,won,0.526,contest,0.738,eontested,0.808,coatested,0.882,keenlycontested,0.638,closelycontested,0.612,neckandneck,0.538
4,question,0.465,contelled,0.564,contests,0.559,coutest,0.522,conteste,0.73,conteeted,0.806,eontested,0.875,wellcontested,0.617,contesting,0.611,byelection,0.526
5,opposed,0.464,canvassing,0.549,fought,0.543,tested,0.517,neckandneck,0.724,ontested,0.794,conteted,0.865,hotlycontested,0.616,wellcontested,0.599,uncontested,0.524
6,decision,0.458,disputed,0.516,disputed,0.509,jockied,0.501,contcst,0.723,contest,0.766,ontested,0.863,oontest,0.609,keenlyfought,0.597,hotly,0.519
7,contests,0.454,canvassed,0.502,tested,0.495,elections,0.5,conteted,0.699,hotlycontested,0.765,conteeted,0.848,contests,0.604,contest,0.586,contestants,0.516
8,foreseen,0.452,eleffions,0.501,canvassed,0.486,election—this,0.499,wellcontested,0.689,contests,0.76,oonteeted,0.834,closelycontested,0.581,fought,0.579,fought,0.515
9,decided,0.447,contests,0.497,coutest,0.486,fonght,0.495,walkover,0.681,closelycontested,0.759,contestel,0.833,hardfought,0.565,tussle,0.577,contests,0.514
10,depending,0.442,discussed,0.495,elections,0.484,election,0.484,contesting,0.68,conteste,0.756,centested,0.833,fought,0.556,wellfought,0.574,contes,0.505
11,superseded,0.439,opposed,0.483,election,0.474,wvon,0.473,eontest,0.68,oontest,0.756,conteste,0.832,ontest,0.555,refereed,0.569,competed,0.504
12,objected,0.439,successful,0.479,contending,0.466,ontest,0.472,contests,0.679,coutest,0.748,contosted,0.829,contestants,0.551,contests,0.559,hardfought,0.501
13,nonsuited,0.436,eleion,0.476,unsuccessful,0.465,winning,0.47,coutest,0.672,conteted,0.732,contestd,0.822,contcst,0.55,dingdong,0.554,defeated,0.499
14,determin,0.431,eleffion,0.475,fighting,0.463,contesting,0.47,ontest,0.668,coatest,0.723,contestod,0.802,oonteat,0.549,evenlycontested,0.553,byelec,0.492
15,understood,0.43,opposition,0.475,struggle,0.459,disputed,0.463,oontest,0.661,conteet,0.705,contesed,0.8,wellfought,0.546,contcst,0.548,refereed,0.491
16,election,0.429,ensued,0.466,molineaux,0.457,unseated,0.46,acontest,0.656,oontests,0.702,contsted,0.785,oonteet,0.54,contestants,0.548,byelections,0.49
17,opposition,0.429,eleftions,0.463,setto,0.452,fought,0.456,canvassed,0.65,contesting,0.698,contestedl,0.781,evenlycontested,0.535,gamo,0.527,defended,0.489
18,intestate,0.428,elefion,0.461,opposed,0.451,jockeyed,0.456,distanced,0.645,coutests,0.698,cntested,0.777,plaved,0.532,keenly,0.52,eddisbury,0.486
19,rejected,0.424,eletion,0.459,conflict,0.45,keenly,0.454,beaten,0.641,eontest,0.697,cotested,0.776,coutest,0.531,threeset,0.517,candidate,0.485
20,sollicited,0.421,struggle,0.458,pugilistic,0.45,electioa,0.452,deleated,0.641,walkover,0.695,keenlyfought,0.765,pointless,0.53,goalless,0.515,contest,0.479
21,interposing,0.42,eleaion,0.456,keenly,0.448,eontest,0.451,unseated,0.638,ontest,0.694,conitested,0.764,gamo,0.529,oontest,0.514,beaten,0.479
22,observd,0.42,elecion,0.454,won,0.444,electionand,0.448,comeoff,0.634,conteat,0.692,closelycontested,0.758,stubbornly,0.527,witnessed,0.514,tussle,0.479
23,espoused,0.419,cessful,0.449,sparring,0.441,electious,0.444,coitest,0.631,contost,0.692,conteited,0.757,goalless,0.527,umpired,0.512,opponent,0.478
24,redressed,0.415,dispute,0.449,canvassing,0.439,fouroared,0.443,coatest,0.625,oonteet,0.69,oonteated,0.752,byeelection,0.527,threecornered,0.511,challenged,0.474
25,disregarded,0.413,eleftion,0.446,boxing,0.439,steeplechase,0.442,uncontested,0.621,contcst,0.685,keenlycontested,0.747,tussle,0.525,competed,0.51,opposing,0.473
26,controverted,0.413,election,0.444,ensued,0.438,coitest,0.439,winning,0.617,defeated,0.684,coatest,0.74,oontests,0.52,hotlycontested,0.509,elections,0.467
27,restrained,0.412,issue,0.442,cessful,0.431,struggle,0.438,contost,0.612,wellcontested,0.682,contests,0.738,excitiug,0.52,evenlv,0.508,decisively,0.467
28,ifham,0.411,elcftion,0.44,sharply,0.43,matched,0.438,contestthe,0.61,keenlycontested,0.681,coutest,0.736,plajed,0.518,unsuccessfully,0.506,unsuccessfully,0.467
29,elections,0.411,succeed,0.438,discussed,0.43,cleverly,0.437,election,0.608,unseated,0.679,foughtout,0.734,exciting,0.517,srame,0.505,opposed,0.466
