,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,riuer,0.454,realme,0.472,holland,0.44,eng,0.442,eng,0.533,ofland,0.576,pallure,0.548,laud,0.724,laud,0.81,laud,0.873,laud,0.847,lsnd,0.901,laud,0.913,laud,0.921,laud,0.749,laud,0.84,iand,0.693
1,baron,0.453,ancient,0.433,kingdom,0.435,lish,0.411,laud,0.49,lanid,0.559,laud,0.529,lanid,0.677,lanid,0.768,lanid,0.742,lanid,0.776,laud,0.886,landj,0.877,lanud,0.862,lajid,0.705,iand,0.792,laud,0.638
2,rhe,0.43,forme,0.431,lands,0.431,sea,0.389,hol,0.453,laud,0.546,arable,0.511,landand,0.662,landl,0.742,landj,0.728,lsnd,0.773,lnnd,0.828,lsnd,0.867,lsnd,0.86,ijand,0.66,laind,0.703,lands,0.556
3,kept,0.427,kingdome,0.423,sea,0.43,national,0.378,scot,0.446,lana,0.539,palture,0.51,laind,0.635,landi,0.741,lanl,0.727,lnnd,0.77,lanel,0.814,landand,0.831,lnnd,0.846,lnnd,0.621,lajid,0.695,land—,0.537
4,force,0.418,england,0.404,provided,0.419,england,0.365,sea,0.438,lahd,0.498,pafture,0.507,landl,0.633,landj,0.719,landl,0.724,landl,0.768,landt,0.809,lanud,0.829,landj,0.834,lands,0.62,lanu,0.681,lanu,0.516
5,fort,0.416,parliaments,0.39,river,0.414,ireland,0.36,newfound,0.42,lanl,0.485,paflure,0.503,landi,0.625,laind,0.698,landi,0.719,landi,0.755,pastube,0.804,lnnd,0.826,l4nd,0.824,iand,0.61,lsnd,0.65,pastur,0.484
6,way,0.407,crown,0.388,crown,0.41,america,0.353,england,0.417,landt,0.484,acres,0.497,lsnd,0.603,lahd,0.686,lahd,0.715,laad,0.752,oldinclosed,0.804,laind,0.818,lanid,0.822,land—,0.605,ijand,0.649,2—valuable,0.475
7,coun,0.406,kingdom,0.382,scotland,0.406,rivers,0.348,merania,0.401,laad,0.479,actes,0.491,landj,0.599,latnd,0.684,latid,0.695,lantl,0.748,arable,0.801,lanid,0.817,lanad,0.82,laiid,0.596,laad,0.643,pasture,0.475
8,neere,0.403,lawes,0.382,england,0.405,hol,0.347,ireland,0.385,lands,0.478,meadow,0.485,lapd,0.597,lanj,0.683,laind,0.694,lanil,0.745,ararle,0.8,landi,0.816,landand,0.816,lanl,0.591,lnnd,0.642,pastureland,0.463
9,lower,0.403,of,0.381,countries,0.398,pasture,0.344,isle,0.382,arrable,0.478,roods,0.472,larnd,0.589,lantd,0.679,ofland,0.691,laind,0.736,pasture,0.799,land1,0.813,laind,0.806,laad,0.591,lanl,0.636,plot,0.463
10,city,0.398,meanes,0.376,common,0.398,lands,0.341,carriage,0.374,eng,0.468,acies,0.464,latnd,0.589,arable,0.676,lapd,0.687,landt,0.735,laod,0.799,laxd,0.806,landt,0.8,lsnd,0.59,lapd,0.63,highlyproductive,0.461
11,garrifon,0.395,commonwealth,0.373,obliged,0.394,pish,0.329,sunder,0.371,hol,0.459,lands,0.462,ofland,0.585,pailurc,0.675,laad,0.685,laod,0.73,laxd,0.799,lanad,0.797,lanld,0.8,lvnd,0.589,landj,0.614,lanl,0.458
12,towne,0.395,the,0.369,ate,0.394,hinders,0.328,sture,0.37,ltnd,0.451,acrcs,0.46,l3nd,0.583,paftnre,0.67,landand,0.682,latid,0.725,pabture,0.795,l4nd,0.796,land1,0.797,pasturo,0.579,jand,0.614,arable,0.458
13,red,0.395,covenant,0.364,intend,0.39,landed,0.324,scotland,0.369,arable,0.451,laad,0.454,lind,0.581,lapd,0.668,lantd,0.68,lantd,0.723,abable,0.792,lanld,0.796,landl,0.796,laind,0.577,land—,0.603,3—an,0.451
14,country,0.391,ons,0.354,ons,0.387,westindies,0.324,lish,0.364,acresof,0.442,eftimation,0.452,lamd,0.565,pafluie,0.664,lund,0.678,latnd,0.712,landand,0.789,landl,0.795,landf,0.794,lancl,0.577,lamd,0.598,2—an,0.445
15,further,0.387,government,0.348,realm,0.386,holland,0.317,gland,0.361,paflure,0.442,hol,0.45,lanj,0.557,pafiure,0.664,laod,0.676,arable,0.712,pastare,0.787,lan1d,0.791,lantd,0.783,lanrl,0.576,latid,0.58,heligo,0.439
16,lay,0.386,to,0.346,latter,0.385,profits,0.311,isles,0.361,tland,0.438,farms,0.449,lahd,0.553,lani,0.663,lani,0.674,pasture,0.705,landj,0.786,lanl,0.789,lalnd,0.776,landand,0.576,lands,0.578,wellfarmed,0.439
17,water,0.384,religion,0.344,north,0.384,indies,0.309,engiand,0.359,meadow,0.438,cumber,0.447,larid,0.551,lansd,0.661,pastureland,0.671,lanrd,0.704,lantl,0.781,landt,0.782,lqnd,0.773,lamd,0.573,•land,0.577,fertile,0.436
18,taking,0.381,agreement,0.342,beyond,0.38,naval,0.308,inland,0.357,inclosure,0.437,landi,0.445,palture,0.549,landand,0.661,lanrl,0.671,lannd,0.703,pasiure,0.78,lani,0.775,lanrl,0.772,pasture,0.573,arablo,0.575,—land,0.436
19,name,0.378,civill,0.341,preparations,0.379,seas,0.307,lands,0.356,lnd,0.436,clofes,0.444,lmnd,0.548,paffure,0.66,lnnd,0.671,pastureland,0.702,pssture,0.78,lanrd,0.773,laudl,0.77,laxd,0.572,lahd,0.574,plots,0.434
20,de,0.374,for,0.34,assistance,0.378,squa,0.306,islands,0.353,tilizing,0.433,lnd,0.442,lanld,0.544,landt,0.659,lanld,0.664,ijand,0.699,pastuie,0.778,lantl,0.772,laxnd,0.768,lanu,0.564,pasturo,0.571,ijand,0.433
21,townes,0.373,dome,0.339,houses,0.378,river,0.303,pasture,0.349,pasture,0.433,eng,0.433,laod,0.542,paflure,0.657,arableland,0.664,ofland,0.696,patture,0.772,lantd,0.767,lansd,0.766,arable,0.563,laaid,0.566,icres,0.432
22,meane,0.37,liberties,0.333,ps,0.375,islands,0.3,country,0.346,scotland,0.426,neweng,0.432,lasd,0.542,lanl,0.657,landt,0.659,pastare,0.692,pastnre,0.77,landc,0.762,lancl,0.765,arablo,0.561,lanj,0.557,fields,0.428
23,fayd,0.368,ire,0.332,denmark,0.373,landing,0.296,conveyance,0.345,inclofure,0.424,linds,0.422,paftute,0.541,paflurc,0.657,arable,0.657,andpasture,0.691,landa,0.769,laad,0.759,lannd,0.764,lantl,0.556,laxd,0.555,grassland,0.426
24,don,0.365,kingdomes,0.331,heir,0.369,shipping,0.296,flanders,0.341,scot,0.424,foices,0.421,lantd,0.537,pasiure,0.655,larid,0.655,landj,0.69,pastun,0.768,lahd,0.759,lauid,0.763,lahd,0.549,lancl,0.554,housks,0.423
25,through,0.364,church,0.327,right,0.365,bank,0.294,livonia,0.34,woodland,0.424,lard,0.418,laad,0.531,paltuie,0.654,lsnd,0.647,lanl,0.69,paature,0.767,la4nd,0.756,laknd,0.763,land—and,0.549,lani,0.553,acres,0.422
26,lye,0.362,3,0.327,belonging,0.363,acres,0.293,island,0.338,acres,0.423,scot,0.416,paflture,0.529,paflture,0.654,lanil,0.644,landwith,0.69,paeture,0.767,lalnd,0.755,lan1d,0.762,araole,0.548,wellfarmed,0.547,arabe,0.42
27,marched,0.36,divine,0.326,poland,0.358,kingdom,0.293,landmen,0.334,woodlands,0.422,newfound,0.416,padure,0.527,palhire,0.652,lantl,0.644,lani,0.689,arableland,0.767,lamd,0.753,lantl,0.762,smallholding,0.543,lrnd,0.547,tillable,0.419
28,thc,0.355,rights,0.324,force,0.356,fiance,0.291,tliac,0.334,palture,0.421,forces,0.412,lansd,0.526,meadowy,0.65,pastureand,0.642,ljand,0.688,arabh,0.766,lajnd,0.752,theland,0.761,landj,0.542,lauds,0.546,tithe,0.414
29,hard,0.355,th,0.322,fleet,0.354,ostend,0.289,lease,0.333,ditching,0.417,tillage,0.408,lanrd,0.521,paiture,0.65,meadowland,0.639,lanud,0.688,andpasture,0.765,lauid,0.751,lanfd,0.761,pastnre,0.54,pastnre,0.546,porestal,0.411
30,warres,0.353,therc,0.321,france,0.352,scot,0.286,armaments,0.331,pafturc,0.416,thercunto,0.407,pailure,0.518,arahle,0.649,pasture,0.639,lanld,0.688,ijind,0.765,lands,0.75,latnd,0.758,land®,0.54,cultivable,0.541,jand,0.41
31,goc,0.351,benefit,0.321,em,0.35,season,0.286,arable,0.331,londona,0.415,lani,0.405,arahle,0.513,pafturc,0.648,ofmeadow,0.636,arabli,0.686,meadow,0.763,lanil,0.75,lanmd,0.758,pastube,0.538,lantl,0.54,fieds,0.409
32,n,0.349,nd,0.321,fly,0.346,flanders,0.286,landforces,0.329,laod,0.413,thereunto,0.405,pallurc,0.513,lanld,0.648,paftnre,0.635,arsble,0.686,pastire,0.763,lancl,0.748,lan4d,0.755,lajnd,0.536,pature,0.539,fronting,0.408
33,saxony,0.349,armies,0.319,notwithstanding,0.346,annuities,0.286,britain,0.327,pafture,0.411,lanl,0.401,latid,0.512,paftureland,0.647,lanj,0.634,pasturo,0.682,pature,0.763,lasnd,0.748,lands,0.755,laiul,0.533,landl,0.538,lano,0.406
