,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,decision,0.419,dilemma,0.493,neceffity,0.528,ternative,0.583,alterna,0.64,alterna,0.73,alterna,0.791,alteruative,0.841,alterna,0.902,alterna,0.868,alterna,0.826,alterna,0.79
1,confederation,0.407,refource,0.485,unconditional,0.526,alternatives,0.55,ternative,0.606,ternative,0.664,ternative,0.785,alternativo,0.819,alternativo,0.862,ternative,0.772,ternative,0.758,ternative,0.587
2,suffrage,0.406,fhadow,0.477,neceflity,0.526,alterna,0.543,alternatives,0.588,alternatives,0.605,alternatives,0.679,ternative,0.814,alteruative,0.86,alternatives,0.579,alternatives,0.601,option,0.519
3,contingency,0.402,ftruggle,0.464,dilemma,0.509,necefllty,0.504,inevitable,0.492,resource,0.511,alternative—,0.658,alternativ,0.8,aiternative,0.86,imprisonment,0.532,alterative,0.54,acommodation,0.459
4,pacisick,0.396,ftate,0.46,neccffity,0.483,refourcc,0.491,ignominy,0.489,temporize,0.456,palliation,0.641,aternative,0.752,alternatire,0.795,option,0.532,option,0.492,altern,0.457
5,dukedom,0.393,delinquent,0.452,neceility,0.477,dilemma,0.487,resource,0.485,dilemma,0.447,alterniative,0.641,alternativeof,0.748,altornative,0.794,imposed,0.52,modified,0.47,modation,0.454
6,dyet,0.391,objedt,0.452,fubmit,0.474,inevitable,0.477,humiliating,0.482,inevitable,0.437,justifiable,0.637,alterna,0.744,aternative,0.786,default,0.504,imprisonment,0.469,alternatives,0.45
7,bergues,0.39,connivance,0.452,necellity,0.465,refource,0.471,dilemma,0.475,compulsion,0.435,chance,0.627,alterniative,0.724,alternativ,0.781,imprison,0.502,imposed,0.461,accommodation,0.433
8,exclufion,0.388,rejeed,0.45,neccflity,0.463,relource,0.471,means,0.467,halfmeasures,0.432,punishment,0.616,imprisoment,0.675,ternative,0.761,prisonment,0.502,prisonment,0.458,excuse,0.424
9,dutchy,0.388,menace,0.45,necelfity,0.459,ignominious,0.469,motive,0.466,objectien,0.426,ehance,0.614,imprisonment,0.666,alterniative,0.761,oosts,0.497,impracticable,0.448,dation,0.416
