,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,indostan,0.632,primeval,0.725,borderlands,0.759,solitudes,0.583,mountains,0.464,tundra,0.532
1,vallies,0.627,borderlands,0.707,carpathians,0.726,countryside,0.56,romantic,0.457,wasteland,0.524
2,egean,0.619,untrodden,0.704,untravelled,0.712,eildons,0.552,romantio,0.454,empire—monday,0.521
3,apennines,0.616,myths,0.676,apennines,0.708,fastnesses,0.538,rathlin,0.437,cinecolour,0.516
4,africs,0.613,musings,0.675,legends,0.702,mountains,0.533,romance,0.436,badmen,0.514
5,appenines,0.612,mythology,0.673,borderline,0.694,wanderings,0.528,romanco,0.434,clnecolor,0.509
6,valleys,0.61,primaeval,0.667,romance,0.691,solitude,0.523,solitudes,0.429,jungle,0.504
7,rocky,0.603,dolomites,0.666,myths,0.688,straths,0.516,gwili,0.425,dragnet,0.504
8,mountains,0.601,history,0.661,wanderings,0.687,rugged,0.516,snowfields,0.418,laredo,0.503
9,steppes,0.597,solitudes,0.658,littleknown,0.686,sparselypopulated,0.511,cuirassier,0.416,navajo,0.502
10,oceans,0.596,aryan,0.657,solitudes,0.683,pineclad,0.508,rockv,0.416,orvie,0.5
11,nomade,0.596,arthurian,0.657,primeval,0.681,heatherclad,0.507,rockbound,0.414,sierras,0.498
12,lybian,0.596,ethnical,0.656,folkspeech,0.679,countrysides,0.507,topography,0.411,cargan,0.493
13,sedgy,0.592,folklore,0.654,sierras,0.676,faroff,0.505,pentlands,0.411,daredevils,0.493
14,farwest,0.592,memories,0.653,untrodden,0.673,primeval,0.501,glens,0.408,counterfeiters,0.492
15,primeval,0.591,battlefields,0.653,himalayas,0.669,dwellers,0.5,pineclad,0.407,denizens,0.49
16,faraway,0.59,wanderings,0.652,mysticism,0.669,hillsides,0.496,levensau,0.407,rustlers,0.486
17,alleghanies,0.586,idealism,0.649,stageland,0.668,lammermoors,0.495,ethnology,0.407,forests,0.485
18,oceau,0.584,legends,0.647,cavedwellers,0.664,nigged,0.494,coa6t,0.405,texans,0.484
19,cordilleras,0.583,rambles,0.646,peopling,0.663,birdlife,0.494,folklore,0.403,aoelphi,0.483
20,icefields,0.58,horizons,0.646,romances,0.662,borderline,0.493,holidayland,0.402,tropic,0.483
