,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,preceded,0.552,guarantied,0.548,guarantied,0.617,cede,0.651,cede,0.678,cede,0.625,cede,0.693,oeded,0.737,eceded,0.713,oeded,0.679,cede,0.53,preceded,0.548
1,preceeded,0.535,yielded,0.546,cede,0.614,cedes,0.613,cedes,0.616,cession,0.625,cession,0.682,cesaion,0.696,oeded,0.693,cession,0.543,preceded,0.525,cede,0.548
2,ceeded,0.489,ceffion,0.544,conquered,0.561,ceffion,0.612,cessions,0.602,cessions,0.555,conceded,0.65,cession,0.695,cedes,0.66,preceded,0.532,ceding,0.508,ceding,0.505
3,cefflon,0.484,ceflion,0.532,territories,0.537,celfion,0.601,cession,0.6,conceded,0.497,quered,0.624,cedes,0.684,cedled,0.639,cede,0.528,sented,0.474,dobruja,0.49
4,ceflion,0.471,flipulated,0.522,ceffion,0.536,cession,0.576,territories,0.578,preceded,0.484,coded,0.622,vinces,0.681,cession,0.631,cessions,0.518,cession,0.471,followed,0.468
5,ceffion,0.465,cede,0.514,territory,0.531,conquered,0.565,annexation,0.572,vinces,0.481,cedes,0.62,cessiou,0.665,cede,0.624,cedes,0.501,conceded,0.464,secrated,0.45
6,tended,0.46,guaranties,0.51,ceflion,0.522,guarantied,0.565,guaranteed,0.567,ferred,0.475,cessiou,0.617,ceesion,0.646,iceded,0.617,reded,0.499,firmed,0.458,cession,0.448
7,companyd,0.455,ftipulated,0.507,cedes,0.521,ceflion,0.551,sovereignty,0.56,quered,0.464,cognized,0.605,vinoes,0.64,forence,0.613,ferred,0.487,sulted,0.45,jected,0.44
8,atrended,0.45,cedes,0.498,guaranteed,0.518,cellion,0.542,territory,0.551,colonised,0.462,ecded,0.599,viuces,0.639,ireceded,0.611,firmed,0.475,followed,0.449,bukovina,0.437
9,artended,0.444,guarantee,0.492,iflands,0.517,cefflon,0.533,ceflion,0.551,sisted,0.459,cessions,0.598,coded,0.631,ferance,0.611,ceding,0.469,jected,0.448,stituted,0.428
10,cession,0.442,acceded,0.483,cellion,0.508,territory,0.527,indemnifications,0.546,sented,0.456,kleck,0.595,chuded,0.625,ditionally,0.6,eceded,0.467,sisted,0.434,voked,0.425
11,attended,0.437,renunciation,0.479,illands,0.503,sovereignty,0.505,piedmont,0.543,cedes,0.448,sardiniai,0.595,reannexed,0.618,ctded,0.6,sented,0.465,dominated,0.433,dominantly,0.423
12,followed,0.423,marquifate,0.477,louifiana,0.503,celion,0.504,evacuate,0.543,eceded,0.445,tectorate,0.594,cesion,0.615,ftrence,0.6,followed,0.463,annexed,0.43,dobrudja,0.421
13,tenfions,0.415,duchies,0.47,itipulated,0.497,acceded,0.504,fovereignty,0.54,floridas,0.44,eceded,0.593,eceded,0.614,cedod,0.598,preoeded,0.462,sumed,0.429,sakhalin,0.412
14,companied,0.414,convention,0.47,lilands,0.476,liminaries,0.504,ceffion,0.526,summated,0.436,teritory,0.592,icession,0.614,cded,0.596,ference,0.461,roumanians,0.428,tended,0.412
15,notifyd,0.413,treaty,0.469,ftipulated,0.475,vinces,0.503,parma,0.523,voked,0.433,oeded,0.591,cede,0.613,ferred,0.594,ferring,0.459,preceeded,0.427,lowed,0.411
16,tensions,0.404,guaranty,0.466,acadia,0.473,floridas,0.501,evacuated,0.52,jected,0.432,invaded,0.59,cessions,0.613,ference,0.591,sisted,0.457,lowed,0.426,sented,0.41
17,cessions,0.397,dutchies,0.466,conquefts,0.472,ceffions,0.499,fortrefles,0.518,sovereignty,0.424,ferred,0.587,fiscated,0.605,ponderated,0.59,oession,0.45,trolleds,0.424,invaded,0.41
18,conduded,0.396,acceding,0.457,iilands,0.466,cefflion,0.49,sardinia,0.518,querors,0.423,aceeded,0.585,cedled,0.605,rouinelia,0.587,cluded,0.449,ferred,0.423,reformed,0.41
19,liminaries,0.394,territories,0.455,revenues,0.465,ratified,0.49,acceded,0.515,eeded,0.419,cesion,0.582,reunited,0.601,cessiou,0.585,duced,0.447,spectively,0.418,conceded,0.409
20,ceding,0.392,pretentions,0.454,mifliflippi,0.462,reconquered,0.489,ratified,0.514,emburg,0.418,cded,0.582,provincesof,0.599,fereuce,0.583,quered,0.441,tended,0.417,sumed,0.407
21,followd,0.392,tenfions,0.451,acquifitions,0.46,quered,0.487,liguria,0.514,recognised,0.417,pertugal,0.581,ratified,0.599,uruguyan,0.58,stricted,0.441,led,0.412,cluded,0.406
22,purfuivants,0.391,duchy,0.45,treatv,0.46,ceflions,0.484,electorate,0.514,fided,0.415,setted,0.58,roumanin,0.597,feronce,0.58,sumably,0.439,peated,0.41,cedes,0.406
23,nied,0.391,renounced,0.45,einprefs,0.46,guaranteed,0.481,merania,0.513,eded,0.415,prussiaand,0.579,cesslon,0.594,forenco,0.579,jected,0.432,vived,0.406,clusion,0.404
