,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,concurrence,0.486,coopera,0.629,coopera,0.707,coopera,0.706,eooperation,0.904,cooperatiou,0.888,cooperatiou,0.935,00operation,0.909,00operation,0.776,collaboration,0.747
1,defeat,0.471,concurrence,0.581,cooperate,0.644,concurrence,0.632,cooperatiou,0.893,eooperation,0.888,ceoperation,0.872,cooporation,0.71,collaboration,0.745,00operation,0.705
2,junaion,0.468,cooperate,0.561,cooperating,0.611,cooperate,0.586,ceoperation,0.889,ccoperation,0.871,eooperation,0.872,cooperatiou,0.704,cooperatiou,0.742,coordination,0.652
3,adminiftration,0.466,interference,0.545,concurrence,0.591,tocooperate,0.573,ccoperation,0.852,00operation,0.867,ccoperation,0.869,eooperation,0.701,eooperation,0.727,coopera,0.645
4,cooperate,0.465,cooperating,0.541,exertions,0.575,acquiescence,0.552,cooperatioa,0.846,ooperation,0.851,cooperatioa,0.868,coordination,0.701,coopeiation,0.718,cooperate,0.634
5,junction,0.461,exertions,0.535,interference,0.567,cooperating,0.545,coopera,0.841,cooperatien,0.841,oooperation,0.856,coopcration,0.67,cooneration,0.706,wholehearted,0.631
6,interpofition,0.459,cxertions,0.513,unanimity,0.556,assistance,0.542,00operation,0.818,cooperatlon,0.833,cooperaticn,0.856,cooneration,0.667,coopcration,0.702,laboration,0.612
7,intervention,0.454,unanimity,0.504,cordiality,0.547,zealous,0.542,cooperations,0.812,ceoperation,0.827,ooperation,0.855,cooperate,0.65,cooporation,0.702,boration,0.605
8,interpolation,0.454,exerions,0.503,confederacy,0.541,sealous,0.541,coperation,0.811,cooperatioa,0.824,cooneration,0.843,cooperating,0.649,cooperate,0.689,cooperating,0.598
9,miniftrv,0.445,aflifance,0.5,mediation,0.536,interposition,0.53,cooperatlon,0.802,oooperation,0.817,cooperaion,0.842,collaboration,0.631,coordination,0.685,coordina,0.583
10,alliance,0.444,afliflance,0.5,assistance,0.531,cordiality,0.526,cooperatien,0.798,coopeiation,0.814,nooperation,0.831,organisation,0.627,ooperation,0.646,furthering,0.583
