,en_1720,en_1720_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,affociate,0.569,associates,0.546,affociate,0.576,sociate,0.703,sociate,0.848,sociate,0.844,assooiate,0.879,sociate,0.63,sociate,0.633,sociate,0.577
1,tipstaff,0.438,assassins,0.521,associated,0.498,associates,0.551,associates,0.686,assooiate,0.801,asociate,0.792,associates,0.556,associated,0.537,associates,0.577
2,assistant,0.412,associating,0.519,associating,0.479,associated,0.534,associato,0.675,asociate,0.774,aesociate,0.759,associating,0.552,associates,0.536,associateship,0.565
3,substitute,0.395,coalesce,0.515,associates,0.475,associating,0.523,associating,0.672,associato,0.745,aseociate,0.735,associated,0.545,associateship,0.51,associated,0.467
4,fession,0.384,refuse,0.511,burgher,0.47,congregationi,0.512,inoculate,0.66,associating,0.671,assoeiate,0.73,licentiate,0.527,ciate,0.498,honorary,0.463
5,statesmen,0.379,accused,0.51,congregation,0.466,sociated,0.486,fellowstudents,0.656,aspiring,0.653,ssociate,0.729,sociated,0.503,associating,0.496,acquaint,0.461
6,worships,0.373,seem,0.506,congre,0.458,ciate,0.475,associated,0.648,practise,0.649,sociate,0.726,associateship,0.497,collaborate,0.495,licentiate,0.454
7,strument,0.368,design,0.505,pastor,0.454,mingle,0.453,sociated,0.643,sociated,0.637,assocate,0.686,musicians,0.482,familiarise,0.49,testamur,0.451
8,boldness,0.363,disgrace,0.503,asso,0.441,intermarry,0.449,sociates,0.628,associated,0.636,assciate,0.666,familiarise,0.479,affiliate,0.476,r18a,0.451
9,afliftant,0.361,irishmen,0.501,accused,0.44,leagued,0.443,stigmatise,0.625,undergraduate,0.634,associateship,0.663,aeademv,0.477,acquainted,0.474,arts,0.446
10,adversaries,0.36,himself,0.5,presbytery,0.435,synod,0.44,fraternise,0.625,ciate,0.624,ociate,0.658,—diploma,0.475,sociates,0.473,sociated,0.444
11,colleague,0.354,chose,0.498,stigmatize,0.432,coalesce,0.439,acquaintanceship,0.62,familiarise,0.621,associated,0.658,asociated,0.474,sociated,0.467,speak,0.427
12,confession,0.353,assist,0.497,preshytery,0.429,presbyterv,0.437,fraternize,0.618,classfellows,0.615,stndent,0.652,incor,0.471,acquaint,0.465,associ,0.418
13,whilst,0.353,those,0.496,minister,0.428,antipatronage,0.436,likeminded,0.616,honourary,0.609,professorate,0.644,preceptor,0.463,associat,0.457,collabor,0.415
14,disgrace,0.352,conspirator,0.493,seceders,0.428,seceders,0.434,ingratiate,0.616,associates,0.609,student,0.641,porated,0.459,dissociate,0.451,associating,0.413
15,instrument,0.351,assisting,0.492,apologist,0.428,presby,0.434,designate,0.61,indoctrinate,0.606,assoiate,0.64,assocated,0.454,associ,0.45,cofounder,0.413
16,converse,0.351,affociate,0.491,converse,0.428,intimate,0.434,calumniate,0.604,aspire,0.601,associating,0.628,ciate,0.454,licentiate,0.448,dissociate,0.411
