,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,religion,0.507,propofitions,0.529,danby,0.636,article,0.522,article,0.6,arricles,0.734,article,0.564,artices,0.759,aiticles,0.846,articies,0.796,aiticles,0.824,artioles,0.903,aiticles,0.914,artioles,0.93,artioles,0.878,artioles,0.808,artices,0.661
1,words,0.499,agreement,0.508,agreed,0.571,ratified,0.45,ticles,0.597,ticles,0.598,preliminaries,0.525,aiticles,0.751,artices,0.837,artices,0.794,arlicles,0.817,aiticles,0.894,artioles,0.909,aiticles,0.917,article®,0.837,aiticles,0.759,titledeeds,0.536
2,ye,0.492,concluded,0.457,bill,0.569,preliminaries,0.449,conditions,0.536,preliminaries,0.563,cles,0.486,atticles,0.72,articies,0.818,aiticles,0.788,rticles,0.807,ariicles,0.89,artides,0.907,artieles,0.9,articies,0.808,article®,0.746,roup—j,0.534
3,tion,0.484,judges,0.454,draw,0.553,capitulation,0.447,points,0.524,article,0.558,preliminary,0.475,articies,0.71,atticles,0.815,atticles,0.773,artieles,0.805,arlicles,0.884,articlos,0.893,artides,0.899,articlee,0.798,artcles,0.733,deeds,0.524
4,pre,0.468,declaration,0.447,proceedings,0.525,treaty,0.435,treaty,0.522,cles,0.545,ticles,0.433,articlcs,0.708,articlcs,0.806,arricles,0.758,ariicles,0.787,irticles,0.872,articies,0.886,articies,0.892,articlea,0.792,artices,0.728,titles,0.52
5,matters,0.462,votes,0.438,judgment,0.523,treaties,0.434,ryswick,0.514,prelimi,0.516,treaties,0.426,artiles,0.691,articics,0.795,articlcs,0.749,atticles,0.766,nrticles,0.868,irticles,0.886,atticles,0.89,articlos,0.77,articlee,0.72,roup—,0.516
6,prouinces,0.443,agreed,0.433,lords,0.517,agreed,0.428,capitulation,0.505,liminary,0.513,trcaty,0.424,artcles,0.688,articls,0.791,ticles,0.744,nrticles,0.764,artieles,0.866,srticles,0.885,articlea,0.888,artices,0.768,articlea,0.701,ticles,0.487
7,according,0.44,treaty,0.425,committee,0.515,conditions,0.427,cles,0.502,preliminary,0.509,treaty,0.423,ticles,0.683,artcles,0.788,articlesof,0.743,articies,0.764,articlee,0.864,rticles,0.88,articlss,0.888,artides,0.766,artides,0.698,items,0.487
8,fecing,0.437,statute,0.425,conference,0.513,propositions,0.422,preliminaries,0.499,arti,0.502,points,0.42,aricles,0.68,artides,0.785,aricles,0.742,artices,0.761,artcles,0.859,articlts,0.868,artiees,0.885,artieles,0.76,articies,0.689,article,0.486
9,em,0.431,delivered,0.42,points,0.508,ratification,0.416,arti,0.486,conditions,0.496,arti,0.413,artieles,0.674,artiles,0.785,articls,0.737,irticles,0.757,aricles,0.856,nrticles,0.867,articlos,0.88,aiticles,0.759,rticles,0.68,koup,0.459
10,appointed,0.43,following,0.414,commons,0.507,points,0.408,treatv,0.476,treaty,0.496,agreements,0.408,articls,0.663,arricles,0.779,artirles,0.733,artides,0.756,articlea,0.856,artices,0.867,irticles,0.879,artiolea,0.756,ticles,0.635,stolen,0.458
11,former,0.43,proceed,0.407,demand,0.486,nimeguen,0.406,treary,0.461,capitulation,0.491,ratifications,0.398,arricles,0.661,artieles,0.778,aticles,0.729,articlea,0.754,srticles,0.854,artiales,0.867,artloles,0.876,artcles,0.748,articl,0.567,dutiable,0.456
12,pro,0.43,confirmed,0.4,matters,0.483,mined,0.39,clauses,0.454,tieaty,0.489,conventions,0.398,articlei,0.66,articlei,0.777,artcles,0.728,artiles,0.754,artides,0.853,artiees,0.866,artiales,0.874,artiolee,0.738,icles,0.534,goods,0.456
13,prefent,0.429,par,0.399,tower,0.476,ratifications,0.376,ticle,0.453,ratifications,0.484,conditions,0.397,aticles,0.657,aticles,0.763,artides,0.725,aricles,0.75,artices,0.85,articlss,0.858,aricles,0.872,artioies,0.738,article,0.529,contents,0.451
14,er,0.427,booke,0.391,spiritual,0.459,project,0.375,preli,0.453,points,0.473,propofitions,0.392,articics,0.646,aricles,0.761,rticles,0.724,ticles,0.747,atticles,0.849,artieles,0.855,artiles,0.869,articiee,0.731,prepacked,0.527,coins,0.444
15,againfi,0.422,bifhops,0.385,treaty,0.457,decrees,0.375,agreement,0.448,propositions,0.471,matters,0.389,artitles,0.64,rticles,0.745,artiles,0.723,artcles,0.744,articies,0.846,articlea,0.854,artidles,0.868,rticles,0.73,titledeeds,0.51,books,0.435
