,en_1640,en_1640_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,ber,0.537,members,0.54,members,0.547,alember,0.82,mcmber,0.751,mcmber,0.822,mcmber,0.857,memnber,0.807,memlier,0.848,memher,0.924,momber,0.912,membor,0.924,memoer,0.806,memoer,0.789,membei,0.753
1,worthy,0.493,convention,0.378,mem,0.51,mcmber,0.779,memberof,0.71,memnber,0.767,memnber,0.853,mlember,0.789,memher,0.83,momber,0.91,membor,0.908,membsr,0.924,memlier,0.801,memlier,0.762,memoer,0.689
2,voted,0.491,peer,0.375,parliament,0.496,memberof,0.749,reprefentative,0.626,mernber,0.753,meniber,0.82,mernber,0.752,alember,0.818,membor,0.907,membar,0.901,membar,0.917,membei,0.774,membei,0.75,membe,0.654
3,speech,0.478,speaker,0.363,parlia,0.487,representative,0.744,mem,0.619,menber,0.744,menmber,0.814,mcmber,0.749,meniber,0.813,menber,0.903,menber,0.899,membet,0.91,membor,0.772,membet,0.745,freemason,0.619
4,mafler,0.468,mem,0.361,representative,0.476,mlember,0.712,elefed,0.556,membcr,0.736,membcr,0.806,menber,0.739,mlember,0.813,memler,0.888,membei,0.898,memher,0.909,memher,0.757,memler,0.745,mem,0.602
5,houfc,0.457,chosen,0.356,esqj,0.466,memnber,0.711,rechofen,0.556,menmber,0.725,mlember,0.801,meniber,0.735,memnber,0.81,memlier,0.886,memlier,0.898,menber,0.9,memler,0.748,membor,0.737,foundermember,0.596
6,mailer,0.455,session,0.355,chosen,0.463,amember,0.681,members,0.549,memberof,0.716,memher,0.8,menmber,0.734,membei,0.808,membei,0.885,memler,0.896,memler,0.898,memiber,0.73,memher,0.732,members,0.583
7,pretended,0.45,commons,0.352,foley,0.447,reprefentative,0.677,liament,0.549,memiber,0.698,memberof,0.799,memberof,0.732,mnember,0.794,memnber,0.883,membsr,0.894,meember,0.883,membe,0.715,memberof,0.715,nember,0.569
8,knight,0.449,baronet,0.341,shippen,0.441,mem,0.671,pirliament,0.532,mem,0.684,menber,0.794,miember,0.728,niember,0.78,membar,0.881,memher,0.894,memlier,0.88,memberof,0.694,membe,0.677,supporter,0.566
9,motion,0.432,elect,0.341,liament,0.434,sentative,0.662,parliament,0.53,members,0.667,memiber,0.788,mermber,0.728,memiber,0.775,mnember,0.88,memoer,0.888,imember,0.879,momber,0.691,nember,0.676,founder,0.561
10,gentleman,0.431,commoners,0.339,ffq,0.43,presentative,0.654,elefled,0.528,membr,0.651,miember,0.786,memiber,0.715,menber,0.775,imember,0.876,membtr,0.871,memoer,0.872,membar,0.691,memiber,0.673,exmember,0.556
