,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,coyn,0.572,rency,0.512,sterling,0.506,rency,0.596,rency,0.571,rency,0.785,rency,0.847,curreucy,0.912,currenoy,0.909,curreucy,0.907,ourrency,0.765,rency,0.842,rency,0.811
1,coin,0.554,intrinsick,0.478,fpecie,0.454,coinage,0.546,papermoney,0.566,quotation,0.609,cuirency,0.763,rency,0.88,ourrency,0.886,currenoy,0.901,currenoy,0.755,currencv,0.675,currencies,0.611
2,mintbills,0.511,current,0.473,guilders,0.45,fterling,0.514,depreciation,0.533,depreciation,0.587,curreucy,0.743,currenoy,0.875,curreney,0.886,carrency,0.87,currencv,0.754,stabilisation,0.626,convertibility,0.61
3,loans,0.506,coinage,0.473,fugars,0.431,fierling,0.507,mandats,0.528,depreciated,0.577,curreney,0.74,curreney,0.873,cuirency,0.88,ourrency,0.868,cnrrency,0.725,devaluation,0.605,imports,0.563
4,circulate,0.493,bankbills,0.468,sterl,0.425,fpecie,0.506,aflignats,0.504,fluctuation,0.567,currencv,0.714,carrency,0.872,curreucy,0.877,urrency,0.849,carrency,0.705,reichsbank,0.578,dollars,0.553
5,species,0.483,circulated,0.463,300000,0.403,dollars,0.502,specie,0.501,prices—barley,0.565,carrency,0.703,cuirency,0.851,carrency,0.87,ourrenoy,0.839,monthscurrency,0.672,inflation,0.571,nondollar,0.551
6,exporting,0.465,lowering,0.44,circulated,0.401,flerling,0.499,afignats,0.501,—flour,0.563,eurrency,0.702,ourrency,0.842,urrency,0.859,cnrrency,0.837,rency,0.658,shortterm,0.57,devaluation,0.534
7,bullion,0.453,banknotes,0.437,penfylvania,0.399,iterling,0.483,ipecie,0.498,nominal,0.561,currency—,0.686,currencv,0.833,ourrenoy,0.858,eurrency,0.823,currenc,0.582,budgetary,0.557,devaluing,0.534
8,tariff,0.444,coin,0.433,100001,0.398,ilerling,0.481,afiignats,0.497,exchangeable,0.56,currenry,0.675,cnrrency,0.828,rency,0.848,currencv,0.821,exceedng,0.561,£150000000,0.551,countries,0.51
9,scarcity,0.438,intrinfick,0.431,dollars,0.397,specie,0.481,ilerling,0.494,bankpaper,0.539,currenc,0.675,currency—,0.816,eurrency,0.845,curreacy,0.82,exoeeding,0.531,devalued,0.544,devalued,0.509
10,redressing,0.436,exporting,0.431,quota,0.395,bullion,0.476,fpecie,0.489,quoted,0.523,curreticy,0.672,currenev,0.814,curroncy,0.836,curreney,0.812,exceedins,0.521,credits,0.543,exportimport,0.506
11,capitation,0.436,bills,0.424,700000,0.393,dollar,0.465,negociable,0.489,quotations,0.518,currenev,0.659,cunency,0.802,cnrrency,0.829,cuirency,0.794,biils,0.517,fiduciary,0.543,bizonia,0.505
12,manufactures,0.433,coined,0.419,bullion,0.392,ftamp,0.458,affignats,0.489,bullion,0.518,currenicy,0.658,urrency,0.796,curency,0.826,curency,0.786,exceedine,0.517,quotas,0.533,devalue,0.497
13,exportation,0.432,reduffion,0.417,manufactured,0.389,depreciated,0.449,allignats,0.485,unsaleable,0.515,monetary,0.657,currenc,0.784,enrrency,0.823,rency,0.786,bilis,0.516,reparations,0.533,zones,0.495
14,circulation,0.431,specie,0.415,livrcs,0.387,250000,0.442,dollars,0.485,famplcs,0.512,curiency,0.65,eurrency,0.783,corrency,0.822,currenicy,0.784,exceeding,0.513,devalue,0.527,export,0.494
15,borrowing,0.423,commodity,0.41,sequins,0.387,5000001,0.441,fterling,0.482,preciation,0.511,currency—the,0.633,curreacy,0.778,eurreney,0.811,currenev,0.763,bills,0.509,stabilisa,0.524,importing,0.492
16,edict,0.421,funds,0.405,valued,0.383,continental,0.441,pecie,0.481,variation,0.51,depreciation,0.628,curiency,0.776,currencv,0.8,currenc,0.762,exceedinc,0.503,£1000000000,0.523,dollar,0.492
17,edicts,0.418,credit,0.404,florins,0.382,coin,0.44,milliards,0.476,theprices,0.507,depreciated,0.624,currency—the,0.767,curreacy,0.795,papermoney,0.758,exoeedmg,0.503,rediscount,0.52,reparations,0.491
18,mints,0.418,1500000,0.4,rixdollars,0.381,300000,0.438,current,0.474,quarter—barley,0.505,urrency,0.623,currencythe,0.756,curreny,0.778,coinage,0.752,billb,0.501,borrowings,0.517,interzonal,0.491
19,taxes,0.414,ordaining,0.4,piftoles,0.38,pcnnfylvania,0.434,difcount,0.473,dearer,0.505,cuirrency,0.608,eurreney,0.747,currenc,0.746,corrency,0.751,exoeedin,0.5,franc,0.516,francs,0.49
20,lessening,0.412,arret,0.4,colonics,0.379,tinental,0.434,dificount,0.472,cheaper,0.502,inconvertible,0.6,curreicy,0.739,currency—,0.703,curreny,0.745,bilu,0.494,pricelevel,0.513,exports,0.488
21,deficiency,0.411,redution,0.399,fhillings,0.378,reduion,0.434,bullion,0.47,wheat,0.501,reney,0.559,curency,0.737,ooinage,0.692,seignorage,0.741,biiis,0.489,stabilise,0.512,stabilisation,0.486
22,coind,0.41,nufactures,0.392,money,0.374,amounts,0.432,flerling,0.469,buvers,0.5,exchangeable,0.538,curreny,0.732,legaltender,0.67,currecy,0.719,momths,0.482,devalua,0.509,£80000000,0.485
23,current,0.407,reduion,0.391,sooooo,0.374,circulation,0.421,fraction,0.464,fluctuate,0.498,deprecia,0.537,corrency,0.732,renoy,0.666,currncy,0.714,exceediug,0.481,equalisation,0.509,devalua,0.485
24,coins,0.405,importation,0.391,annually,0.374,current,0.421,fipecie,0.463,chcaper,0.496,depreci,0.533,curreocy,0.73,coinage,0.663,demonetization,0.703,xceeding,0.481,monetary,0.508,reexport,0.478
