,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,danish,0.67,danish,0.839,danish,0.764,swedilh,0.553,swvedish,0.79,danish,0.769,swvedish,0.706,sweedish,0.878,bwedish,0.918,bwedish,0.885,finnish,0.706,bwedish,0.764,stockholm,0.727
1,dutch,0.532,swedissi,0.814,danissi,0.761,swedith,0.534,danish,0.745,russian,0.744,sweedish,0.656,swvedish,0.865,swediah,0.885,swediah,0.865,wedish,0.662,swedisn,0.695,danish,0.685
2,stockholm,0.498,swedilh,0.81,russian,0.734,swedifli,0.527,russian,0.707,prussian,0.723,swede,0.64,swedisb,0.823,swvedish,0.876,swedih,0.847,norwegian,0.639,swed,0.684,allehanda,0.66
3,french,0.487,swedisli,0.762,prussian,0.731,swediih,0.52,swedifh,0.66,swvedish,0.699,sardinian,0.632,bwedish,0.81,wedish,0.874,swedisb,0.837,danish,0.612,danish,0.654,dagens,0.646
4,suedes,0.478,swediih,0.735,swedilh,0.728,swedifh,0.517,portuguese,0.654,swedih,0.671,prussian,0.594,wedish,0.807,swodish,0.872,svedish,0.827,wegian,0.561,estonian,0.601,aftonbladet,0.643
5,sweden,0.477,danissi,0.729,swedissi,0.725,neapolitan,0.501,swedilh,0.652,norwegian,0.668,danish,0.564,swediah,0.804,swedih,0.864,swodish,0.818,norwe,0.525,latvian,0.591,finnish,0.628
6,copenhagen,0.462,muscovite,0.711,muscovite,0.717,marseilles,0.479,prussian,0.65,swedifh,0.656,norwegian,0.557,swedih,0.803,sweedish,0.861,swedisl,0.815,russian,0.523,esthonian,0.581,oslo,0.625
7,spanilh,0.451,daniih,0.702,polish,0.649,danifh,0.475,swedith,0.632,pomerania,0.643,dutch,0.544,svedish,0.797,swedisb,0.857,swvedish,0.815,rusian,0.52,kr25,0.567,sweden,0.618
8,swedes,0.45,prussian,0.696,swedifh,0.64,danih,0.463,swediih,0.627,swedilh,0.642,swed,0.542,swedishi,0.773,svedish,0.855,swedisli,0.814,finland,0.518,danisn,0.563,nyheter,0.615
9,brandenburg,0.442,russian,0.693,danilh,0.629,danilh,0.461,swedifli,0.616,stralsund,0.637,bavarian,0.537,danish,0.77,swedieh,0.844,swedisn,0.809,kussian,0.512,lithuanian,0.551,bladet,0.614
10,sieur,0.434,swedijh,0.686,swediih,0.622,swede,0.447,spanish,0.591,finland,0.635,stockholm,0.534,norwegian,0.762,swedlsh,0.842,sivedish,0.804,dutch,0.51,kreuger,0.545,svenska,0.602
11,spanish,0.433,danilh,0.683,holstein,0.614,turkish,0.444,petersburgh,0.591,swedes,0.626,swedes,0.53,swedishl,0.743,swedisli,0.841,swedieh,0.802,helsingfors,0.507,finnish,0.543,dagbladet,0.592
12,sueden,0.433,swedifh,0.668,prussia,0.609,portuguefc,0.441,danilh,0.586,russiau,0.62,dauish,0.524,danih,0.728,swedishi,0.828,swelish,0.799,germar,0.505,dauish,0.52,helsinki,0.592
13,monsieur,0.431,polish,0.643,czarish,0.602,danish,0.439,genoese,0.585,swediih,0.62,hanoverian,0.523,sivedish,0.728,swelish,0.828,wedish,0.797,gorman,0.504,—swedish,0.516,swedens,0.589
14,hague,0.427,swe,0.639,ruffian,0.601,portugucfe,0.439,swcdifh,0.577,swedith,0.612,russian,0.515,dauish,0.726,swedisl,0.824,sweduh,0.793,russiau,0.498,norwegian,0.508,bulgarian,0.589
15,bassador,0.427,ruffian,0.629,swedifli,0.587,portugueze,0.434,swedih,0.577,stockholm,0.608,prusian,0.51,swedis,0.714,sivedish,0.822,swdish,0.789,copenhagen,0.497,dutch,0.504,aftontidningen,0.587
16,spanijh,0.426,danijh,0.626,sweden,0.586,turkifh,0.433,danifh,0.571,prus,0.598,worzel,0.507,belgian,0.711,swedis,0.82,swedsh,0.779,dagens,0.496,kreugcr,0.5,copenhagen,0.587
17,gottorp,0.424,swedith,0.617,musco,0.586,englilh,0.431,spanishl,0.566,edish,0.597,russlan,0.507,norwe,0.705,8wedish,0.795,swedlish,0.779,germau,0.494,lithu,0.486,istanbul,0.585
18,portland,0.424,swedes,0.615,portuguese,0.578,euglilh,0.43,therussian,0.56,irussian,0.59,rnssian,0.505,swed,0.693,swedishl,0.792,sweedish,0.778,sian,0.494,krcuger,0.486,czech,0.585
19,ostend,0.423,swedifli,0.602,czar,0.576,portuguefe,0.428,portugueze,0.558,neapolitan,0.589,bussian,0.504,prussian,0.689,iswedish,0.79,swredish,0.775,swed,0.493,wegian,0.477,yugoslav,0.583
20,plenipotentiary,0.422,pomerania,0.596,holsteyn,0.574,hamburgh,0.425,polish,0.557,sweden,0.586,tnrnips,0.502,swedlish,0.688,swedlish,0.788,swedishi,0.768,politiken,0.493,gramophone—electrical,0.477,swed,0.583
21,branden,0.421,russians,0.591,swedith,0.567,guefe,0.425,thespanish,0.553,swedifli,0.577,rusian,0.5,danuh,0.679,swedsh,0.772,dauish,0.763,bussian,0.492,ukranian,0.476,jugoslav,0.582
22,westindies,0.421,covite,0.59,bassewitz,0.559,daniih,0.424,anish,0.552,prusian,0.576,russiau,0.499,daniah,0.676,swdish,0.77,danuh,0.749,spanish,0.491,norwe,0.473,ningen,0.581
23,portuguese,0.418,muscovites,0.589,cassel,0.559,portuguese,0.421,guese,0.544,norway,0.576,kgsbd,0.493,danisb,0.674,edish,0.763,swedis,0.748,eussian,0.489,anish,0.464,czechoslovak,0.581
24,muscovite,0.418,sweden,0.581,british,0.551,hambourg,0.42,vessel,0.543,sian,0.57,austrian,0.492,edish,0.674,sedish,0.757,iswedish,0.743,germsn,0.486,bwed,0.459,demokraten,0.579
25,ambassadour,0.418,musco,0.579,danifh,0.551,englill,0.419,turkish,0.542,austrian,0.57,prus,0.492,dutch,0.674,dauish,0.75,norwegian,0.743,danisn,0.486,danih,0.455,malmoe,0.577
26,brandenburgh,0.417,czar,0.574,daniih,0.55,peterfbourg,0.418,swedifl,0.541,spanish,0.564,neapo,0.491,wegian,0.669,daiish,0.726,swedishl,0.742,ruseian,0.486,carroras,0.455,tidningen,0.575
