,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,dyet,0.711,dyet,0.796,dyet,0.774,dict,0.605,dict,0.657,dict,0.819,reltraint,0.553,confinement,0.6,dietand,0.81,ofdiet,0.757,dliet,0.686,diot,0.483,dietary,0.695,dietary,0.578
1,assembly,0.546,ratisbon,0.545,dyct,0.657,alteration,0.566,reftraint,0.601,dliet,0.624,restraint,0.549,conlinement,0.592,dliet,0.761,dliet,0.741,diot,0.67,dietary,0.468,diets,0.585,nutritional,0.511
2,diets,0.516,dyer,0.51,dyec,0.635,eradi,0.548,rellraint,0.583,ofdiet,0.589,reftraint,0.542,ofdiet,0.592,ofdiet,0.759,diot,0.71,ofdiet,0.66,batocki,0.456,foods,0.568,proteins,0.507
3,warsaw,0.499,dict,0.499,dyets,0.586,teration,0.505,reflraint,0.579,reftraint,0.571,dliet,0.518,dliet,0.585,eonfinement,0.73,dlet,0.695,idiet,0.639,nourishment,0.446,nutrition,0.568,diets,0.506
4,cantons,0.494,dier,0.49,diets,0.582,dyet,0.499,reltraint,0.577,reitraint,0.566,confinement,0.502,restraint,0.58,conflnement,0.707,estraint,0.66,dietand,0.637,pleading,0.442,starchy,0.567,calories,0.505
5,frankfort,0.474,diets,0.475,grodno,0.56,diets,0.496,reitraint,0.568,reltraint,0.543,schwitz,0.495,finement,0.553,conlinement,0.696,idiet,0.65,aconstitution,0.622,foods,0.441,food,0.558,nourishing,0.497
6,states,0.466,presburg,0.474,pacification,0.518,dyct,0.484,refiraint,0.558,rellraint,0.541,dict,0.484,conflnement,0.551,dlet,0.693,djet,0.645,dietary,0.613,diabetics,0.44,dieting,0.554,vitamins,0.494
7,deputies,0.455,presbourg,0.469,deliberations,0.501,hindrance,0.471,restraint,0.553,reflraint,0.541,hinderance,0.482,dlet,0.547,restraiut,0.682,restraintof,0.624,restrietion,0.606,dieting,0.438,digested,0.544,vitamin,0.487
8,saxony,0.433,lublin,0.455,ratisbon,0.484,climate,0.456,confinement,0.525,conlinement,0.536,hindrance,0.477,diet—,0.537,reatraint,0.677,dilet,0.622,reetriction,0.604,hoklicks,0.435,boneforming,0.54,nourishment,0.485
9,puties,0.432,circles,0.443,palatinates,0.483,grodno,0.448,dyet,0.504,dlet,0.535,drin,0.471,confinemnent,0.529,continement,0.671,restrietion,0.62,reetraint,0.602,maltkd,0.43,nourishment,0.535,foods,0.485
10,circles,0.417,palatinates,0.436,pacifica,0.476,regimen,0.437,regimen,0.492,confinement,0.531,bacher,0.468,idiet,0.526,diet—,0.665,continement,0.616,continement,0.598,food—the,0.427,mastication,0.529,nutri,0.484
11,baden,0.413,arau,0.429,states,0.471,poifonous,0.425,ceep,0.456,dieti,0.523,germanic,0.467,continement,0.522,restraint,0.66,ldiet,0.614,conlinement,0.593,undercooked,0.425,nutri,0.529,nutritive,0.482
12,deputation,0.409,grodno,0.428,dier,0.464,eradicates,0.414,dist,0.452,restraint,0.514,landamman,0.462,regimen,0.52,thediet,0.658,reatriction,0.604,reatraint,0.591,wheaten,0.424,nutritive,0.528,itamin,0.475
13,commissary,0.405,mentz,0.426,poland,0.45,loathfome,0.411,eradi,0.443,ftraint,0.507,ratifbon,0.461,straint,0.502,idiet,0.656,restriction,0.603,restriction,0.59,allenburys,0.424,ration,0.527,protein,0.472
14,dyer,0.402,hailbron,0.425,stares,0.449,nuncios,0.4,exereife,0.442,ratifbon,0.505,finement,0.46,germanic,0.483,ldiet,0.651,eonfinement,0.603,restraiut,0.589,fcod,0.424,nutritional,0.52,bemax,0.469
15,lithuania,0.4,scates,0.424,ratifbon,0.448,evangelic,0.397,gimen,0.438,refiraint,0.501,ratilbon,0.459,bellinghausen,0.451,inement,0.651,confinement,0.602,relaxations,0.587,overfeeding,0.418,proteins,0.52,rations,0.468
16,assembled,0.392,nuremberg,0.422,convening,0.448,dier,0.394,finement,0.434,grodno,0.49,drance,0.457,diets,0.451,confiuement,0.647,diet—,0.597,dieting,0.586,playground,0.416,carbohydrate,0.519,appetites,0.466
17,primate,0.392,congress,0.417,presburg,0.442,bufinefe,0.393,experiene,0.428,ratilbon,0.484,regimen,0.449,confederation,0.44,onfinement,0.641,reetriction,0.596,confnement,0.585,oatfood,0.412,nutritious,0.51,bodybuilding,0.46
18,westphalia,0.391,helvetick,0.416,regimen,0.44,allembly,0.392,diffidents,0.419,finement,0.482,ratisbon,0.434,beverage,0.439,regimen,0.638,reetraint,0.592,restrant,0.583,hoblicks,0.412,vitamines,0.509,hydrates,0.453
19,senators,0.391,cantons,0.408,dyer,0.436,eradicate,0.385,hindrance,0.417,hindrance,0.475,frankfurt,0.426,absti,0.434,constitutior,0.622,oonfinement,0.589,diet—,0.582,food—a,0.412,subdiet,0.507,carbohydrates,0.447
20,cracow,0.39,ratisbonne,0.405,presbourg,0.434,confinement,0.379,ratilbon,0.413,regimen,0.469,orebro,0.423,abstinence,0.432,diot,0.616,dietthat,0.582,sucharticles,0.581,fooj,0.407,diabetic,0.507,energygiving,0.446
21,suabia,0.389,assembly,0.405,diec,0.433,conftraint,0.376,alteration,0.413,confinemnent,0.464,drink,0.423,exercie,0.431,confinement,0.613,restrictiou,0.581,confinement,0.578,food,0.407,farinaceous,0.504,nutrition,0.444
