,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,oath,0.552,formed,0.455,formed,0.595,fotm,0.595,formn,0.563,formn,0.69,formn,0.795,formn,0.71,lorm,0.764,lorm,0.861,foim,0.898,foim,0.867,foim,0.713,iorm,0.759,lorm,0.667
1,laws,0.527,forming,0.428,forming,0.507,forrn,0.578,formed,0.534,forming,0.575,forrn,0.712,lorm,0.707,foim,0.745,foim,0.825,fcrm,0.813,iorm,0.825,lorm,0.699,lorm,0.733,iorm,0.642
2,power,0.514,forms,0.336,formd,0.507,foim,0.567,forming,0.503,fbrm,0.563,forin,0.69,forms,0.645,formn,0.732,fornm,0.798,formn,0.797,lorm,0.816,iorm,0.689,foim,0.693,torm,0.609
3,manner,0.512,canton,0.318,establish,0.397,formn,0.556,forms,0.471,forms,0.539,forni,0.687,foim,0.638,fbrm,0.682,fbrm,0.78,lorm,0.783,formi,0.793,fonn,0.644,torm,0.675,foim,0.58
4,realm,0.493,encamp,0.31,forms,0.394,formed,0.534,formd,0.431,formed,0.526,fornm,0.654,fornm,0.636,forns,0.667,forns,0.749,fornm,0.775,formn,0.789,forms,0.622,fcrm,0.638,fcrm,0.579
5,writing,0.491,cate,0.309,deiign,0.382,formd,0.508,formi,0.423,forin,0.518,forms,0.642,forming,0.629,torm,0.662,iorm,0.746,iorm,0.746,formand,0.765,fcrm,0.597,fotm,0.637,forms,0.569
6,proceedings,0.482,uniting,0.307,assemble,0.373,forni,0.505,forma,0.412,fcrm,0.483,fotm,0.639,formi,0.611,fornm,0.657,forni,0.744,formof,0.736,fornm,0.764,forme,0.575,forma,0.56,orm,0.509
7,cafe,0.475,invest,0.306,draw,0.37,forming,0.496,forni,0.408,lorm,0.479,lorm,0.63,forin,0.608,formi,0.649,formn,0.733,forrm,0.735,formof,0.754,torm,0.573,forni,0.552,rg48,0.49
8,nature,0.473,center,0.303,compos,0.368,sorm,0.438,fpecimen,0.4,formning,0.479,formi,0.626,formed,0.591,forni,0.643,forrm,0.7,forns,0.722,forrm,0.745,forma,0.565,forms,0.547,lorms,0.489
9,proceed,0.472,repre,0.303,enter,0.353,lorm,0.432,eflablifh,0.399,eftablifh,0.477,torm,0.622,fbrm,0.565,forin,0.624,forms,0.695,formi,0.712,formt,0.741,formof,0.55,formof,0.523,forma,0.46
10,religion,0.469,erect,0.301,esta,0.35,solemn,0.41,eftablifh,0.399,formd,0.471,forml,0.593,torm,0.565,forms,0.623,forml,0.692,formt,0.71,fcrm,0.737,formi,0.545,orm,0.518,pamphlet,0.44
