,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,livonia,0.715,livonia,0.693,livonia,0.698,livonia,0.559,crimea,0.622,pomerania,0.744,norway,0.62,bothnia,0.896,norway,0.77,lithuania,0.804,sweden,0.721,estonia,0.713,sweden,0.768
1,schonen,0.689,carelia,0.643,wybourg,0.641,bohemia,0.553,bannat,0.62,swedes,0.721,moscow,0.562,finlaud,0.864,helsingfors,0.76,bessarabia,0.781,moscow,0.711,poland,0.691,russia,0.721
2,pomerania,0.688,rugen,0.628,ukrain,0.619,tranfylvania,0.55,oczakow,0.613,sweden,0.691,courland,0.558,fiuland,0.845,sweden,0.746,sweden,0.78,lithuania,0.71,czechoslovakia,0.685,finnish,0.706
3,revel,0.641,ahland,0.627,ruffian,0.618,sweden,0.547,pomerania,0.61,norway,0.689,prussia,0.555,bessarabia,0.843,gottenburg,0.737,norway,0.774,helsingfors,0.71,esthonia,0.667,hungary,0.699
4,ukrania,0.618,pomerania,0.624,courland,0.604,elbe,0.545,moldavia,0.604,moldavia,0.666,sweden,0.551,helsingfors,0.837,jutland,0.737,syria,0.769,russia,0.7,stockholm,0.663,norway,0.698
5,muscovites,0.596,ruffian,0.604,silefia,0.599,jutland,0.534,croatia,0.602,stralsund,0.639,caucasus,0.549,kherson,0.827,vistula,0.735,vladivostock,0.763,hungary,0.699,helsingfors,0.658,rumania,0.697
6,czar,0.586,schonen,0.604,lombardy,0.584,pomerania,0.532,livonia,0.6,swedish,0.635,livonia,0.547,caucasus,0.814,lubeok,0.734,tomsk,0.757,courland,0.69,christiania,0.654,bulgaria,0.694
7,norway,0.584,revel,0.603,ukraine,0.583,brittany,0.524,gallicia,0.598,wallachia,0.627,lithuania,0.541,gulf,0.812,algiers,0.73,hindustan,0.753,petrograd,0.686,latvia,0.654,finns,0.689
8,abo,0.583,wybourg,0.6,lithuania,0.578,holflein,0.521,bofnia,0.594,holstein,0.625,bothnia,0.541,courland,0.81,stadt,0.728,roumania,0.752,austria,0.685,czeohoslovakia,0.645,finlands,0.673
9,rugen,0.582,ingria,0.594,ruflian,0.578,lubec,0.516,sweden,0.586,denmark,0.618,cronstadt,0.53,kamtschatka,0.804,dalmatia,0.726,wallachia,0.751,esthonia,0.681,hungary,0.64,poland,0.671
10,narva,0.577,aftracan,0.594,bohemia,0.576,ukraine,0.515,lithuania,0.585,bothnia,0.615,gothland,0.53,gothland,0.799,stockholm,0.724,mequinez,0.749,warsaw,0.679,sweden,0.64,greece,0.669
11,bahus,0.576,courland,0.59,pomerania,0.574,copenhagen,0.515,ukraine,0.584,gallicia,0.602,bessarabia,0.528,esthonia,0.799,galacia,0.721,novgorod,0.748,montenegro,0.676,copenhagen,0.639,helsinki,0.668
