,en_1640,en_1640_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,divine,0.664,exceptions,0.393,rules,0.551,rulc,0.557,rules,0.487,rules,0.553,rulc,0.754,mandamus,0.585,rnle,0.75,rulo,0.895,rnle,0.859,rnle,0.916,rulo,0.833,rulo,0.73,rules,0.562
1,law,0.542,conscience,0.39,maxim,0.487,rules,0.494,ruler,0.444,maxim,0.55,arule,0.566,rulc,0.552,role,0.652,rnle,0.828,rulo,0.858,rulo,0.915,ruie,0.782,ruie,0.581,laws,0.525
2,ancient,0.538,rules,0.39,tradition,0.469,immutable,0.479,unerring,0.439,diftates,0.477,ruie,0.515,rules,0.541,mandamus,0.614,rule—the,0.756,rulethat,0.763,irule,0.863,rnle,0.762,kule,0.573,dictatorship,0.517
3,government,0.533,dottrine,0.389,dictates,0.437,maxim,0.465,ruls,0.416,immutable,0.467,nonfuit,0.495,rnle,0.532,—rule,0.606,irule,0.721,rulethe,0.733,lrule,0.857,kule,0.687,rnle,0.572,despotic,0.496
4,fin,0.527,precept,0.386,repugnant,0.433,criterion,0.462,invariable,0.391,rulc,0.464,ruile,0.495,nonsuit,0.528,arule,0.604,fourday,0.695,irule,0.72,rlule,0.842,ruje,0.673,rule—,0.542,doctrine,0.495
5,civill,0.505,exception,0.379,governed,0.432,unerring,0.444,demon,0.389,invariable,0.454,rnle,0.489,criminal,0.506,rulo,0.592,therule,0.693,ruleand,0.703,rtule,0.841,rul©,0.652,rules,0.542,law,0.49
6,statute,0.5,tenor,0.377,interpret,0.421,judgment,0.443,wifdom,0.383,felfprefervation,0.452,mandamus,0.489,ruie,0.479,kule,0.591,rule—,0.693,rulei,0.693,ruleand,0.84,rule—the,0.644,hardandfast,0.536,regime,0.488
7,power,0.493,conformity,0.376,authority,0.42,lawgiver,0.437,maxim,0.373,controul,0.442,abbett,0.487,injunction,0.471,rules,0.574,rutle,0.676,kule,0.68,rulewhich,0.832,rule—a,0.619,laws,0.526,authoritarian,0.477
8,clergy,0.489,demonstration,0.376,obey,0.413,ruler,0.437,precepts,0.37,guided,0.436,yockney,0.471,why,0.471,rule—,0.555,rulethe,0.674,rulc,0.673,kule,0.831,federalism,0.615,orthodoxy,0.5,etiquette,0.476
9,laws,0.488,confcience,0.373,governing,0.41,principle,0.428,wrong,0.362,deviate,0.43,maxim,0.468,demurrer,0.456,rtule,0.546,rulei,0.665,wellunderstood,0.673,ruie,0.817,devolution,0.606,rula,0.495,coercion,0.47
10,non,0.484,superior,0.372,governs,0.409,invariable,0.426,proverbs,0.361,doarine,0.425,nonsuit,0.458,maxim,0.456,ruile,0.541,rulea,0.662,rtule,0.669,rulethat,0.814,eule,0.59,procedure,0.492,monarchy,0.464
11,ought,0.483,reasoning,0.371,pastors,0.396,ruies,0.426,wifidom,0.36,violates,0.422,stubington,0.449,warranto,0.454,ruie,0.538,arule,0.658,conscienceclause,0.667,rula,0.802,homerule,0.586,strictness,0.489,ordinances,0.464
12,mans,0.48,scripture,0.37,meanest,0.394,judgmenc,0.425,rues,0.357,ruler,0.418,rules,0.446,ruile,0.454,nisi,0.532,usage,0.657,coercion,0.662,ltule,0.794,coercion,0.574,rigidly,0.485,tatorship,0.462
13,lawes,0.474,consciences,0.369,supreme,0.388,selfevident,0.422,eftablifhed,0.356,guides,0.418,faben,0.445,attorneygeneral,0.449,nonsuit,0.528,prohibition,0.654,rule—,0.655,llule,0.793,devolu,0.567,violation,0.482,dictates,0.462
14,ob,0.473,scrip,0.359,faith,0.388,fundamental,0.418,guided,0.355,interpret,0.413,naifh,0.432,dodtrine,0.446,riule,0.515,rules,0.653,rule—the,0.649,itule,0.79,referendum,0.567,ruies,0.482,enforcing,0.459
15,is,0.47,power,0.357,judge,0.387,decisions,0.418,dodrine,0.353,legiflators,0.413,torey,0.43,doftrine,0.44,damus,0.514,rulb,0.647,therule,0.649,rulethe,0.787,rule—,0.561,principle,0.482,slavish,0.459
16,ye,0.47,obligation,0.354,exploded,0.386,judgement,0.418,doftrine,0.352,sliding,0.413,certiorari,0.426,vhy,0.44,injunction,0.511,precedent,0.645,enforcement,0.644,rulebill,0.787,bule,0.545,transgressing,0.478,enforce,0.455
17,ordinary,0.463,consci,0.353,rulers,0.382,subordinate,0.417,governing,0.346,doatrine,0.413,warranto,0.418,certiorari,0.437,irule,0.504,mandamus,0.643,rlule,0.642,rulefor,0.785,disestablishment,0.545,sabbatarianism,0.478,violates,0.455
18,yea,0.459,judgment,0.353,ordain,0.381,guided,0.414,criterion,0.346,vulgar,0.412,margrie,0.416,maintainable,0.436,certiorari,0.5,justice—that,0.643,corollary,0.64,homerule,0.785,principle,0.542,ordinances,0.477,tarianism,0.455
19,learned,0.456,argu,0.351,ruler,0.381,authoritative,0.413,uniformity,0.343,laws,0.412,iule,0.412,whly,0.434,conditional,0.495,lawthat,0.642,limitation,0.64,rulein,0.78,bill—that,0.541,tenets,0.476,arbitrary,0.453
20,clergie,0.454,interpretation,0.35,doctrine,0.38,consonant,0.413,demonftration,0.343,fundamental,0.412,cauie,0.408,cautse,0.426,manda,0.493,equitv,0.64,sabbatarian,0.637,rulc,0.779,ferendum,0.541,permissible,0.474,feudal,0.453
21,bifhops,0.454,scriptures,0.349,fundamental,0.379,supreme,0.409,fundamental,0.342,rulei,0.412,law,0.406,wihy,0.423,warranto,0.487,argument,0.639,coeroion,0.636,rulers,0.779,selfgovernment,0.541,enforced,0.47,repealing,0.453
22,not,0.453,precepts,0.345,divine,0.377,reajon,0.408,interpreted,0.341,legif,0.412,sturch,0.405,garrow,0.423,tiorari,0.483,rulethat,0.637,rula,0.635,prule,0.778,itule,0.539,etiquette,0.469,selfdetermination,0.451
23,and,0.451,fundamental,0.343,legislature,0.372,doatrine,0.407,principles,0.34,confound,0.412,why,0.404,precedent,0.421,itule,0.477,dictum,0.635,ruleo,0.634,rule—that,0.777,bicameral,0.537,lawmakers,0.469,nonbelligerency,0.45
24,nation,0.451,parent,0.341,lawful,0.37,equity,0.407,eternal,0.339,implies,0.411,invariable,0.403,iwhy,0.417,llule,0.476,rtule,0.634,proceduro,0.631,rulei,0.777,conscription,0.535,prohibitory,0.467,doctrines,0.449
25,alone,0.448,equity,0.34,infallibility,0.37,oughtto,0.405,inftrument,0.338,governed,0.411,skeat,0.402,principle,0.417,injunc,0.467,role,0.634,slidingscale,0.631,3rule,0.777,uncontroversial,0.533,negation,0.467,sovereignty,0.449
26,nature,0.445,maxim,0.338,supream,0.368,inflitutions,0.403,paradox,0.336,judgement,0.411,durden,0.398,invariable,0.416,demurrer,0.467,demurrer,0.634,prohibition,0.63,eule,0.776,irreconcilably,0.53,enjoined,0.465,despotism,0.449
