,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,dutchy,0.548,vince,0.632,vince,0.715,colony,0.621,colony,0.806,provinceof,0.723,provinces,0.762,provinces,0.751,proviuce,0.906,provinco,0.915,proviuce,0.929,provinoe,0.776,provinoe,0.687,cambodia,0.637
1,provinces,0.546,principality,0.614,piovince,0.697,vince,0.598,piovince,0.706,piovince,0.715,gallicia,0.66,proviuce,0.716,provinco,0.857,proviuce,0.893,provinco,0.92,provinco,0.655,hupeh,0.582,shansi,0.627
2,principality,0.494,provinces,0.584,provinces,0.672,provinces,0.567,provinces,0.668,provinces,0.706,colony,0.638,provinee,0.687,provinee,0.854,provinoe,0.892,provinoe,0.904,vinces,0.618,szechwan,0.575,sinkiang,0.614
3,territories,0.489,hainault,0.554,vinces,0.558,zealand,0.553,rovince,0.658,provincc,0.679,vinces,0.631,vinces,0.676,piovince,0.847,piovince,0.868,provinee,0.888,kiangsu,0.588,shensi,0.569,hupeh,0.612
4,kingdom,0.482,guelderland,0.531,ghilan,0.553,territory,0.534,provincc,0.647,theprovince,0.629,territory,0.627,piovince,0.631,provinoe,0.818,provinee,0.847,piovince,0.882,provinces,0.576,kwangtung,0.568,vinces,0.609
5,winterquarters,0.481,zealand,0.528,schirvan,0.546,kingdom,0.533,maffachufets,0.643,provinice,0.622,alentejo,0.623,trasos,0.63,rovince,0.797,provinceof,0.84,provinceof,0.864,anhui,0.572,vince,0.549,fukien,0.609
6,canton,0.481,gelderland,0.52,colony,0.542,iflind,0.522,maflachufetts,0.639,vinces,0.619,territories,0.62,proviuces,0.63,provinceof,0.781,proviace,0.827,prorince,0.859,chewan,0.566,anhwei,0.548,kwantung,0.599
7,vince,0.479,guelder,0.51,guelderland,0.519,ifland,0.518,provinc,0.629,colony,0.615,galicia,0.62,catalonia,0.628,provinces,0.765,theprovince,0.817,proviace,0.853,provinoes,0.563,kiangsi,0.546,istria,0.59
8,alsace,0.469,dutchy,0.508,states,0.518,dutchy,0.516,maflachufets,0.622,principality,0.611,estramadura,0.614,piovinces,0.625,proviice,0.755,provirce,0.809,provine,0.85,assiniboia,0.549,vinces,0.539,provinces,0.586
9,frontier,0.466,artois,0.507,territory,0.515,duchy,0.507,maffachufetts,0.606,piovinces,0.601,frontier,0.613,galicia,0.625,provine,0.748,rovince,0.791,orovince,0.841,oolony,0.547,hunan,0.538,orissa,0.583
10,electorate,0.465,zeland,0.499,balagna,0.514,friefland,0.5,vince,0.575,brabant,0.59,catalonia,0.61,trasosmontes,0.619,prevince,0.742,irovince,0.787,povince,0.838,kwangsi,0.543,szechuan,0.536,kwangtung,0.581
11,finances,0.462,kingdom,0.499,governorgeneral,0.513,ifiand,0.5,illand,0.573,territory,0.585,arragon,0.609,arragon,0.612,provioce,0.735,povince,0.766,irovince,0.835,fukien,0.542,sidamo,0.533,bihar,0.581
12,brabant,0.46,durchy,0.494,kingdcm,0.503,guelderland,0.497,maffa,0.566,guelder,0.583,viceroyalty,0.606,minho,0.611,provincs,0.726,provineo,0.747,iprovince,0.831,saskat,0.54,provinces,0.531,kiangsi,0.577
13,palatinate,0.46,friefland,0.484,servia,0.499,frontier,0.493,connefticut,0.565,frontier,0.575,texas,0.593,territory,0.61,provinc,0.722,mazanderan,0.739,theprovince,0.822,colony,0.536,suiyuan,0.526,liuchow,0.574
14,luxemburg,0.455,brabant,0.483,district,0.499,groningen,0.488,vinces,0.564,provinccs,0.574,algarve,0.591,yucatan,0.608,theprovince,0.72,provincs,0.738,nrovince,0.82,lieutenantgovernor,0.526,territory,0.523,nanning,0.572
15,country,0.453,archbilhoprick,0.483,kingdom,0.495,eledorate,0.487,diftrict,0.557,netherlands,0.571,insurgents,0.59,frontier,0.604,territory,0.718,pashalik,0.735,provirce,0.817,kiangsi,0.525,protectorate,0.52,hunan,0.566
16,states,0.451,guienne,0.47,istand,0.495,vinces,0.484,ifland,0.557,pennfyl,0.571,gailicia,0.59,province—,0.601,proviace,0.713,provinces,0.725,rovince,0.807,dependency,0.522,hopei,0.518,peloponnese,0.564
17,bosnia,0.44,biscay,0.469,zealand,0.489,illand,0.478,iffand,0.553,rovince,0.57,dominions,0.586,estremadura,0.597,provinice,0.706,romagua,0.722,provnce,0.806,saskatchewan,0.519,hinterland,0.517,chekiang,0.562
18,suabia,0.437,picardy,0.467,srates,0.487,franche,0.476,diftrit,0.552,dominions,0.57,venezuela,0.586,popayan,0.597,teiritory,0.702,proviuces,0.721,provinre,0.804,hupei,0.518,kansu,0.513,baijan,0.562
19,puties,0.437,ringdom,0.46,languedoc,0.484,hainault,0.475,territory,0.552,provinc,0.57,mexico,0.584,aragon,0.595,tittery,0.701,pashalic,0.718,provineo,0.789,kwangtung,0.518,kiangsu,0.512,kwangsi,0.559
20,luxemburgh,0.433,duchy,0.46,isiand,0.484,states,0.474,newjerfey,0.536,connaught,0.561,principality,0.583,colony,0.594,vinces,0.693,territery,0.716,proince,0.785,chihli,0.517,chekiang,0.507,honan,0.558
21,croatia,0.43,provin,0.459,territories,0.483,liland,0.474,kingdom,0.535,vince,0.56,electorate,0.58,provinc,0.594,provitce,0.689,prorince,0.715,proviice,0.782,kordofan,0.517,kwangsi,0.507,azerbaijan,0.554
22,depu,0.425,bishoprick,0.452,statesof,0.48,frontiers,0.473,georgia,0.533,provincei,0.553,valencia,0.578,republic,0.593,proviuces,0.689,provine,0.714,provinice,0.773,district—reuter,0.516,autonomous,0.504,ruthenia,0.551
23,diocefs,0.423,brittany,0.451,gelderland,0.478,principality,0.471,pennfylvania,0.532,diftrit,0.552,frontiers,0.577,algarve,0.589,provincea,0.688,provioce,0.714,prevince,0.77,szechuan,0.512,fukien,0.503,wenchow,0.549
24,deputies,0.42,vinces,0.45,transilvania,0.476,eleftorate,0.466,connecticut,0.532,louifiana,0.552,estremadura,0.577,territories,0.587,provitice,0.682,provinice,0.713,provisce,0.769,ruanda,0.511,saskatchewan,0.501,russianoccupied,0.548
25,intendant,0.42,district,0.448,llland,0.475,territories,0.465,continent,0.531,guelderland,0.551,zuela,0.575,rioja,0.585,colony,0.679,prevince,0.713,provinlce,0.761,disaffected,0.509,chahar,0.499,littoral,0.545
26,westphalia,0.417,states,0.444,ypres,0.469,eleaorate,0.464,vania,0.531,gueldres,0.551,granada,0.574,rovince,0.585,piovinces,0.672,provice,0.708,provioce,0.759,turkestan,0.508,colony,0.497,peloponnesus,0.545
27,treves,0.416,districts,0.438,duchy,0.467,lfland,0.463,ifiand,0.529,belgic,0.55,guzerat,0.574,provine,0.584,palatinate,0.671,villayet,0.705,drovince,0.759,hupeh,0.508,gujerat,0.497,azer,0.544
28,strates,0.416,meurs,0.438,derbenr,0.466,languedoc,0.462,canada,0.528,guelders,0.549,viceroy,0.573,provinees,0.583,algarve,0.67,piovinces,0.704,provice,0.758,transcaspian,0.507,tectorate,0.495,kedah,0.543
29,normandy,0.415,territory,0.438,friestand,0.465,frizeland,0.459,iflaud,0.527,connecticut,0.549,territorv,0.566,rovinces,0.579,proince,0.67,territory,0.7,provmce,0.756,lieutgovernor,0.505,kaifeng,0.493,bukovina,0.543
30,bremen,0.411,repartition,0.437,electorate,0.462,landgraviate,0.458,acadia,0.525,statesof,0.547,junta,0.563,insurgent,0.574,provinees,0.669,territoiy,0.699,lrovince,0.756,provinc,0.505,saskat,0.492,kiang,0.542
31,villages,0.409,inhabitants,0.435,connecticut,0.462,eleorate,0.458,scotia,0.524,provine,0.545,andalufia,0.563,alemtejo,0.572,territorv,0.665,vilayet,0.697,provinc,0.751,shensi,0.505,graingrowing,0.489,mongolia,0.539
32,countreys,0.408,provisionally,0.433,sclavonia,0.461,affembly,0.457,habitants,0.523,ifhnd,0.544,biscay,0.561,provinice,0.572,provines,0.663,territories,0.696,azerbaijan,0.747,azerbaijan,0.504,chihli,0.489,sakhalin,0.536
33,wirtemberg,0.405,archbifhoprick,0.43,island,0.461,republic,0.455,berbices,0.522,ofholland,0.544,asturias,0.56,andalusia,0.571,ritory,0.662,teriitory,0.696,prosince,0.732,voronezh,0.502,athabasca,0.487,agrigento,0.536
34,garisons,0.404,frontier,0.43,artois,0.46,ukraine,0.452,colonies,0.518,provinices,0.539,guyana,0.559,provitice,0.571,provnce,0.662,rioja,0.695,charkieh,0.731,semiindependent,0.502,chewan,0.487,macedonia,0.535
35,vpper,0.403,gelder,0.429,principality,0.46,llland,0.452,frontier,0.516,novascotia,0.539,andalusia,0.558,guipuscoa,0.568,provinoes,0.659,puglia,0.694,communes,0.73,autonomous,0.501,ruthenia,0.485,hinterland,0.533
36,conde,0.401,limburg,0.428,teflis,0.459,acadia,0.449,jfland,0.516,eleaorate,0.538,piedmont,0.555,gallicia,0.567,territories,0.657,teritory,0.69,vilayet,0.729,szechuen,0.5,vincial,0.484,sovietoccupied,0.533
37,frontiers,0.4,andalusia,0.428,candahar,0.458,aftembly,0.448,pcnnfylvania,0.516,friezeland,0.538,illyrian,0.554,murcia,0.565,chekeang,0.657,provinoes,0.688,kansu,0.729,rebellion,0.5,territories,0.484,southeastern,0.531
38,garifons,0.399,britany,0.427,georgia,0.457,republick,0.448,northamerica,0.515,brittany,0.536,murcia,0.553,venezuela,0.565,kwantung,0.657,chekiang,0.687,hupeh,0.722,kharkov,0.499,wheatgrowing,0.483,moldavia,0.53
39,countries,0.399,bifhoprick,0.425,empire,0.457,palatinate,0.448,settlers,0.514,vania,0.535,caraccas,0.552,alentejo,0.564,trasosmontes,0.657,andorre,0.687,provinceo,0.719,prefectures,0.494,jalisco,0.483,nanchang,0.53
40,conquests,0.398,languedoc,0.425,macedonia,0.454,croatia,0.446,principality,0.514,georgia,0.535,cuttack,0.551,rumelia,0.561,kiangsi,0.656,provnce,0.686,provinces,0.712,vince,0.493,villanueva,0.482,chuhsien,0.53
41,netherlands,0.397,catalonia,0.423,daghestan,0.453,pennfylvania,0.446,governor,0.513,walachia,0.535,servia,0.549,cuenca,0.56,province—,0.654,grodno,0.682,anhui,0.709,grainproducing,0.492,dependency,0.482,venezia,0.53
42,grana,0.397,abruzzo,0.422,captaingeneral,0.452,dominions,0.443,diftricts,0.513,vermont,0.534,bosnia,0.544,navarre,0.558,colouy,0.654,provincei,0.682,villayet,0.708,archipelago,0.49,jehol,0.478,galicia,0.526
43,liege,0.397,bifcay,0.421,bordering,0.452,sluys,0.443,ifand,0.512,bofnia,0.534,spain,0.542,guadalaxara,0.556,colonv,0.653,captaingeneralship,0.681,benisuef,0.706,wheatgrowing,0.489,asia,0.478,chefoo,0.526
44,austria,0.396,milanese,0.42,durchy,0.451,novascotia,0.439,nova,0.511,colonv,0.534,caracas,0.541,cauca,0.554,doninions,0.652,peloponnesus,0.68,provinos,0.704,kwantung,0.489,communities,0.478,gojjam,0.525
45,zealand,0.396,dutchies,0.419,dutchy,0.451,milaneze,0.439,territories,0.511,fettlement,0.533,asturia,0.54,castille,0.554,ritories,0.651,provincesof,0.679,protince,0.703,republic,0.489,pendencies,0.477,teschen,0.524
46,dependencies,0.395,mecklen,0.418,transylvania,0.451,kingdomn,0.438,penfylvania,0.51,comtat,0.531,captaingeneral,0.54,guipuzcoa,0.554,dominions,0.649,comarca,0.675,sandjak,0.701,insurrection,0.489,tigre,0.476,regions,0.522
47,franconia,0.395,republick,0.416,eledorate,0.45,munfter,0.438,itland,0.51,provincs,0.529,guadalaxara,0.539,basque,0.553,dependency,0.648,provincos,0.674,bessarabia,0.701,governorsgeneral,0.489,eritrea,0.476,dobrudja,0.521
48,neighborhood,0.394,towns,0.415,districts,0.447,dauphiny,0.436,liland,0.508,electorate,0.528,expeditionary,0.537,junta,0.553,territoiy,0.646,teiritory,0.673,bukovina,0.7,dioceses,0.487,dependencies,0.475,istrian,0.518
49,berg,0.394,srates,0.413,gelder,0.447,finland,0.434,lfland,0.508,romania,0.525,frioul,0.535,provinices,0.552,mosquitia,0.646,dependency,0.673,vilayets,0.7,governorgeneral,0.487,bihar,0.475,region,0.517
50,florins,0.393,colony,0.413,illand,0.446,iflands,0.432,inhabitants,0.507,eleftorate,0.525,dalmatia,0.534,fiontier,0.552,froutier,0.645,vinces,0.673,volhynia,0.699,cities,0.486,transcaucasia,0.474,transylvanian,0.516
51,vernor,0.391,deputies,0.412,ifland,0.446,electorate,0.432,iflandi,0.506,liege,0.523,tyrol,0.531,talonia,0.551,provice,0.645,iprovinces,0.671,ecija,0.699,simbirsk,0.485,region,0.472,yunnan,0.513
52,strasbourg,0.388,scates,0.412,palatinate,0.444,thestates,0.432,diftrift,0.501,rovinces,0.52,armies,0.53,biscayan,0.551,lorabardy,0.644,acarnania,0.668,garbieh,0.699,lithuania,0.485,protectorates,0.471,nicaragua,0.511
53,governours,0.387,mecklenbourg,0.411,fortress,0.444,riviera,0.431,lieutenantgovernor,0.499,zeland,0.518,garrisons,0.53,biscay,0.55,kwangtung,0.644,brigaudage,0.667,kansuh,0.698,yunnan,0.485,mandated,0.471,hengyang,0.511
