,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,doctrines,0.561,ciples,0.625,piinciples,0.755,ciples,0.682,piinciples,0.762,principlcs,0.787,ciples,0.826,ciples,0.848,priuciples,0.94,priuciples,0.942,priuciples,0.929,ciples,0.883,ciples,0.888,ciples,0.844
1,elements,0.539,doctrines,0.615,ciples,0.747,principle,0.594,ciples,0.754,piinciples,0.779,piinciples,0.78,piinciples,0.832,ciples,0.921,prinoiples,0.921,piinciples,0.924,principle®,0.766,principle,0.761,ideals,0.743
2,practices,0.527,principle,0.575,principle,0.636,relgion,0.547,principlcs,0.731,principies,0.778,principle,0.737,priuciples,0.793,piinciples,0.899,prineiples,0.912,prinoiples,0.917,principle,0.747,ideals,0.736,principle,0.699
3,positions,0.526,tenets,0.557,notions,0.611,religion,0.536,principlei,0.725,ciples,0.775,principlesof,0.716,prineiples,0.769,prineiples,0.881,ciples,0.908,princinles,0.911,prinoiples,0.719,fundamentals,0.732,fundamental,0.681
4,republican,0.513,doctrine,0.552,religion,0.574,notions,0.535,principics,0.721,principics,0.756,ptinciples,0.704,principlea,0.755,princinles,0.866,principlea,0.903,principlea,0.91,fundamental,0.711,doctrines,0.722,doctrine,0.664
5,doctrine,0.509,republican,0.546,hydrostatics,0.556,fundamental,0.533,principlesof,0.706,princples,0.756,principies,0.699,rinciples,0.751,priaciples,0.86,priaciples,0.901,princioles,0.903,princinles,0.702,ciple,0.72,ciple,0.662
6,maxims,0.506,fundamentals,0.542,fundamental,0.545,dodtrine,0.532,principies,0.704,ptinciples,0.749,prineiples,0.697,priniciples,0.738,priiciples,0.86,principlee,0.892,principlee,0.897,ciple,0.702,fundamental,0.716,democracy,0.652
7,calumnies,0.505,religion,0.529,philosophick,0.544,doftrine,0.518,principle,0.694,priniples,0.746,principlcs,0.688,eiples,0.73,priciples,0.857,piinciples,0.888,prnciples,0.894,doctrines,0.692,tenets,0.701,conceptions,0.648
8,fanatical,0.495,practices,0.521,reiigion,0.537,doarine,0.516,ptinciples,0.687,pinciples,0.738,priuciples,0.688,priciples,0.729,prinoiples,0.856,princinles,0.884,ciples,0.887,ideals,0.673,teachings,0.684,fundamentals,0.634
9,dottrine,0.495,diflenters,0.516,hydro,0.513,maxims,0.516,pinciples,0.673,rinciples,0.734,priciples,0.677,princples,0.727,principlesand,0.855,priciples,0.873,prineiples,0.885,prinoiple,0.663,conceptions,0.646,doctrines,0.632
10,ples,0.473,persecuting,0.513,doctrines,0.513,doctrine,0.5,princples,0.672,priniciples,0.734,priiciples,0.671,pritciples,0.726,priociples,0.853,principlos,0.872,priaciples,0.879,tenets,0.66,doctrine,0.641,theories,0.617
11,christianity,0.473,dissenters,0.504,tenets,0.512,philofophy,0.5,rinciples,0.657,principlesof,0.732,princples,0.67,ptinciples,0.723,principlea,0.851,ptinciples,0.866,princples,0.873,principlee,0.652,aims,0.638,beliefs,0.615
12,geometry,0.468,notions,0.501,philofophick,0.506,newtonian,0.496,dorines,0.648,priuciples,0.728,theprinciples,0.664,principies,0.721,principlee,0.85,nrinciples,0.863,principies,0.87,principlea,0.65,theories,0.637,funda,0.606
13,contrivances,0.465,christianity,0.496,rligion,0.505,dorine,0.494,sentiments,0.63,prineiples,0.724,pinciples,0.663,priticiples,0.718,ptinciples,0.847,princples,0.863,principlos,0.87,principes,0.649,truths,0.637,enunciated,0.606
14,erroneous,0.46,ligion,0.492,keligion,0.505,morality,0.493,notions,0.611,principls,0.719,pritciples,0.66,principlesand,0.712,prisciples,0.846,rinciples,0.859,rinciples,0.864,dogmas,0.64,beliefs,0.628,ideas,0.601
15,atheists,0.46,priesthood,0.487,dorines,0.502,moral,0.493,principls,0.603,prirciples,0.717,doctrines,0.658,priiciples,0.712,principies,0.84,prirciples,0.856,priciples,0.862,fundamentals,0.636,methods,0.616,tenets,0.596
16,principle,0.459,heresies,0.483,pneumaticks,0.499,difeourfes,0.492,fentiments,0.603,priiciples,0.715,priniciples,0.656,iprinciples,0.712,principlesof,0.839,psinciples,0.854,princidles,0.861,principlo,0.634,socialism,0.616,mentals,0.595
17,notions,0.454,morality,0.479,philofopby,0.499,ethics,0.487,doarines,0.602,priciples,0.712,ciple,0.647,prinriples,0.712,pritciples,0.839,pinciples,0.853,priniples,0.86,teachings,0.63,fundamentally,0.615,judaism,0.588
18,theory,0.454,minds,0.474,maxims,0.498,criterion,0.485,morality,0.593,prnciples,0.709,rinciples,0.644,priaciples,0.71,princioles,0.835,theprinciples,0.852,principlesand,0.849,doctrine,0.629,funda,0.612,idealism,0.584
19,impious,0.452,presbyterian,0.474,rcligion,0.498,dodrine,0.485,trines,0.588,princiles,0.703,morality,0.643,principle,0.7,irinciples,0.834,princlples,0.851,principlesof,0.848,priuciple,0.61,ideas,0.608,democratic,0.583
20,passions,0.447,deists,0.471,fluidity,0.498,aftronomy,0.481,maxims,0.587,priticiples,0.689,inciples,0.629,theprinciples,0.697,iprinciples,0.834,principies,0.85,prinriples,0.848,theories,0.61,democracy,0.607,verities,0.579
21,malice,0.447,institutions,0.468,doarines,0.497,principes,0.479,motives,0.587,principle,0.685,maxims,0.624,principlesof,0.695,nrinciples,0.831,princioles,0.844,irinciples,0.844,adherence,0.609,dogmas,0.607,democ,0.579
22,jesuitical,0.447,reveald,0.467,hydrostatical,0.495,imbibed,0.478,doctrines,0.585,pritciples,0.68,principlei,0.622,priociples,0.694,pnnciples,0.829,priniples,0.844,nrinciples,0.842,policy,0.606,principles—,0.607,freedoms,0.579
23,treasonous,0.445,consciences,0.467,princi,0.494,founded,0.476,dofrine,0.583,principlks,0.678,priticiples,0.622,pinciples,0.692,prinriples,0.829,princiles,0.844,pnnciples,0.841,formulas,0.606,principlo,0.605,internationalism,0.578
24,politicks,0.444,difenters,0.467,sentiments,0.494,gion,0.476,principlc,0.58,inciples,0.671,piinciple,0.615,prisciples,0.689,princples,0.826,priociples,0.843,princiules,0.836,beliefs,0.605,idealism,0.605,ethics,0.576
25,persuasion,0.441,prejudices,0.467,infinities,0.493,hypothefis,0.475,doftrines,0.58,printiples,0.664,principls,0.614,principls,0.686,prindples,0.824,priiciples,0.842,prindples,0.834,truths,0.6,adherence,0.599,dogmas,0.576
