,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,tendency,0.405,notion,0.534,ideas,0.633,orthography,0.558,ideas,0.701,idca,0.8,ideaof,0.668,notion,0.783,notion,0.873,notion,0.863,notion,0.876,notion,0.702,notion,0.684,notion,0.616
1,brutes,0.404,ideas,0.522,perception,0.537,ideas,0.546,idca,0.694,ideaof,0.76,notion,0.654,ideaof,0.714,ideaof,0.864,ideaof,0.828,ideaof,0.805,ideaof,0.652,conception,0.663,impression,0.601
2,heavenly,0.402,simplicity,0.475,notion,0.505,conceptions,0.469,ideaof,0.624,notion,0.656,idca,0.628,idlea,0.601,theidea,0.747,ideathat,0.778,pretension,0.792,ideas,0.627,ideas,0.648,suggestion,0.591
3,index,0.395,sublime,0.469,orthography,0.497,imperfect,0.46,notion,0.606,idlea,0.622,ideas,0.615,conception,0.591,notiou,0.737,theidea,0.765,ideathat,0.779,suggestion,0.605,idoa,0.642,sort,0.581
4,knowledg,0.393,genius,0.444,minds,0.495,comprehenfive,0.429,notions,0.592,ideas,0.615,notions,0.57,idca,0.576,idca,0.728,ielea,0.755,inkling,0.775,possibility,0.594,impression,0.577,ideas,0.568
5,rational,0.393,existence,0.444,imagination,0.486,notion,0.426,fentiment,0.571,theidea,0.571,ideai,0.545,ideas,0.544,idlea,0.721,inkling,0.754,theidea,0.765,intention,0.583,suggestion,0.575,thing,0.554
6,geography,0.387,imagination,0.437,notions,0.478,refemblance,0.424,opinion,0.555,anidea,0.54,opinion,0.542,imagine,0.499,ideathat,0.706,idlea,0.73,conception,0.748,conception,0.581,supposition,0.564,argument,0.55
7,animal,0.386,immortality,0.413,exiftence,0.474,imperfeft,0.417,idcas,0.554,ideasof,0.534,imputation,0.529,ideai,0.496,absurdity,0.701,belief,0.723,hypothesis,0.741,opinion,0.576,principle,0.563,thought,0.545
8,imagination,0.382,notions,0.412,image,0.47,senfe,0.411,sentiment,0.544,idei,0.528,doubt,0.522,imagined,0.491,ideas,0.695,hypothesis,0.717,phantasm,0.741,inkling,0.573,belief,0.556,possibility,0.545
9,writer,0.378,image,0.41,conceptions,0.464,definition,0.411,expreflion,0.543,opinion,0.523,conceive,0.518,possibility,0.486,infatuation,0.684,notiou,0.715,dislike,0.741,principle,0.57,object,0.551,anyhow,0.532
10,qs,0.375,sense,0.406,existence,0.458,sentiment,0.407,apprehenfion,0.541,ideai,0.522,idlea,0.517,supposition,0.481,metaphor,0.683,possihility,0.713,aversion,0.736,conoeption,0.568,indication,0.543,conception,0.526
11,scrip,0.374,benevolence,0.402,felicity,0.456,fpecimen,0.405,fentiments,0.529,refleation,0.512,expeftation,0.512,theidea,0.48,semblance,0.678,ideas,0.711,possibility,0.736,preconceived,0.567,conceptions,0.538,belief,0.523
12,revelation,0.373,demonstration,0.398,comprehensive,0.452,senfc,0.404,fenfe,0.529,imputation,0.51,chimerical,0.507,notions,0.48,surmise,0.676,idea—that,0.707,notions,0.735,belief,0.564,sort,0.537,recollection,0.521
13,description,0.372,contemplation,0.396,definition,0.451,deviation,0.403,exprefion,0.523,contradialion,0.509,insinuation,0.506,idea—,0.473,optimism,0.674,possibility,0.705,supposition,0.731,indication,0.56,illusion,0.534,newfangled,0.517
14,tradition,0.372,conceptions,0.396,sketch,0.449,allegory,0.4,argument,0.522,pollibility,0.507,indication,0.505,conceptions,0.471,inkling,0.673,ideai,0.698,squeamishness,0.731,theidea,0.554,ciple,0.529,anyway,0.515
15,genuine,0.372,creator,0.394,genius,0.444,scope,0.396,definition,0.514,docrine,0.502,conceived,0.505,pretext,0.466,incongruity,0.673,posibility,0.697,assumption,0.726,object,0.55,thing,0.529,suppose,0.514
