,en_1620,en_1620_d,en_1640,en_1640_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,and,0.56,defence,0.588,maintain,0.591,maintain,0.65,maintain,0.67,defending,0.618,maintain,0.674,dcfend,0.724,detend,0.668,defeud,0.704,defeud,0.892,defeud,0.928,defeud,0.914,deiend,0.692,defending,0.651,fight,0.626
1,us,0.536,liberties,0.566,protect,0.555,protect,0.572,protect,0.607,maintain,0.616,vindicate,0.673,defcnd,0.713,protect,0.656,detend,0.698,delend,0.873,defond,0.857,defond,0.862,defeud,0.672,defended,0.54,defending,0.619
2,to,0.53,keep,0.535,assert,0.489,support,0.569,vindicate,0.581,fupport,0.577,oppofe,0.628,detend,0.711,todefend,0.651,delend,0.686,detend,0.872,dofend,0.855,detend,0.862,detend,0.639,vindicate,0.53,fending,0.575
3,unto,0.513,authority,0.526,extremity,0.48,defending,0.535,exert,0.549,fuccour,0.572,protect,0.623,todefend,0.706,vindicate,0.623,vindicate,0.672,defead,0.794,detend,0.852,delend,0.859,defending,0.6,plead,0.498,defended,0.564
4,own,0.512,duty,0.496,defence,0.473,vindicate,0.48,defending,0.542,protet,0.568,protet,0.603,protea,0.689,repel,0.619,defenid,0.633,defond,0.762,delend,0.833,dofend,0.855,protect,0.571,fending,0.498,withdraw,0.547
5,faith,0.506,obedience,0.488,support,0.455,secure,0.473,defended,0.522,protect,0.552,protedt,0.588,protet,0.686,maintain,0.614,todefend,0.63,vindicate,0.762,defead,0.829,deiend,0.847,defended,0.542,aggressor,0.486,reassert,0.539
6,their,0.506,religion,0.468,adhere,0.445,fupport,0.473,fupport,0.52,attack,0.547,lupport,0.587,protect,0.679,delend,0.58,protect,0.607,defenid,0.759,defeod,0.827,defead,0.824,piotect,0.541,defen,0.482,subjugate,0.525
7,hould,0.498,laws,0.466,oppose,0.442,defence,0.473,fupporr,0.517,exert,0.547,repel,0.579,maintain,0.669,resist,0.574,defetid,0.602,defence,0.753,lefend,0.792,dafend,0.794,vindicate,0.536,assail,0.477,uphold,0.522
8,giue,0.487,lives,0.446,defended,0.422,defended,0.467,enemies,0.502,extremity,0.543,protea,0.577,delend,0.657,protea,0.572,uphold,0.579,deiend,0.752,todefend,0.787,iefend,0.794,repel,0.531,fend,0.476,aggressor,0.515
9,our,0.486,ruine,0.443,fortunes,0.417,defends,0.462,defends,0.501,oppofe,0.543,overawe,0.576,repel,0.619,protet,0.569,defending,0.576,todefend,0.736,defendl,0.78,todefend,0.782,detenu,0.531,uphold,0.474,invade,0.514
10,people,0.483,fecure,0.435,relieve,0.416,oppose,0.458,oppose,0.5,fiupport,0.54,invade,0.567,protecl,0.612,fortify,0.567,defence,0.562,defeod,0.732,defendthe,0.774,lefend,0.767,resist,0.523,complainant,0.474,retaliate,0.513
11,honour,0.482,means,0.421,reduce,0.411,guarding,0.441,refift,0.497,defence,0.538,fupport,0.562,defenid,0.612,abandon,0.562,assail,0.552,lefence,0.726,vindicate,0.762,defeod,0.766,assail,0.523,fended,0.472,isolate,0.512
12,hi,0.475,priviledges,0.42,preserve,0.401,extremity,0.44,divest,0.496,proted,0.533,defence,0.559,prote,0.608,repossess,0.559,repel,0.53,defetid,0.725,dtfend,0.746,deieud,0.761,defenc,0.515,liberties,0.471,renounce,0.504
13,hat,0.473,power,0.415,hazard,0.4,attack,0.436,support,0.495,annoy,0.532,prote,0.556,protel,0.606,invade,0.553,defended,0.518,lefend,0.719,defenid,0.745,vindicate,0.755,proteot,0.507,defendent,0.464,resist,0.504
14,meanes,0.468,pretence,0.408,vindicate,0.397,oppofe,0.436,proted,0.492,fecure,0.528,proteat,0.556,protedt,0.605,defending,0.543,delence,0.516,defendi,0.718,defendi,0.743,defendthe,0.75,defen,0.503,selfdefence,0.463,destroy,0.49
15,of,0.466,rights,0.408,firmly,0.391,retake,0.436,aflert,0.49,fortify,0.519,withftand,0.555,dfend,0.602,reoccupy,0.543,maintain,0.516,defending,0.713,dafend,0.741,defendl,0.749,plead,0.501,repudiate,0.462,annihilate,0.489
16,whereof,0.466,enemies,0.407,fortify,0.39,succour,0.433,engage,0.483,fubdue,0.518,juitify,0.555,proted,0.599,protedt,0.541,fortify,0.514,detence,0.713,defnd,0.74,defendi,0.744,deend,0.498,—defend,0.461,mobilise,0.488
17,be,0.462,againit,0.396,resist,0.38,fortified,0.432,secure,0.48,protea,0.515,fubdue,0.554,vindicate,0.595,reconquer,0.531,defene,0.513,dcfence,0.712,defending,0.74,defending,0.741,eject,0.493,intervene,0.459,regain,0.487
18,but,0.461,fafety,0.396,secure,0.378,resist,0.43,withstand,0.478,abandon,0.512,defending,0.542,protct,0.594,prote,0.528,defendi,0.512,defeace,0.711,deiend,0.737,dlefend,0.737,fight,0.492,withdraw,0.458,fended,0.485
19,con,0.454,lawes,0.388,possess,0.376,enemies,0.429,enslave,0.476,demolifh,0.504,enflave,0.54,proteet,0.585,subjugate,0.527,defenee,0.512,defendl,0.71,dfend,0.73,efend,0.728,uphold,0.492,denied,0.454,recognis,0.485
20,word,0.452,againfi,0.386,utmost,0.376,assert,0.428,subdue,0.475,diflodge,0.501,fuppcrt,0.538,defnd,0.582,defence,0.516,defenders,0.509,defeid,0.71,prosecnte,0.719,idefend,0.727,defence—,0.49,repudi,0.453,violate,0.484
21,according,0.451,honour,0.385,prerogatives,0.372,invade,0.424,deprive,0.474,refill,0.5,proted,0.537,rcfift,0.564,outflank,0.516,resist,0.507,defeni,0.709,defenld,0.704,defendin,0.718,prosecute,0.487,defends,0.451,thwart,0.484
22,againft,0.45,hinder,0.383,succour,0.372,withstand,0.423,arrogate,0.473,enemies,0.499,avow,0.535,protedi,0.564,disarm,0.515,defenceof,0.5,defenco,0.708,efend,0.7,uphold,0.718,defence—the,0.482,renounce,0.451,demoralise,0.483
23,per,0.449,eftates,0.382,defending,0.372,repel,0.422,refute,0.47,invade,0.498,chaftife,0.534,protedl,0.563,regain,0.512,protcct,0.497,defense,0.705,viudicate,0.697,proteot,0.716,seize,0.477,complain,0.45,disarm,0.483
24,com,0.449,civill,0.382,successors,0.367,bravely,0.418,fecure,0.469,repel,0.496,oppofc,0.533,proteat,0.559,overwhelm,0.508,controvert,0.495,defeuce,0.703,defenl,0.697,proseeute,0.715,throw,0.476,assert,0.45,deceive,0.482
25,was,0.448,crown,0.382,engage,0.367,exert,0.418,oppofe,0.469,refift,0.493,ftipport,0.532,protca,0.558,defeuce,0.507,maintaiu,0.494,repel,0.702,vindioate,0.695,defenid,0.712,defends,0.475,deny,0.449,dominate,0.481
26,all,0.447,felves,0.379,fortifie,0.367,pufh,0.411,unite,0.468,oppole,0.492,juftify,0.532,protefl,0.554,oppose,0.505,defece,0.491,defenc,0.701,defenco,0.687,dfend,0.709,—defend,0.473,counsel,0.449,liberate,0.48
27,over,0.447,bound,0.377,strengthen,0.365,abandon,0.411,refill,0.466,enflave,0.491,proteft,0.531,proteft,0.545,refift,0.505,sustain,0.49,assail,0.694,defeuce,0.687,chastise,0.704,dcfence,0.473,identify,0.448,unleash,0.479
28,doth,0.446,ra,0.375,fave,0.361,extirpate,0.409,oppole,0.465,provide,0.491,fecure,0.529,refift,0.545,conquer,0.503,entrench,0.489,defenee,0.689,protoct,0.686,molest,0.703,reassert,0.473,threaten,0.447,evacuate,0.476
29,fo,0.443,intentions,0.375,yield,0.358,invaders,0.407,abandon,0.465,deprive,0.489,defended,0.528,naintain,0.544,rescue,0.503,fend,0.486,defenoe,0.687,protect,0.685,protect,0.703,strangle,0.473,substantiate,0.446,pursue,0.476
30,right,0.442,beare,0.374,expose,0.356,refift,0.405,repel,0.464,defended,0.489,tofupport,0.528,proteit,0.537,toattack,0.5,defenice,0.485,defenceof,0.685,assail,0.684,defena,0.703,revictual,0.473,aggressors,0.443,abandon,0.475
31,fire,0.441,divine,0.374,regain,0.354,reduce,0.402,betake,0.462,fhelter,0.488,proteit,0.526,fortify,0.536,retake,0.499,disprove,0.484,defeiid,0.682,defenc,0.681,liberate,0.695,retaliate,0.473,strangle,0.443,seize,0.473
32,armes,0.44,mercy,0.373,heirs,0.352,throw,0.402,fiupport,0.461,vindicate,0.487,fiipport,0.521,abandon,0.528,dispossess,0.498,proteet,0.482,confront,0.68,vindicato,0.679,toprotect,0.694,denied,0.47,fight,0.442,independence,0.472
33,the,0.437,dome,0.372,subvert,0.346,entrench,0.401,uphold,0.46,fccure,0.484,refill,0.52,defending,0.527,weaken,0.496,tosupport,0.48,protect,0.679,uphold,0.678,protct,0.694,tesist,0.468,denv,0.441,resisted,0.47
34,keepe,0.436,ferve,0.371,invade,0.345,push,0.401,invade,0.46,fecurc,0.482,exert,0.52,protett,0.523,invader,0.494,detente,0.475,viudicate,0.677,defence,0.675,apiealed,0.693,detended,0.468,contending,0.441,fend,0.47
35,religion,0.435,benefit,0.368,govern,0.345,fortify,0.4,avow,0.458,fortified,0.481,refift,0.519,tomaintain,0.523,emancipate,0.494,defeace,0.474,delence,0.676,chastise,0.674,subjugate,0.693,safeguard,0.468,crossexami,0.441,betray,0.469
36,that,0.434,keepe,0.366,stand,0.344,submit,0.397,ingage,0.456,evacuate,0.48,rouze,0.518,oppofe,0.523,destroy,0.492,rescue,0.473,defende,0.675,defenca,0.672,ptotect,0.693,violate,0.467,defende,0.44,deny,0.469
37,is,0.43,intereft,0.364,enemies,0.344,frustrate,0.397,oppofc,0.455,invaders,0.479,fapport,0.517,refill,0.521,expel,0.49,violate,0.473,defenre,0.667,euemies,0.671,proeecute,0.693,invade,0.466,restrain,0.44,reoccupy,0.468
38,them,0.43,commands,0.363,firm,0.339,intrench,0.395,jultify,0.455,lupport,0.479,flipport,0.517,derend,0.519,subdue,0.49,mnaintain,0.467,efence,0.667,dofenco,0.671,defendiug,0.692,dispossess,0.465,defendant,0.438,aggression,0.467
39,not,0.43,gentry,0.36,deprive,0.338,preserve,0.395,resist,0.455,infringe,0.478,cxert,0.516,reconquer,0.518,defended,0.49,chastise,0.466,dfend,0.666,reassert,0.67,defenld,0.692,selfdefence,0.465,asserted,0.438,oppose,0.467
