,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,hearts,0.526,kingdom,0.636,kingdom,0.52,nations,0.551,narion,0.696,natio,0.54,nationi,0.632,nationi,0.697,natiou,0.697,natiou,0.736,natiou,0.908,natiou,0.928,natiou,0.915,natiou,0.73,democracy,0.678,mankind,0.633
1,liberties,0.493,realm,0.617,world,0.415,legislature,0.481,thenation,0.566,individuals,0.53,national,0.619,naticn,0.684,naiion,0.624,nationi,0.655,nationand,0.813,naticn,0.843,naticn,0.822,nations,0.691,countrys,0.676,nation—,0.597
2,ruine,0.491,subjects,0.584,subversion,0.389,nati,0.478,naion,0.556,continent,0.528,empire,0.614,naion,0.682,nations,0.619,naiion,0.651,nation—and,0.811,nationand,0.825,nationand,0.815,democracy,0.684,community,0.661,naton,0.588
3,realme,0.478,laws,0.557,kingdoms,0.389,national,0.472,community,0.512,national,0.526,natior,0.608,natiou,0.679,natioi,0.608,nation—,0.648,natien,0.792,natien,0.817,natien,0.809,fatherland,0.666,natiou,0.65,countrys,0.586
4,kingdome,0.468,world,0.551,monarchy,0.386,glory,0.463,natio,0.504,difhonour,0.519,nations,0.607,naiion,0.668,nationi,0.593,natien,0.648,naiion,0.781,natiod,0.815,nationthat,0.806,nation—a,0.66,mankind,0.649,survival,0.582
5,dome,0.468,glory,0.535,christendom,0.382,monarchy,0.461,nationi,0.503,adminillration,0.515,narion,0.596,natioa,0.661,natioa,0.586,natioi,0.639,nation—that,0.78,nationthat,0.812,democracy,0.781,democracies,0.656,humanity,0.637,nations,0.58
6,civill,0.462,ancient,0.528,infamy,0.38,kingdom,0.459,britijh,0.499,nations,0.512,thenation,0.595,natibn,0.649,people,0.579,natioti,0.639,nation—,0.779,nstion,0.788,nationto,0.769,mankind,0.641,civilised,0.63,democracy,0.567
7,kingdom,0.459,advantage,0.524,country,0.375,commonwealth,0.449,national,0.489,wealth,0.5,natio,0.572,natiori,0.622,nation—,0.575,nations,0.622,natioi,0.776,empire,0.784,nations,0.765,greatness,0.629,nations,0.617,materialist,0.564
8,happy,0.457,indeed,0.519,tranquility,0.375,desolation,0.442,frade,0.486,community,0.499,kingdom,0.56,natien,0.621,independence,0.57,nationt,0.622,nationi,0.775,nation—that,0.778,natioi,0.764,nation—the,0.625,statesmanship,0.613,civilisation,0.56
9,government,0.455,dangerous,0.509,establishment,0.37,persecutions,0.431,fellowsubjects,0.484,glory,0.497,natioa,0.56,naton,0.62,nationt,0.566,naion,0.617,uatiou,0.765,nationthe,0.772,natious,0.763,militarism,0.607,civilisation,0.609,civilised,0.557
10,commonwealth,0.452,power,0.503,welfare,0.37,faction,0.425,naton,0.48,legillature,0.494,naion,0.56,natiun,0.612,natio,0.564,nationand,0.613,nationthe,0.757,nation—a,0.77,aspiration,0.762,freedomloving,0.605,humanitv,0.607,humanity,0.555
11,rule,0.451,manner,0.49,nations,0.369,fellowsubjects,0.422,britijb,0.475,naion,0.493,empirc,0.557,nationand,0.612,monarchy,0.56,people,0.608,nstion,0.747,monarchy,0.77,natiod,0.761,autocracy,0.604,peaceloving,0.605,resources,0.552
12,priviledges,0.449,gods,0.488,calamity,0.366,libertys,0.417,monarchy,0.473,independence,0.493,nationl,0.556,natioh,0.611,nalion,0.559,nalion,0.585,empire,0.743,naiion,0.765,empirethat,0.761,community,0.604,freedomloving,0.603,freedomloving,0.549
13,war,0.448,favour,0.484,constitution,0.364,englijb,0.417,nations,0.467,forbearance,0.486,natin,0.552,republic,0.609,magnanimity,0.545,empire,0.579,nation—a,0.742,thenation,0.764,predominance,0.759,humanity,0.602,libertyloving,0.598,aggressor,0.548
14,publike,0.439,religion,0.481,outrages,0.359,insupportable,0.414,legistature,0.465,grievance,0.486,nationa,0.549,nationj,0.6,degradation,0.541,natioin,0.577,natior,0.742,nation—,0.756,predominence,0.758,naition,0.602,worldpeace,0.595,naziism,0.547
15,laws,0.437,spirit,0.479,blessings,0.358,tyrants,0.408,wealth,0.457,republic,0.484,pufillanimous,0.548,nationl,0.599,civilized,0.541,nlation,0.575,nalion,0.74,freedomloving,0.755,englishpeople,0.757,statesmanship,0.599,exalteth,0.592,fatherland,0.54
16,ancient,0.429,prayers,0.477,magistracy,0.356,conspicuous,0.407,people,0.456,refleft,0.474,monarchy,0.54,natiop,0.596,thenation,0.54,peopleand,0.571,nations,0.735,nationi,0.753,community,0.756,solidarity,0.598,nation—,0.589,ourselves,0.54
17,reformation,0.426,protestant,0.468,racy,0.355,restraint,0.406,legislature,0.454,potentate,0.473,naton,0.539,natinn,0.593,deteftation,0.536,community,0.57,nation—the,0.73,natioi,0.753,militarism,0.753,civilisation,0.595,communities,0.589,cracy,0.539
18,clergy,0.426,regard,0.461,reputation,0.352,republick,0.402,difadvan,0.446,nati,0.471,wealth,0.536,natior,0.591,empire,0.535,natioii,0.57,nationalities,0.729,natiom,0.753,commuuity,0.753,prussianism,0.595,interdependence,0.588,mocracy,0.536
19,power,0.414,duty,0.458,misery,0.351,government,0.4,calamities,0.442,fluence,0.469,community,0.534,thenation,0.59,councils,0.53,civilized,0.568,nationof,0.725,nationof,0.752,greatness,0.753,civilised,0.593,independence,0.586,nationhood,0.536
20,rights,0.399,noble,0.449,dissolution,0.346,establishment,0.397,oppreffive,0.442,riches,0.468,resources,0.532,natio,0.588,humanity,0.53,thenation,0.563,naion,0.723,natior,0.747,demooracy,0.752,worldempire,0.593,solidarity,0.58,tyranny,0.531
21,religion,0.392,works,0.444,publique,0.345,protestants,0.394,nati,0.442,reproach,0.467,difgrace,0.528,natioti,0.587,englishmen,0.529,natiot,0.56,natioa,0.721,nationality,0.746,libertyloving,0.751,proletariat,0.59,abnegation,0.579,sacrifices,0.53
22,countrey,0.388,particular,0.442,invaded,0.343,people,0.393,destructive,0.441,commerce,0.466,mpire,0.527,natioi,0.582,domination,0.528,natior,0.56,nationthat,0.718,peopleand,0.746,natior,0.75,naton,0.584,mocracy,0.578,democ,0.529
23,crown,0.385,scripture,0.44,government,0.342,prosperity,0.391,christendom,0.441,impropriety,0.466,interelis,0.526,nationt,0.582,fellowcitizens,0.526,natio,0.559,nationto,0.718,empiro,0.745,freedomloving,0.75,naticn,0.583,proletariat,0.578,enslaved,0.529
24,lawes,0.384,clergy,0.439,miseries,0.342,happiness,0.39,kingdom,0.438,difgrace,0.464,fyfiem,0.524,narion,0.577,nationl,0.526,natioa,0.556,nationt,0.711,natioo,0.744,uatiou,0.749,lifeanddeath,0.582,sacrifices,0.576,dependence,0.526
25,divine,0.383,honour,0.436,governments,0.342,subjects,0.39,calamity,0.438,calamities,0.464,individuals,0.522,empire,0.57,energies,0.525,natiots,0.556,empireand,0.708,community,0.743,patriotism,0.747,oivilised,0.582,politically,0.575,oppressor,0.526
26,state,0.382,ail,0.436,grievous,0.34,reputa,0.39,endemick,0.436,afpiring,0.463,disgraced,0.522,natlon,0.569,imbecility,0.525,civilised,0.553,natious,0.708,natios,0.742,proletariat,0.746,countrys,0.581,industrially,0.572,peaceloving,0.523
27,bloud,0.379,greater,0.434,commonwealth,0.34,protestant,0.389,commonwealth,0.427,affronts,0.462,emnpire,0.521,natidn,0.568,natiot,0.524,people—and,0.551,christendom,0.701,empireand,0.74,sentiment,0.746,manhood,0.581,patriotism,0.57,measureless,0.519
28,work,0.375,title,0.433,generality,0.338,power,0.388,ministry,0.425,involved,0.461,wellbeing,0.521,nations,0.563,humbling,0.522,nationthe,0.55,natiod,0.701,domination,0.739,nationthe,0.744,natior,0.578,democ,0.57,oppressed,0.517
29,ion,0.375,“,0.43,influence,0.336,monarch,0.388,deftruffive,0.422,extenfion,0.46,fubjefis,0.521,natiot,0.553,natioti,0.519,nationl,0.548,monarchy,0.7,nation—the,0.738,aspirations,0.743,allies,0.577,nationalism,0.566,aggressors,0.517
