,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,conventions,0.572,contracts,0.582,releafes,0.606,covenants,0.603,alignments,0.611,assignments,0.611,agreement,0.637,agreement,0.803,agreemente,0.831,agreemente,0.878,agreement,0.786,agreement,0.792,agreement,0.739
1,agreement,0.536,contrads,0.542,recoveries,0.601,indentures,0.556,provifoes,0.6,covenants,0.599,covenant,0.569,agreemeut,0.785,agreemnents,0.824,agreemeuts,0.864,stipulations,0.689,treaties,0.707,treaties,0.679
2,contracts,0.527,conventions,0.536,covenants,0.599,affignments,0.532,agreement,0.593,agreement,0.546,covenants,0.568,agreemen,0.775,agreementa,0.803,areements,0.852,treaties,0.675,agreemen,0.69,negotiations,0.645
3,renunciations,0.525,treaties,0.532,awards,0.586,covenant,0.525,contracts,0.515,surrenders,0.516,agreemeut,0.567,agreem,0.743,agreement,0.749,agreementa,0.844,agreemen,0.671,negotiations,0.668,negotia,0.603
4,treatys,0.521,bargains,0.51,contracts,0.577,deeds,0.525,indentures,0.512,leafcs,0.505,venants,0.561,agreemeit,0.732,contiacts,0.728,agreemnents,0.837,agreemeut,0.649,pacts,0.659,bilateral,0.603
5,bargains,0.516,indentures,0.507,grants,0.575,agreement,0.524,covenants,0.506,mortgages,0.499,leases,0.537,sgreement,0.729,agreemeut,0.727,agrements,0.816,conventions,0.63,tiations,0.639,nego,0.601
6,treaties,0.516,engagements,0.504,bargains,0.564,awards,0.495,releafes,0.499,leases,0.497,provisoes,0.519,covenants,0.725,coutracts,0.718,acreements,0.801,agrement,0.623,agieement,0.629,tiations,0.589
7,clauses,0.477,contraas,0.488,appointments,0.522,leafes,0.479,surrenders,0.486,leafes,0.49,apportionments,0.506,ageement,0.725,agreemen,0.709,greements,0.797,negotiation,0.601,negotia,0.629,discussions,0.586
8,edicts,0.477,agreement,0.487,leafes,0.502,leales,0.456,deeds,0.479,leales,0.454,agieement,0.49,agieement,0.723,agrements,0.706,agreemients,0.782,agieement,0.595,bilateral,0.628,nonaggression,0.575
9,conformably,0.462,covenants,0.485,partition,0.493,invoices,0.452,covenant,0.476,notices,0.453,agreemnent,0.488,theagreement,0.713,contrects,0.704,agreemens,0.78,acreement,0.594,nego,0.612,stipulations,0.567
