,en_1700,en_1700_d,en_1720,en_1720_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,muscovite,0.797,muscovite,0.872,russians,0.725,prussian,0.826,rusian,0.841,bussian,0.942,rnssian,0.951,russiau,0.96,eussian,0.816,kussian,0.799,soviet,0.856
1,ruffian,0.781,ruffian,0.845,therussian,0.716,austrian,0.795,russiau,0.834,kussian,0.928,russiau,0.947,eussian,0.945,rusian,0.81,bussian,0.753,russians,0.773
2,swedish,0.693,turkish,0.741,austrian,0.714,russiau,0.756,austrian,0.817,russiau,0.916,eussian,0.941,rnssian,0.944,sian,0.808,rusian,0.73,leningrad,0.766
3,danish,0.693,swedish,0.734,prussian,0.709,danish,0.748,kussian,0.816,eussian,0.914,bussian,0.939,rusaian,0.93,kussian,0.789,sian,0.71,soviets,0.748
4,covite,0.639,polish,0.708,swedish,0.707,swedish,0.744,prussian,0.806,rnssian,0.909,rassian,0.935,rassian,0.927,bussian,0.786,soviet,0.7,german,0.742
5,musco,0.635,russians,0.701,turkish,0.694,rusian,0.72,rnssian,0.803,rusian,0.897,rusaian,0.913,bussian,0.925,ruasian,0.761,russians,0.698,ukraine,0.728
6,czar,0.634,swedissi,0.69,ruflian,0.663,sian,0.707,itussian,0.792,rassian,0.894,ruesian,0.912,hussian,0.923,russiau,0.759,rnssian,0.689,crimea,0.725
7,swedissi,0.63,czar,0.686,ruffian,0.657,turkish,0.704,llussian,0.744,ruesian,0.892,ruasian,0.902,kussian,0.915,servian,0.756,eussian,0.687,kiev,0.72
8,danissi,0.622,ruflian,0.682,danish,0.656,prus,0.699,bussian,0.735,rusaian,0.891,llussian,0.901,russiaa,0.914,austrian,0.75,hussian,0.655,moscow,0.718
9,russians,0.598,turkissi,0.681,theaustrian,0.656,rtussian,0.69,russlan,0.735,itussian,0.891,ruseian,0.894,lussian,0.914,roumanian,0.743,serbian,0.648,rostov,0.71
