,en_1700,en_1700_d,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,comparifon,0.495,comparifon,0.739,comparifon,0.676,comparifon,0.686,comparifon,0.662,parison,0.761,oomparison,0.826,oomparison,0.902,oomparison,0.884,parison,0.756,parison,0.758,comparisons,0.689
1,difference,0.422,compari,0.493,refletion,0.533,comnparifon,0.55,comparisons,0.612,compari,0.673,comparisou,0.824,comparisou,0.861,comparisou,0.867,oomparison,0.719,comparisons,0.733,parison,0.672
2,precedent,0.383,balsamic,0.478,difference,0.52,parifon,0.545,parison,0.583,comparisons,0.64,comparision,0.818,comnparison,0.843,compariaon,0.83,compari,0.705,compari,0.674,comparing,0.655
3,philosopher,0.38,parifon,0.475,parifon,0.517,competition,0.52,compared,0.582,comnparison,0.592,comnparison,0.81,comparisoa,0.835,comparieon,0.818,comparisons,0.665,comparing,0.635,compari,0.649
4,contradiction,0.38,wastings,0.465,reflection,0.516,comparilon,0.516,comparative,0.54,compare,0.575,compaiison,0.782,comparisen,0.815,comparisoa,0.815,comparing,0.6,comparision,0.609,comparable,0.625
5,absurdity,0.365,waitings,0.427,difpute,0.514,disproportion,0.516,compare,0.54,compared,0.567,parison,0.777,comparlson,0.808,omparison,0.808,compare,0.58,parisons,0.604,compare,0.616
6,indeed,0.359,contradiction,0.417,comparifons,0.501,comparisons,0.503,comparing,0.523,comparing,0.542,eomparison,0.775,eomparison,0.807,comnarison,0.806,parisons,0.554,comparable,0.584,compared,0.611
7,nicolini,0.356,sense,0.413,allufion,0.5,encrease,0.497,statement,0.499,contrast,0.514,compariaon,0.768,comparieon,0.805,comnparison,0.805,compar,0.527,compare,0.559,unfavourably,0.551
8,parallel,0.356,considers,0.411,reflexion,0.498,compari,0.493,competition,0.498,calculation,0.507,conparison,0.763,omparison,0.8,compaiison,0.803,oompare,0.521,comparo,0.557,comparative,0.546
9,dialogue,0.355,compar,0.41,tirefome,0.497,because,0.483,rivalship,0.497,comparative,0.485,comparieon,0.743,compaiison,0.792,comparision,0.799,contrast,0.518,compared,0.549,relatively,0.537
10,presumption,0.346,beyond,0.41,ftatefmen,0.495,transation,0.483,contrast,0.495,ompared,0.479,coniparison,0.736,comnarison,0.791,comiparison,0.791,compared,0.509,oompared,0.519,compares,0.536
11,affinity,0.345,moderns,0.406,fophiftry,0.488,existing,0.482,similarity,0.493,enumerations,0.477,omparison,0.725,compariso,0.782,comaparison,0.788,oompared,0.502,disparity,0.516,compar,0.534
12,instance,0.343,modest,0.404,reasoning,0.488,assertion,0.482,calculation,0.482,contrasting,0.474,comparion,0.719,comparision,0.778,conparison,0.787,oomparing,0.498,comparative,0.51,parisons,0.527
13,circumstance,0.343,must,0.403,produdions,0.487,dispute,0.48,controversy,0.48,juxtaposition,0.465,comiparison,0.715,comparson,0.76,compari,0.775,compered,0.487,compares,0.503,contrast,0.524
14,question,0.343,supposes,0.402,bugbear,0.481,difierence,0.479,reasoning,0.476,competition,0.461,compari,0.712,conparison,0.759,comparisen,0.774,dealing,0.474,difference,0.498,disparity,0.492
15,distinguishing,0.341,observation,0.401,refleion,0.473,parison,0.478,result,0.471,comnpared,0.456,consparison,0.7,compari,0.755,parison,0.772,compaied,0.472,contrast,0.497,infinitesimal,0.491
16,hypocrisy,0.34,compared,0.401,controverfy,0.472,result,0.475,analogy,0.47,rivalry,0.452,conmparison,0.683,parison,0.754,coniparison,0.771,differenoe,0.469,compar,0.492,difference,0.49
17,decay,0.337,decay,0.4,refleftion,0.47,estimate,0.475,dilference,0.467,compar,0.45,comparlson,0.68,comuparison,0.751,conmparison,0.771,compares,0.465,corresponding,0.485,contrasts,0.488
18,strengthning,0.329,baseness,0.397,disgraced,0.47,distination,0.474,difference,0.465,disproportion,0.444,comparisons,0.676,cemparison,0.74,eomparison,0.762,bdine—the,0.463,discrepancy,0.482,decreases,0.484
19,mahometans,0.328,possibility,0.396,refleffion,0.47,transaftions,0.465,abstractedly,0.465,rivalship,0.44,compare,0.669,comparion,0.739,cemparison,0.756,comparative,0.462,crepancy,0.48,statistics,0.478
20,atheism,0.327,allusions,0.395,unpleafing,0.469,inconsistency,0.464,compari,0.461,similitude,0.439,comparisoni,0.663,compariaon,0.738,compaison,0.755,comparo,0.46,disparities,0.479,calculation,0.471
21,statesman,0.323,intrinsick,0.386,inconfiftency,0.468,resemblance,0.462,commensurate,0.457,analogy,0.438,juxtaposition,0.663,compaison,0.734,comparlson,0.749,statistics,0.459,approximation,0.469,yardstick,0.47
22,whimsical,0.318,greatness,0.385,criticifin,0.466,similar,0.461,inconsistency,0.456,diminution,0.435,calculation,0.632,compare,0.717,compare,0.749,dfference,0.457,differentiation,0.464,favourably,0.469
23,contradictions,0.318,boast,0.384,chimera,0.461,distinguishable,0.46,resemblance,0.453,compete,0.434,comparing,0.618,coniparison,0.715,comparisoi,0.746,deaiing,0.456,comparod,0.463,similarity,0.468
24,deists,0.316,suppose,0.384,tranfaion,0.461,supposing,0.46,diffierence,0.451,conipared,0.433,contrast,0.605,conmparison,0.706,comoarison,0.746,oontrast,0.456,statistically,0.462,disproportionate,0.467
25,despicable,0.316,dispute,0.384,fiftion,0.46,thepresent,0.456,rivalry,0.449,competion,0.431,compared,0.603,comiparison,0.7,comparson,0.738,relatively,0.453,computation,0.461,corresponding,0.464
