,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,goddess,0.503,regions,0.533,wandring,0.474,regions,0.572,regions,0.598,regions,0.601,regions,0.733,regiou,0.884,regiou,0.882,regiou,0.902,sector,0.844,regions,0.675,regions,0.66
1,regions,0.472,clime,0.466,furface,0.464,torrid,0.526,expanfe,0.513,desarts,0.505,hyperborean,0.574,regions,0.808,regions,0.835,regionof,0.796,argonne,0.795,warndt,0.551,area,0.61
2,solitude,0.464,earth,0.416,fouthern,0.455,fkies,0.468,receffes,0.498,mountains,0.486,solitudes,0.572,zone,0.763,regioa,0.808,swamps,0.786,vosges,0.789,takkaze,0.535,southeastern,0.59
3,mournful,0.44,pubis,0.402,fource,0.449,ikies,0.463,clime,0.493,wanders,0.484,mountains,0.558,mountains,0.747,rogion,0.803,regioa,0.782,woevre,0.788,zones,0.533,sector,0.569
4,streams,0.439,oceans,0.399,fprings,0.445,climes,0.458,clouds,0.488,hemisphere,0.483,caverns,0.555,hemisphere,0.744,reglon,0.776,regions,0.78,auberive,0.785,hinterland,0.528,sinyavino,0.563
5,amidst,0.437,meteor,0.395,planet,0.434,gladnefs,0.456,gions,0.484,caverns,0.478,clime,0.551,cordilleras,0.732,hemisphere,0.748,tableland,0.773,craonne,0.785,gions,0.528,kramatorskaya,0.563
6,beauteous,0.427,tribe,0.395,atmofphere,0.433,fliade,0.455,ftreams,0.469,tropics,0.472,hemisphere,0.549,swamps,0.721,egions,0.718,regioni,0.769,tegion,0.783,unmapped,0.518,baranovichi,0.554
7,magnitude,0.422,atmosphere,0.391,murmurs,0.428,earth,0.454,climes,0.469,emerging,0.463,wildernesses,0.548,rocky,0.718,brahmaputra,0.713,rogion,0.744,aisne,0.783,szechuan,0.516,eifel,0.553
8,shade,0.421,surface,0.385,cavity,0.424,drear,0.454,tropic,0.468,explore,0.455,earths,0.533,mouutains,0.71,plains,0.703,steppes,0.743,sectors,0.78,subarctic,0.514,miskolc,0.551
9,skies,0.421,purer,0.382,clime,0.423,blifsful,0.452,fpreads,0.465,genius,0.455,tainous,0.53,mountainous,0.701,steppes,0.696,borderline,0.742,ailette,0.776,vosges,0.506,southwestern,0.547
10,frightful,0.421,earthly,0.38,diffufed,0.422,goddefs,0.452,fphere,0.464,extremities,0.454,mountainous,0.528,regious,0.697,mountains,0.695,abysses,0.742,prunay,0.775,devastated,0.503,byel,0.546
11,cloud,0.411,luminous,0.379,regions,0.42,fublunary,0.451,firmament,0.463,inhospitable,0.452,inhospitable,0.527,regiona,0.696,regious,0.695,reglon,0.735,roye,0.774,khineland,0.5,kalach,0.545
12,superstition,0.408,skies,0.378,darknefs,0.42,gloomy,0.45,atmofphere,0.462,wander,0.451,mountains—,0.525,tablelands,0.696,headwaters,0.691,libyan,0.734,boesinghe,0.772,kansu,0.497,oskol,0.543
13,jove,0.406,axis,0.376,surface,0.418,inhofpitable,0.449,atmof,0.462,undulating,0.449,valleys,0.524,plains,0.692,swamps,0.689,borderlands,0.731,dixmude,0.771,suiyuan,0.495,chernigov,0.542
14,darkness,0.402,lucid,0.373,populous,0.416,rapturd,0.449,zone,0.452,clime,0.447,fairyland,0.522,volcanic,0.692,abysses,0.687,forestclad,0.73,voeges,0.771,balkans,0.495,sevsk,0.539
15,describes,0.402,suns,0.373,fcene,0.416,skies,0.448,explore,0.452,ghauts,0.446,cavern,0.521,unexplored,0.687,tableland,0.687,bangweolo,0.721,lassigny,0.77,carpathians,0.495,volynsk,0.537
16,smoak,0.398,monfter,0.372,climes,0.416,terrific,0.448,elemental,0.451,peopled,0.445,peopling,0.517,intertropical,0.683,regiona,0.684,saharan,0.721,reillon,0.769,alagi,0.494,grammos,0.536
17,structure,0.396,wondring,0.37,flowr,0.415,solitude,0.447,furface,0.45,firmament,0.445,peopled,0.516,farwest,0.683,valleys,0.681,cordilleras,0.721,argonnes,0.768,caucasus,0.489,zaghouan,0.535
18,imagination,0.396,planet,0.37,defolation,0.414,wandring,0.446,blafts,0.45,semicircle,0.443,whirlpools,0.516,wildernesses,0.683,ramification,0.677,mountains,0.72,soissons,0.768,ogaden,0.487,sectors,0.534
19,awful,0.393,orbs,0.369,ftream,0.414,fhores,0.446,earth,0.45,elevates,0.443,unexplored,0.512,regioni,0.68,outcropping,0.677,stretches,0.72,oise,0.762,gorahai,0.486,northwestern,0.532
20,bosom,0.391,celestial,0.368,ipread,0.413,ftreams,0.445,hemifphere,0.448,soaring,0.441,zone,0.512,sierras,0.68,treeless,0.673,luapula,0.718,moronvillers,0.761,valleys,0.486,palatinate,0.532
21,meteor,0.391,enchanting,0.368,ftars,0.413,peaceful,0.443,craggy,0.447,radiance,0.44,cordilleras,0.511,himalayas,0.679,tablelands,0.672,arabah,0.715,smorgon,0.761,kaifeng,0.485,velikiluki,0.532
22,meteors,0.391,defarts,0.367,yonder,0.409,clime,0.438,elyfium,0.443,orbits,0.439,steppes,0.51,hyperborean,0.677,watershed,0.67,nepoko,0.714,argonno,0.761,kattowitz,0.485,stanislavov,0.529
23,midst,0.39,remotest,0.367,remote,0.408,vallies,0.437,gloom,0.442,tribes,0.438,climes,0.509,continents,0.676,depressions,0.67,rogions,0.712,flirey,0.761,watersheds,0.484,shepetovka,0.529
24,nonsense,0.39,goddess,0.366,piercing,0.406,fhade,0.436,fireams,0.442,sadness,0.438,desarts,0.504,solitudes,0.674,interspace,0.67,lukuga,0.712,apremont,0.759,saar,0.484,borisov,0.529
25,fruitful,0.389,element,0.365,thirft,0.403,awakes,0.436,piercing,0.441,inequalities,0.436,abysses,0.503,tableland,0.671,yellowstone,0.669,regiona,0.711,berryaubac,0.759,petsamo,0.483,lisichansk,0.529
26,gladness,0.388,footsteps,0.364,fpring,0.402,earthly,0.436,gleams,0.441,zone,0.434,ocean,0.5,girdling,0.67,mountaius,0.666,kagera,0.711,krevo,0.758,dniester,0.48,podolsk,0.529
27,hideous,0.388,firmament,0.363,source,0.402,phantoms,0.436,defarts,0.44,pulses,0.433,plains,0.499,valleys,0.669,seabottom,0.666,unexplored,0.711,lombaertzyde,0.756,roughly,0.48,peloponnese,0.527
28,shades,0.388,remoter,0.361,glories,0.399,dreary,0.435,phere,0.44,warmd,0.433,sternum,0.498,tainous,0.668,taganyika,0.665,rgion,0.71,vermand,0.754,peninsula,0.48,amersfoort,0.526
29,pleafing,0.386,rays,0.36,dreads,0.399,gloom,0.43,ftream,0.44,exploring,0.431,terrestrial,0.496,primaeval,0.667,ricefields,0.665,plateau,0.703,pontamousson,0.753,tembien,0.48,skaya,0.52
30,heavn,0.385,orbit,0.36,ittelf,0.397,ftrife,0.43,snatchd,0.439,remote,0.431,oceans,0.496,prairies,0.666,effluents,0.664,hoangho,0.7,lihons,0.753,pirmasens,0.479,fastov,0.52
31,diflant,0.385,atoms,0.36,horrors,0.395,clouds,0.43,desarts,0.438,shuddering,0.43,hemis,0.495,reions,0.661,morasses,0.664,mountainous,0.7,illukst,0.752,sidamo,0.479,southwes,0.519
