,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,kingdom,0.68,kingdom,0.525,realms,0.52,kingdom,0.51,laws,0.505,realn,0.639,rcalm,0.718,realms,0.544,realm—,0.684,realmn,0.844,realmn,0.798,realm—,0.79,kealm,0.732,domain,0.549,sphere,0.51
1,laws,0.666,fundamental,0.433,kingdom,0.495,kngdom,0.466,kingdom,0.486,naturalborn,0.542,realmn,0.711,prerogative,0.469,realmn,0.662,realm—,0.818,realma,0.726,realmn,0.778,bealm,0.695,realms,0.538,patrimony,0.484
2,subjects,0.657,rightful,0.422,laws,0.44,kirgdom,0.458,lawvs,0.447,kingdom,0.527,realn,0.528,coinage,0.456,realn,0.592,realmi,0.752,realm—,0.72,realms,0.737,reaim,0.67,image,0.48,resurgent,0.448
3,nation,0.617,dignities,0.421,liberties,0.432,statutes,0.443,statutes,0.445,jurifdidtion,0.495,realin,0.497,protectant,0.432,realms,0.547,realma,0.73,realmi,0.72,omnipotent,0.709,efence,0.589,ethics,0.478,bravado,0.443
4,government,0.605,dominion,0.414,dom,0.425,lavs,0.443,prerogative,0.43,laws,0.492,kingdom,0.495,monarchy,0.432,queenconsort,0.514,realin,0.711,prerogatives,0.71,realma,0.704,jefence,0.584,philanthropy,0.467,jurisprudence,0.441
5,title,0.592,dom,0.402,title,0.423,ringdom,0.442,liws,0.429,dom,0.488,naturalborn,0.492,ordinances,0.431,prerogatives,0.514,realme,0.695,feudal,0.691,omnipotence,0.702,jjefence,0.565,ambit,0.464,dartagnan,0.439
6,protestant,0.577,enjoy,0.395,invaders,0.415,dom,0.432,lawa,0.424,itatutes,0.485,prerogative,0.469,therights,0.43,realin,0.512,violability,0.668,realms,0.681,world—that,0.697,defence,0.549,potency,0.462,ukase,0.437
7,countries,0.545,laws,0.391,elective,0.412,realms,0.432,jurif,0.406,jurifdidion,0.482,monwealth,0.468,legal,0.429,realme,0.491,spiritualty,0.664,feudalism,0.669,prerogatives,0.692,jqefence,0.526,prerogative,0.456,kingship,0.437
8,ancient,0.543,dominions,0.384,rights,0.394,laws,0.428,kingdomn,0.404,ftatutes,0.473,ingdom,0.463,temporal,0.425,prerogative,0.473,prerogatives,0.663,crownthat,0.659,inheritances,0.691,act,0.512,elizabethans,0.454,cottonopolis,0.437
9,power,0.534,inheritance,0.383,prerogative,0.392,ingdom,0.424,kingdomi,0.4,treafon,0.473,prerogatives,0.459,commonwealth,0.424,law—and,0.467,imprescriptible,0.657,sovereignty,0.659,kingship,0.688,traventions,0.46,comprehension,0.45,realms,0.435
