,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,limits,0.517,extent,0.603,limits,0.642,boundary,0.62,daries,0.684,daries,0.705,bounda,0.773,bouudaries,0.87,boandaries,0.865,boun,0.68,daries,0.814,daries,0.855
1,extent,0.492,empires,0.58,boundary,0.538,limits,0.608,boundary,0.61,boun,0.687,daries,0.759,boundarie,0.858,boundarie,0.864,daries,0.664,boun,0.807,boun,0.777
2,bounds,0.462,limits,0.57,bounds,0.528,daries,0.551,bounda,0.595,bounda,0.668,boundary,0.747,bonndaries,0.845,bouudaries,0.855,offerers,0.643,offerer,0.602,offerer,0.614
3,jurifdiaion,0.454,lakes,0.521,extent,0.522,bounda,0.537,perambulate,0.581,boundary,0.653,boun,0.712,boundariea,0.838,bonndaries,0.855,offerer,0.583,offerers,0.586,offerers,0.604
4,jurif,0.438,provinces,0.496,provinces,0.512,extent,0.535,boun,0.577,limits,0.549,boundar,0.691,bounderies,0.809,boundariea,0.836,boundary,0.566,boundary,0.557,timeous,0.541
5,jurifdiion,0.43,situation,0.481,empires,0.5,territory,0.526,peram,0.528,metes,0.498,bounidaries,0.671,boandaries,0.8,houndaries,0.829,balquhain,0.517,boundarv,0.551,condition®,0.515
6,jurisdiction,0.403,principalities,0.481,rivers,0.478,diftridts,0.515,limits,0.504,bounds,0.48,limits,0.643,boundary,0.786,boundariee,0.818,tertowie,0.482,timeous,0.548,inquirers,0.5
7,dependencies,0.396,rivers,0.466,territory,0.472,territories,0.504,landsand,0.489,jurisdictions,0.473,houndary,0.639,bounda,0.782,boundares,0.815,foudland,0.477,bounda,0.524,boundary,0.487
8,tlement,0.396,rivera,0.463,curiolities,0.471,limnits,0.502,perambulated,0.469,jurisdiction,0.458,boundarv,0.637,boundarles,0.776,boundarv,0.811,offerees,0.474,boundar,0.517,doint,0.447
9,rivets,0.395,lilands,0.461,acadia,0.471,bounds,0.496,longitudes,0.466,territories,0.45,bouudary,0.633,bounidaries,0.765,boondaries,0.809,stranduff,0.473,lawgavin,0.492,ooint,0.432
10,pendency,0.389,fortreffes,0.46,republics,0.469,provinces,0.495,groundofficer,0.45,limnits,0.435,umits,0.632,boundarics,0.754,boundries,0.793,timeous,0.47,offeror,0.468,steadings,0.42
11,situation,0.378,citics,0.458,equator,0.465,diftrias,0.493,lanus,0.44,boroughs,0.435,boundaiy,0.622,daries,0.744,boundarics,0.785,coterminous,0.469,lettine,0.438,point,0.401
12,tuate,0.378,situa,0.454,promontories,0.464,frontier,0.482,grounds,0.44,risdiction,0.435,seacoast,0.617,boun,0.74,boundary,0.781,craigieford,0.468,druminnor,0.436,noint,0.4
13,dominion,0.376,countries,0.448,countries,0.461,jurif,0.482,perambulation,0.436,precincts,0.433,limitsof,0.61,boandary,0.739,bouudary,0.775,bouudary,0.467,delimitation,0.429,arabie,0.392
