,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,mobilization,0.961,mobilization,0.972,mobilization,0.976,mobilisa,0.814,mobilisa,0.789,mobilisa,0.741
1,mobilising,0.815,mobilisa,0.875,mobilisa,0.919,mobilization,0.796,mobilise,0.65,mobilising,0.635
2,disarmament,0.812,mobilising,0.83,rearmament,0.87,mobilising,0.745,mobilised,0.647,mobilised,0.607
3,mobilise,0.783,demobilisation,0.816,mobilising,0.864,mobilise,0.727,militarisation,0.63,liberation,0.556
4,mobilize,0.763,disbanding,0.814,mnobilisation,0.847,demobilisation,0.723,conscription,0.628,preparedness,0.554
5,disbanding,0.761,recruitment,0.809,mohilisation,0.834,mobilised,0.722,evacua,0.622,reorganisation,0.549
6,recruitment,0.759,disbandment,0.805,mobili,0.833,mobili,0.7,effectives,0.622,conscrip,0.549
7,schleswigllolstein,0.756,mobiliza,0.798,rearming,0.832,mobi,0.677,evacuation,0.62,callup,0.543
8,reorganisation,0.753,reorganisation,0.793,inobilisation,0.829,demobilisa,0.649,troops,0.619,mobi,0.542
9,darmce,0.744,cadres,0.791,mobilised,0.828,mobilize,0.617,reservists,0.617,conscription,0.541
10,schleswigholstein,0.741,mobili,0.789,expeditionary,0.812,disarmament,0.613,hostilities,0.617,conscripting,0.54
11,landwehr,0.74,mobilised,0.788,mobilisatiou,0.809,disbandment,0.613,mobilising,0.611,deployment,0.538
12,disarma,0.736,disarmament,0.786,mobilized,0.808,reorganisation,0.607,reichswehr,0.607,purge,0.535
13,piedmontese,0.735,mobilizing,0.782,manoeuvres,0.801,evacuation,0.602,rearmament,0.606,nazification,0.534
14,reorganization,0.733,army,0.78,mobilise,0.8,disbanding,0.589,mobili,0.595,redeployment,0.531
15,darm6e,0.728,landwehr,0.778,mobiliza,0.8,mobilis,0.589,reinforcements,0.594,lisation,0.529
16,darmee,0.728,evacuation,0.775,reinforcing,0.799,revictualling,0.581,reoccupation,0.592,mobilise,0.525
17,darmie,0.727,evaouation,0.773,demobilisation,0.786,provisioning,0.578,preparedness,0.582,capitulation,0.523
18,sonderbund,0.725,landwebr,0.772,officering,0.786,gendarmerie,0.576,conscripts,0.578,conscripts,0.521
19,mobilised,0.719,mobilise,0.769,disbandment,0.783,regrouping,0.567,withdrawal,0.576,demobilisation,0.52
20,evacuation,0.716,localisation,0.767,mancenvres,0.781,lisation,0.567,repatriation,0.57,disarma,0.52
21,federal,0.715,demobilization,0.763,manceuvres,0.781,manoeuvres,0.559,manpower,0.568,speedup,0.516
22,stadtholderate,0.714,revictualling,0.761,demobilization,0.779,austrogerman,0.559,rearming,0.566,disarmament,0.516
23,picdmontese,0.712,landsturm,0.758,mobilize,0.776,disembarkation,0.559,abyssinian,0.566,demobilisa,0.515
24,principalities,0.711,darmee,0.757,mobilizing,0.772,reinforce,0.559,forces,0.565,cessation,0.514
25,warfooting,0.71,armv,0.755,mameuvres,0.77,rearmament,0.558,capitulation,0.561,armaments,0.513
26,definitive,0.71,mobilized,0.754,mobilis,0.769,armies,0.558,conscrip,0.561,cadres,0.507
27,austroprussian,0.708,austroprussian,0.751,nianceuvres,0.767,sarrail,0.557,rearma,0.561,invasion,0.507
28,piedmontcse,0.706,expeditionary,0.747,brigading,0.767,reinforcements,0.556,callingup,0.56,manpower,0.505
29,rastadt,0.705,armament,0.743,manocuvres,0.766,armistice,0.555,concentration,0.558,repatriation,0.504
30,mobilized,0.704,laudwehr,0.742,manueuvres,0.766,mobilized,0.555,disbandment,0.558,antiinvasion,0.503
31,electorate,0.701,mobilize,0.742,manmcuvres,0.764,demobilising,0.554,mobi,0.558,militarised,0.501
32,armistice,0.699,servian,0.74,disembarkation,0.763,disembodiment,0.554,voroshiloff,0.556,speedingup,0.5
