,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,inheritance,0.496,ellate,0.701,estare,0.827,freehold,0.685,esrate,0.804,estare,0.843,fstate,0.894,fstate,0.9,estste,0.913,estata,0.929,estata,0.935,eetate,0.84,estato,0.872,fstate,0.803
1,annum,0.49,eftate,0.698,eftate,0.752,improveable,0.659,estrate,0.799,estaie,0.839,esiate,0.856,esiate,0.873,estato,0.911,eitate,0.928,estato,0.926,estato,0.835,estat,0.841,esiate,0.746
2,creditors,0.482,eltate,0.678,eflate,0.752,inheritance,0.658,freehold,0.784,esrate,0.839,etate,0.854,eslate,0.862,estaie,0.9,fstate,0.925,e3tate,0.917,estat,0.82,estata,0.83,estat,0.745
3,eftate,0.445,eflate,0.629,eltate,0.749,copyhold,0.642,estatf,0.773,esiate,0.833,estaie,0.85,estaie,0.862,esiate,0.9,estato,0.922,eatate,0.915,estaie,0.796,fstate,0.824,esute,0.744
4,debts,0.436,estates,0.549,ellate,0.749,fituatc,0.617,estat,0.767,estatei,0.832,kstate,0.836,estale,0.857,eatate,0.899,estite,0.915,estite,0.914,ebtate,0.795,eetate,0.817,estae,0.741
5,dividend,0.429,assignment,0.511,eftare,0.743,mefluage,0.604,leasehold,0.759,estatre,0.821,estae,0.826,kstate,0.855,eitate,0.889,ertate,0.914,estste,0.914,fstate,0.787,estaie,0.812,eatate,0.736
6,estates,0.414,freehold,0.494,efiate,0.732,situate,0.593,copyhold,0.758,estatie,0.82,estare,0.826,lstate,0.838,esute,0.881,eatate,0.913,esiate,0.912,esiate,0.782,esiate,0.784,sstate,0.715
7,personal,0.401,possessions,0.467,effate,0.728,eftatc,0.589,estatre,0.753,estat,0.815,esate,0.825,estae,0.813,estite,0.877,ettate,0.912,ettate,0.906,estati,0.776,estale,0.771,estaie,0.705
8,profits,0.399,annum,0.466,eflare,0.724,eftate,0.588,estare,0.748,esate,0.814,estat,0.824,estat,0.81,ebtate,0.872,eetate,0.907,eitate,0.905,eatate,0.774,lstate,0.768,esate,0.704
9,disposal,0.398,reversion,0.465,efate,0.703,manor,0.583,esta,0.739,estrate,0.809,lstate,0.823,esate,0.805,kstate,0.871,estaie,0.905,ebtate,0.899,estats,0.774,ebtate,0.76,kstate,0.7
10,lands,0.394,heiress,0.445,eitate,0.702,mefluages,0.579,reehold,0.736,estatf,0.808,eitate,0.81,estato,0.802,estete,0.864,esiate,0.903,eetate,0.898,e3tate,0.766,estatf,0.755,estato,0.681
11,forfeiture,0.387,inheritance,0.44,eliate,0.699,firuate,0.577,afreehold,0.732,freehold,0.787,estale,0.806,eitate,0.795,eetate,0.861,estste,0.901,estnte,0.895,eitate,0.763,estae,0.753,estau,0.673
12,pension,0.38,creditors,0.436,eftatc,0.689,leafehold,0.568,freeiold,0.73,lestate,0.785,estite,0.792,eatate,0.795,eslate,0.86,estnte,0.9,estaie,0.892,ertate,0.752,estats,0.75,bstate,0.663
13,debt,0.37,lincolnshire,0.436,eilate,0.677,lituate,0.565,freehiold,0.727,estati,0.785,esrate,0.789,eistate,0.787,e3tate,0.857,estote,0.899,ertate,0.884,esute,0.749,eatate,0.748,estatf,0.657
14,fortune,0.366,sister,0.434,eftace,0.674,fituate,0.556,frehold,0.726,estiate,0.779,eslate,0.786,estatei,0.785,estata,0.855,estete,0.897,estale,0.883,estata,0.746,bstate,0.747,tstate,0.651
15,decease,0.365,bankrupt,0.433,ettate,0.673,farm,0.553,freeihold,0.726,fstate,0.777,esfate,0.783,esute,0.784,estale,0.854,esute,0.896,estats,0.881,instate,0.74,esute,0.747,estats,0.64
16,pasture,0.36,executor,0.43,eltare,0.661,eitate,0.553,preehold,0.723,iestate,0.775,estatc,0.775,estnte,0.782,bstate,0.851,e3tate,0.893,estute,0.876,bstate,0.737,estatp,0.743,estati,0.636
17,deceased,0.36,4001,0.428,efltate,0.651,clofes,0.547,leafehold,0.72,estae,0.774,estte,0.772,iestate,0.779,estote,0.85,eftate,0.89,esttte,0.875,eotate,0.73,kstate,0.74,etate,0.59
