,en_1720,en_1720_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,difcufs,0.629,discussion,0.705,discussing,0.671,discussing,0.689,disouss,0.86,disouss,0.921,disouss,0.935,disouss,0.791,disouss,0.752,cuss,0.701
1,discussed,0.577,discussing,0.692,difcufs,0.622,discussed,0.65,dicuss,0.848,diecuss,0.89,diacuss,0.891,consider,0.729,discussed,0.726,discussed,0.691
2,difcufsd,0.567,discussed,0.689,discussed,0.617,argue,0.591,diseuss,0.839,dicuss,0.889,discnss,0.888,discues,0.712,discussing,0.705,discussing,0.685
3,difcuffed,0.513,question,0.677,discussion,0.614,decide,0.58,rediscuss,0.794,discusa,0.875,discusa,0.888,oonsider,0.704,consider,0.684,reexamine,0.641
4,consider,0.494,investigate,0.646,investigate,0.606,cussing,0.579,discues,0.791,disenss,0.87,diseuss,0.885,disenss,0.697,cuss,0.661,cussed,0.625
5,referr,0.485,difcufs,0.645,legislate,0.598,discussion,0.569,disenss,0.788,discuas,0.866,dicuss,0.884,discussed,0.693,cussed,0.635,formulate,0.624
6,controversy,0.482,discus,0.642,discus,0.587,debated,0.558,todiscuss,0.779,discnss,0.862,diecuss,0.882,discuas,0.681,conference,0.615,cussing,0.613
7,considerd,0.48,cussion,0.639,prejudge,0.572,consider,0.555,propound,0.769,diseuss,0.856,disenss,0.873,dicuss,0.679,cussing,0.615,decide,0.611
8,censur,0.478,propose,0.624,discussions,0.571,propound,0.553,legislate,0.759,discues,0.842,discuas,0.871,discussing,0.679,sider,0.613,discussions,0.609
9,considers,0.477,consider,0.605,decide,0.568,legislate,0.544,discussing,0.733,diacuss,0.839,disonss,0.855,diseuss,0.665,formulate,0.613,reconsider,0.603
10,compriz,0.477,oppose,0.602,question,0.559,determine,0.539,decide,0.731,todiscuss,0.835,discues,0.855,diecuss,0.664,reconsider,0.61,confer,0.59
11,propos,0.468,suggest,0.594,discission,0.555,explain,0.53,discussed,0.719,discass,0.804,dscuss,0.84,cuss,0.639,oonsider,0.603,conferences,0.589
12,discussion,0.464,subjet,0.594,consider,0.554,prejudge,0.53,diecuss,0.715,discussthe,0.798,todiscuss,0.834,discusa,0.638,discussions,0.6,investigate,0.582
13,determin,0.462,decision,0.593,discusion,0.546,cussed,0.527,dicussed,0.707,dscuss,0.779,discass,0.822,formulate,0.63,question,0.599,debated,0.57
14,adjust,0.461,proposition,0.592,cussion,0.544,investigate,0.524,consider,0.707,discuse,0.776,rediscuss,0.816,cussed,0.621,discusscd,0.592,conference,0.569
15,adjusted,0.455,because,0.589,dispassionately,0.536,discused,0.52,toconsider,0.694,liscuss,0.774,disciss,0.804,sider,0.615,ratify,0.59,ratify,0.564
16,examin,0.454,subje6t,0.585,concede,0.536,advert,0.518,considerthe,0.694,formulate,0.764,considerthe,0.792,decide,0.609,explain,0.586,consider,0.556
17,dispute,0.453,discussions,0.585,agitate,0.531,reconsider,0.516,discuse,0.687,legislate,0.761,liscuss,0.792,cussing,0.594,confer,0.586,talks,0.553
18,debated,0.447,questions,0.584,cussing,0.523,question,0.516,cousider,0.687,discuis,0.756,consider,0.792,conferenoe,0.591,convene,0.585,explore,0.552
19,conlider,0.447,speak,0.584,criticise,0.521,dispassionately,0.515,argue,0.686,discuiss,0.752,cousider,0.786,reconsider,0.59,decide,0.583,delegation,0.552
20,reconcil,0.445,proposed,0.581,disavow,0.52,grapple,0.509,reargue,0.685,iscuss,0.752,disuss,0.785,disoussed,0.585,ques,0.58,cussions,0.546
21,explain,0.444,seriously,0.58,scrutinize,0.52,criticise,0.507,reconsider,0.68,consider,0.751,discuse,0.78,discus,0.581,collaborate,0.575,initiate,0.543
22,disputed,0.443,simply,0.573,cousider,0.518,examine,0.507,concede,0.678,discussed,0.743,discuiss,0.775,toconsider,0.58,roundtable,0.573,vestigate,0.539
23,alledg,0.443,submit,0.573,examine,0.518,toconsider,0.504,dogmatize,0.674,rediscuss,0.741,discuis,0.774,conference,0.58,reexamine,0.571,prejudge,0.537
24,subject,0.442,thequestion,0.572,argue,0.517,meddle,0.502,eonsider,0.673,cousider,0.733,discuts,0.77,ooneider,0.579,conferenoe,0.568,coordinate,0.536
25,discoursed,0.442,insist,0.572,qustion,0.516,cousider,0.498,udopt,0.671,decide,0.733,formulate,0.77,dictate,0.576,auestion,0.566,defer,0.535
26,observ,0.437,subjeat,0.571,dicussion,0.513,concede,0.498,agitate,0.67,discussing,0.731,discussthe,0.767,debated,0.572,investigate,0.564,counterproposals,0.534
27,relolv,0.437,conisider,0.571,submnit,0.513,bringforward,0.495,decido,0.669,argue,0.731,oonsider,0.764,explain,0.569,vestigate,0.563,sider,0.534
28,cxplain,0.434,cussed,0.569,cussed,0.512,controvert,0.494,prejudge,0.666,considerthe,0.727,discuaa,0.764,meet,0.568,conferences,0.563,proposals,0.53
29,involv,0.433,considei,0.565,interfere,0.511,censider,0.49,reject,0.664,discoss,0.725,explain,0.764,oonference,0.567,agree,0.561,clarify,0.53
30,decision,0.432,dispute,0.564,animadvert,0.511,expatiate,0.488,determine,0.664,disuss,0.724,decide,0.757,roundtable,0.563,formulating,0.559,elucidate,0.527
31,prov,0.432,precise,0.564,acquiesce,0.51,thequestion,0.487,expound,0.659,discss,0.723,discusss,0.754,investigate,0.562,oonference,0.558,nego,0.527
32,blish,0.431,suppose,0.563,toconsider,0.508,momentous,0.487,qnestion,0.657,reconsider,0.718,diacuaa,0.753,discu,0.562,confcrence,0.558,delegations,0.527
33,commissaries,0.431,existing,0.563,submit,0.507,discus,0.487,question,0.656,propound,0.718,reconsider,0.752,criticise,0.56,arbitrate,0.557,negotiations,0.524
34,obscrv,0.43,acquiesce,0.562,vestigate,0.507,animadvert,0.487,dccide,0.656,epuestion,0.715,discess,0.75,question,0.559,determine,0.554,deputa,0.524
35,points,0.43,distrust,0.561,consult,0.506,dilate,0.484,adopt,0.656,discnssed,0.711,toconsider,0.743,discuseed,0.558,negotiations,0.551,regarding,0.523
36,resolv,0.427,justify,0.559,deliberate,0.505,deeide,0.483,coneider,0.655,initiate,0.708,dliscuss,0.742,oonferenoe,0.555,conferenco,0.55,roundtable,0.52
37,ssiew,0.426,disprove,0.557,reconsider,0.505,descant,0.482,debated,0.654,decido,0.708,criticise,0.741,determine,0.554,discissions,0.545,negotiate,0.519
38,establilh,0.425,trusted,0.557,subjet,0.503,discussions,0.482,acquiese,0.652,dliscuss,0.707,sider,0.74,confer,0.553,confercnce,0.545,deputation,0.519
39,stiew,0.425,disclosed,0.554,deciding,0.503,mooted,0.478,gislate,0.652,dealwith,0.707,iscuss,0.739,ratify,0.552,debated,0.545,intervene,0.519
40,considered,0.425,considler,0.553,pursue,0.503,debateable,0.477,discuiss,0.65,sider,0.706,diacuas,0.739,conider,0.549,discused,0.545,concerning,0.519
41,expos,0.424,rescind,0.552,constitutionally,0.503,onsider,0.476,juestion,0.649,corsider,0.705,discussing,0.738,conlerence,0.548,informally,0.541,explain,0.518
42,proposition,0.423,subjeft,0.552,eonsider,0.502,adopt,0.476,discused,0.648,coasider,0.704,censider,0.724,onsider,0.547,conversations,0.541,determine,0.517
43,assair,0.423,assert,0.551,remonstrate,0.501,gislate,0.475,auestion,0.648,disoussed,0.7,recousider,0.724,conferences,0.547,discusses,0.54,cooperate,0.516
44,ffiou,0.422,professed,0.55,redress,0.501,diseussed,0.475,thequestion,0.647,ccnsider,0.697,considor,0.723,discused,0.545,criticise,0.538,define,0.515
45,finissi,0.421,exist,0.548,proposition,0.501,considet,0.474,mooted,0.647,explain,0.697,onsider,0.722,define,0.545,reconsidering,0.538,discussion,0.514
46,canvass,0.419,pioposed,0.548,questiou,0.498,questiots,0.474,queetion,0.645,oonsidor,0.694,discusaing,0.722,cousider,0.544,questions,0.537,agenda,0.512
47,demonstrate,0.417,difeufs,0.548,speak,0.498,debating,0.474,explain,0.642,decidc,0.693,coasider,0.722,auestion,0.539,toconsider,0.537,question,0.512
48,justify,0.417,qucstion,0.548,discu,0.495,tospeak,0.472,discusse,0.641,consieler,0.692,argue,0.722,oonider,0.537,clarify,0.536,delega,0.512
49,remonstrate,0.416,opposed,0.547,questiont,0.494,quetion,0.472,promulgate,0.64,recousider,0.692,conaider,0.72,discussion,0.537,define,0.535,negotia,0.507
50,prehx,0.416,considered,0.547,ques,0.494,discusion,0.472,discussion,0.64,question,0.691,torefer,0.72,considei,0.536,intervene,0.535,approve,0.505
51,compar,0.413,questioni,0.546,confuse,0.494,discission,0.472,considsr,0.639,epiestion,0.691,eonsider,0.719,nuestion,0.536,cooperate,0.534,discusses,0.505
52,assum,0.413,resist,0.542,consideration,0.492,expound,0.472,enterupon,0.638,coneider,0.691,disoussing,0.718,discusscd,0.535,convoke,0.533,consulta,0.505
53,refolv,0.412,questionl,0.542,aquestion,0.492,interfere,0.472,initiate,0.637,determine,0.691,discassing,0.716,arbitrate,0.535,tiations,0.533,postpone,0.505
54,embarrass,0.411,legislative,0.541,define,0.491,diseussion,0.472,lecide,0.637,toconsider,0.69,initiate,0.714,discuesed,0.534,delegate,0.532,ques,0.504
55,asserted,0.411,questio,0.541,considering,0.491,discussiou,0.469,questionas,0.635,critioise,0.689,discoss,0.714,confcrence,0.534,00operate,0.531,broached,0.502
56,satisfy,0.41,asserted,0.541,constitutional,0.49,considler,0.469,debating,0.634,couference,0.689,discss,0.714,regard,0.533,denounce,0.53,examine,0.501
