,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,civill,0.587,protestant,0.702,vernment,0.647,govern,0.71,vernment,0.783,govern,0.713,vernment,0.767,govcrnment,0.794,vernment,0.79,governmeut,0.827,governmeut,0.95,governmeut,0.951,governmeut,0.96,ernment,0.801,ernment,0.857,ernment,0.861
1,state,0.564,sacred,0.696,govern,0.601,vernment,0.702,governmenr,0.744,vernment,0.701,govern,0.76,governmcnt,0.782,govern,0.765,goverment,0.825,goverument,0.938,uovernment,0.939,gevernment,0.943,govern,0.799,govern,0.833,govern,0.818
2,ancient,0.537,religion,0.642,subversion,0.553,administration,0.6,govern,0.739,governmenr,0.681,governmcnt,0.719,govern,0.748,governmnent,0.744,vernment,0.804,goverment,0.926,oovernment,0.938,governmont,0.939,jovernment,0.759,vernment,0.802,gov,0.8
3,rule,0.533,subjects,0.627,esta,0.541,governmenr,0.565,governmenc,0.723,govcrnment,0.665,govcrnment,0.713,goverment,0.742,governiment,0.736,goverument,0.785,gevernment,0.906,gevernment,0.932,govornment,0.938,iovernment,0.758,governments,0.769,governmen,0.702
4,divine,0.512,realm,0.605,governments,0.526,governments,0.486,goverment,0.642,governmnent,0.654,governmnent,0.673,governmnent,0.734,governnment,0.733,governiment,0.783,jovernment,0.906,qovernment,0.927,governmeat,0.935,gorernment,0.743,governmen,0.766,governments,0.69
5,clergy,0.512,kingdom,0.565,monarchy,0.52,sacred,0.47,governmcnt,0.626,covernment,0.632,governiment,0.668,goveinment,0.727,governmient,0.731,governmnent,0.776,gorernment,0.905,goverument,0.927,gcvernment,0.935,governmen,0.741,oovernment,0.756,ernments,0.689
6,laws,0.51,laws,0.557,established,0.514,subvert,0.464,governments,0.621,governmcnt,0.625,governments,0.665,governiment,0.719,governrment,0.724,governmeat,0.771,goverament,0.905,jovernment,0.926,goverument,0.933,vernment,0.735,iovernment,0.747,covernment,0.625
7,commonwealth,0.509,ancient,0.525,successors,0.474,establishment,0.463,govcrnment,0.615,governments,0.517,governmenr,0.665,vernment,0.717,govcrnment,0.714,iovernment,0.769,governmeat,0.9,govemment,0.923,uovernment,0.932,oovernment,0.725,jovernment,0.746,authorities,0.613
8,realme,0.508,designs,0.517,subvert,0.473,esta,0.457,governmen,0.585,adminiftration,0.513,goverment,0.643,governmenr,0.715,goverment,0.714,gorernment,0.765,covernment,0.896,iovernment,0.92,govermnent,0.931,overnment,0.682,ernments,0.727,administration,0.586
9,kingdome,0.499,horrid,0.495,prerogative,0.47,libertys,0.452,governmnent,0.577,religion,0.475,monarchical,0.639,governnient,0.707,governnient,0.71,goverinment,0.762,oovernment,0.886,governmeat,0.92,goveinment,0.929,covernment,0.68,goernment,0.724,governm,0.572
10,yea,0.492,popish,0.477,establishment,0.458,ministry,0.45,vernments,0.524,monarchy,0.463,goveinment,0.639,covernment,0.704,governnent,0.708,govermnent,0.76,rovernment,0.885,goverament,0.919,goverament,0.928,govornment,0.68,uovernment,0.723,goverment,0.572
11,kingdom,0.476,enemies,0.472,constitution,0.456,disaffection,0.448,administration,0.524,cuffoms,0.462,vernmcnt,0.63,governmient,0.696,governmen,0.706,gevernment,0.757,governnent,0.884,covernment,0.919,governmeit,0.927,•government,0.678,governmeut,0.706,vernment,0.571
