,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,shrubs,0.571,kilning,0.517,plants,0.471,cultivation,0.707,agri,0.692,agriculture,0.7,agriculture,0.69,cultivation,0.838,cnlture,0.904,cnlture,0.909,oulture,0.718,culture—,0.602,agri,0.561
1,pruning,0.47,flowering,0.49,planting,0.464,cultivating,0.613,agriculture,0.676,agri,0.64,cultivation,0.661,tivation,0.821,culturo,0.863,oulture,0.901,cultur,0.599,culturists,0.577,agriculture,0.551
2,fruittrees,0.443,planting,0.478,manufactures,0.461,agriculture,0.612,cultivation,0.645,cultivation,0.631,tivation,0.632,eulture,0.818,oulture,0.859,cultare,0.89,agriculture,0.595,agri,0.57,cultures,0.524
3,planting,0.439,plants,0.468,management,0.445,cultiva,0.61,planting,0.601,agricul,0.591,culti,0.631,culture—,0.8,cultnre,0.849,calture,0.882,horticulture,0.588,culturist,0.545,agricul,0.513
4,cultivating,0.427,timbertrees,0.46,production,0.436,planting,0.609,agricul,0.591,culti,0.571,cultivating,0.626,cultivationof,0.799,cultuie,0.846,cultnre,0.875,cultivation,0.585,cultures,0.545,beauty,0.507
5,plants,0.423,pruning,0.46,vegetation,0.431,agri,0.604,agriculturc,0.586,cultivating,0.569,agricultuie,0.61,cultiva,0.795,cultare,0.82,eulture,0.863,tivation,0.583,agriculture,0.542,cultural,0.487
6,improvements,0.413,cultivating,0.454,flowers,0.428,culti,0.577,tivation,0.569,tivation,0.55,cultiva,0.606,culti,0.794,eulture,0.814,culturo,0.857,agri,0.583,ulture,0.534,culturist,0.465
7,trees,0.397,exotick,0.444,growth,0.419,herbaceous,0.572,cultivating,0.554,cultivated,0.548,horticulture,0.602,calture,0.792,cultivation,0.783,cultuie,0.846,culture—,0.582,cultivation,0.528,creative,0.453
8,adorning,0.395,flowergarden,0.444,manufaftures,0.412,lucerne,0.562,cultiva,0.551,cultiva,0.539,cultivated,0.588,cutivation,0.778,calture,0.774,cuiture,0.843,physical,0.577,tivation,0.524,horticulture,0.452
9,geometrical,0.392,manuring,0.442,trees,0.405,tivation,0.559,culti,0.535,experimental,0.53,tivated,0.585,agricultuie,0.776,culture—,0.755,cnltnre,0.833,ulture,0.564,apiculture,0.52,architec,0.449
10,propagating,0.384,trees,0.435,reptiles,0.404,products,0.558,cultural,0.528,planting,0.53,planting,0.579,cnltivation,0.764,cultur,0.75,cultur,0.809,agrioulture,0.543,cultur,0.51,horti,0.449
11,rhymes,0.382,kitchengarden,0.433,manufaaures,0.403,nufactures,0.543,agricultural,0.518,horticulture,0.527,tivators,0.577,caltivation,0.759,cultures,0.747,floriculture,0.785,apiculture,0.536,horticulture,0.509,horticul,0.448
12,creams,0.372,propagating,0.432,fowing,0.401,fowing,0.543,turnips,0.518,improvement,0.521,agri,0.569,agricultnre,0.746,levelopment,0.741,cultue,0.784,sylviculture,0.528,physical,0.508,religion,0.447
13,stewing,0.369,growth,0.431,tillage,0.4,cultivated,0.535,vegetation,0.515,manures,0.514,gardening,0.563,agriculture,0.744,clture,0.739,cilture,0.78,naturestudy,0.528,agriculturo,0.507,civilisation,0.445
14,bandages,0.369,fruit,0.43,produ,0.396,manufaftures,0.528,manufadures,0.508,crops,0.507,productiveness,0.554,agriculturo,0.739,tivation,0.738,colture,0.775,pnysical,0.523,cultural,0.497,industry,0.445
15,greens,0.368,cultivation,0.43,plant,0.394,manufactures,0.523,tillage,0.503,productiveness,0.507,leguminous,0.551,cultivat,0.735,pomology,0.73,arboriculture,0.774,arboriculture,0.52,agricuture,0.496,litera,0.441
16,surveying,0.366,vegetation,0.421,manufa,0.387,turnips,0.518,cultivat,0.495,transplanting,0.506,ulture,0.55,coltivation,0.734,caltivation,0.727,cultore,0.766,cultures,0.517,agricultuie,0.496,lectual,0.434
17,plant,0.364,drying,0.421,fruits,0.386,huibandry,0.517,potatoes,0.491,vegetation,0.504,soils,0.548,cultivatiou,0.734,intellectual,0.725,cultire,0.762,forestry,0.516,hysical,0.496,backwardness,0.432
18,oeconomy,0.363,herbs,0.419,shrubs,0.384,agricul,0.511,manuring,0.485,cultivat,0.502,tivating,0.546,iculture,0.733,cultivated,0.712,cuture,0.743,agrculture,0.513,beekeeping,0.481,tural,0.432
19,problems,0.363,improvement,0.419,vineyards,0.384,manures,0.51,cultivated,0.484,cultural,0.5,cultivat,0.545,housefeeding,0.728,lectual,0.709,cultivated,0.735,physioal,0.508,phvsical,0.479,ugliness,0.428
