,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,policy,0.437,hebrews,0.438,antiquities,0.508,covernment,0.528,governments,0.566,policy,0.658,religion,0.556,ethics,0.778,doctrine,0.839,doetrine,0.825,policv,0.634,policy,0.658,poicy,0.593
1,compendium,0.425,rligion,0.435,ethics,0.494,reigion,0.523,policy,0.551,policv,0.593,teligion,0.549,reigion,0.774,doctrines,0.819,doctriue,0.823,religion,0.63,nolicv,0.637,policy,0.539
2,institutions,0.393,civl,0.43,relig,0.486,jurifprudence,0.523,lawsand,0.539,polcy,0.566,fundamental,0.547,doctriie,0.771,doctine,0.815,dectrine,0.813,doctrine,0.63,policv,0.635,policv,0.519
3,origin,0.391,eccleflaftical,0.422,relgion,0.479,civil,0.515,monarchial,0.5,poliy,0.534,institutions,0.538,episcopacy,0.769,docrine,0.814,princioles,0.809,policy,0.628,poiicy,0.615,poiicy,0.498
4,antiquities,0.389,ecclesiastical,0.414,covernment,0.476,policy,0.513,inititutions,0.498,plicy,0.522,apostolical,0.531,religion,0.758,doctrino,0.811,doctrino,0.808,orthodoxy,0.613,oolicy,0.597,reorientation,0.481
5,civil,0.385,ecclesi,0.414,nitural,0.469,religion,0.508,civil,0.497,poiicy,0.519,policy,0.525,religiou,0.749,dogmas,0.804,doctrines,0.807,poliev,0.602,pclicy,0.597,enunciated,0.471
6,chronicle,0.38,ufages,0.412,reigion,0.458,inflitutions,0.493,fyltems,0.495,licy,0.486,doctrines,0.525,doctrino,0.747,dctrine,0.801,doctrine,0.803,protestantism,0.599,poliey,0.593,democ,0.469
7,echard,0.378,civii,0.409,aflronomy,0.453,government,0.493,policv,0.49,immutable,0.485,monarchical,0.521,doctrine,0.745,doctriues,0.799,religion,0.799,pobcy,0.594,polioy,0.592,propertyowning,0.462
8,religion,0.374,hiifory,0.408,religion,0.453,legillation,0.486,coultitution,0.49,poicy,0.485,leligion,0.521,fandamental,0.743,relgion,0.785,dootrine,0.799,dogmas,0.594,ciples,0.591,altruism,0.461
9,vol,0.368,ecclefiaffical,0.402,architefture,0.452,cuitoms,0.478,maxims,0.49,religions,0.484,astical,0.518,nonconformity,0.742,religioi,0.781,idoctrine,0.793,doctrines,0.594,pohcy,0.59,presupposes,0.46
10,attributes,0.367,eligion,0.401,natural,0.452,immutable,0.477,couflitution,0.489,international,0.479,ecclesiastical,0.518,christianity,0.742,dootrines,0.78,doctiine,0.788,tenets,0.59,doctrine,0.59,intransigence,0.459
11,reli,0.366,fiaftical,0.4,liftory,0.45,thecivil,0.473,fyflems,0.489,olicy,0.473,episcopacy,0.514,teligion,0.741,priuciples,0.779,piinciples,0.788,pohcy,0.588,doctrines,0.589,nomic,0.459
12,rcligion,0.366,establishd,0.397,hiftor,0.447,ufages,0.473,hiftoiy,0.489,polities,0.468,legislation,0.509,doctrines,0.739,tenets,0.778,doctrinee,0.785,doctrinal,0.588,poliev,0.587,eco,0.459
13,edir,0.364,civil,0.395,hiliory,0.443,principlesof,0.47,colonization,0.489,poliey,0.467,doctriues,0.508,roligion,0.735,beliefs,0.778,leligion,0.785,polcy,0.588,principles,0.586,politica,0.458
14,heathen,0.363,astical,0.392,afironomy,0.441,ethics,0.469,hiltury,0.488,polic,0.461,religiou,0.505,doctriue,0.732,doctrin,0.774,rehgion,0.785,dogma,0.588,laissezfaire,0.579,fundamental,0.458
15,history,0.363,siastical,0.391,hiftorv,0.439,religi,0.468,fyftems,0.488,religion,0.451,jurisprudence,0.501,religioi,0.731,doctiines,0.773,docrine,0.784,nationalism,0.587,toleration,0.578,orientation,0.456
16,chrilt,0.362,keligion,0.389,policy,0.439,princples,0.468,governmentthe,0.486,politics,0.45,institutious,0.501,retigion,0.731,religion,0.77,religicn,0.784,poiicy,0.586,poicy,0.577,conception,0.454
17,elements,0.358,origines,0.388,codex,0.435,rcligion,0.468,fundamental,0.486,poli,0.449,principles,0.498,fundamental,0.73,doctines,0.77,doctrin,0.783,princinles,0.583,fundamental,0.575,solvency,0.451
18,compendious,0.358,eccle,0.388,ligion,0.435,laws,0.464,systemof,0.484,political,0.434,doetrines,0.498,fundamentals,0.728,dootrine,0.77,iprinciples,0.782,evangelicalism,0.58,poliov,0.573,selfpreservation,0.449
19,laws,0.358,blomes,0.387,quities,0.435,monarchical,0.463,reiigion,0.484,natious,0.432,prisciples,0.495,theocracy,0.727,theprinciples,0.77,principlee,0.782,beliefs,0.579,conceptions,0.571,violates,0.448
20,nonconformity,0.357,maxims,0.385,fophy,0.435,governmcnt,0.462,govemment,0.482,morality,0.431,apostolic,0.491,tenets,0.727,doctrie,0.77,princinles,0.782,polioy,0.578,tenets,0.567,irreconcilable,0.446
21,hifory,0.356,religion,0.384,hiftery,0.433,principlei,0.461,religioni,0.481,ufages,0.43,subversion,0.49,dectrine,0.726,doctriue,0.77,principies,0.78,ipolicy,0.578,conception,0.564,licy,0.446
22,ecclesiastical,0.356,didtionary,0.383,manners,0.431,religiou,0.46,monarchies,0.481,governments,0.43,tenets,0.49,religon,0.725,doetrines,0.769,dogmas,0.78,fundamental,0.577,pobcy,0.564,fetish,0.446
23,langua,0.355,graphy,0.38,antiqui,0.429,hliftory,0.46,laws,0.479,institutions,0.428,constitution,0.49,leligion,0.723,dectrines,0.768,ohristianity,0.779,pclicy,0.576,negation,0.559,aims,0.445
24,treatire,0.354,ecclefiaftical,0.379,hitlory,0.429,topography,0.459,thepolitical,0.478,politicl,0.426,immutability,0.489,ethical,0.723,principies,0.768,religiou,0.778,olicy,0.576,polities,0.557,expansionist,0.445
25,mecum,0.352,geogr,0.378,hiilory,0.426,ecclefialtical,0.459,religion,0.478,legislation,0.424,doctrine,0.489,dootrine,0.72,rehgion,0.768,pinciples,0.778,teachings,0.576,beliefs,0.557,internationalism,0.445
26,bvo,0.352,ecclefiallical,0.377,chronology,0.425,principics,0.458,lavvs,0.478,maxims,0.423,dogmas,0.489,tianity,0.72,princiles,0.768,christianitv,0.776,poncy,0.574,nolicy,0.551,poli,0.443
27,hiftory,0.351,cvil,0.376,aftronomy,0.423,municipal,0.458,cgovernment,0.475,municipal,0.422,ecclesi,0.488,rellgion,0.72,doctrinc,0.767,religiona,0.776,perialism,0.572,polcy,0.549,administration,0.442
28,institution,0.35,pandect,0.375,arts,0.422,quities,0.456,religiou,0.474,statistics,0.419,principlesof,0.488,presbyterianism,0.72,doctiine,0.767,reiigion,0.775,nolicy,0.571,principle,0.548,overriding,0.44
29,hist,0.348,discipline,0.374,governmnent,0.42,principies,0.454,jurifprudence,0.474,systems,0.418,titutions,0.487,toleration,0.719,reliion,0.767,priiciples,0.775,politic,0.57,statesmanship,0.546,conceptions,0.439
30,ecclefiaftical,0.348,antiquit,0.374,laws,0.419,caledonians,0.454,poliey,0.474,sovereignly,0.416,fundamentally,0.487,docrine,0.719,ptinciples,0.767,doctrinea,0.774,fundamentals,0.567,attitude,0.545,twoparty,0.439
31,fundamental,0.346,didionary,0.374,cuffoms,0.419,agricul,0.453,jurisprudence,0.473,interets,0.416,stability,0.486,religien,0.718,fundamental,0.767,doctriues,0.774,erastian,0.566,ideology,0.545,dogmas,0.438
