,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,metaphors,0.514,imitations,0.54,vocal,0.555,poetic,0.556,oratorical,0.66,oratorical,0.865,epigrammatic,0.859,rhetoric,0.886,rhetoric,0.774,oratorical,0.691,edifying,0.614
1,torical,0.5,vccal,0.5,vocil,0.498,oratory,0.545,oratory,0.608,declamatory,0.842,oratorical,0.857,oratorical,0.879,oratorical,0.734,polemical,0.647,rhetoric,0.613
2,incoherent,0.496,vocal,0.489,yocal,0.476,figurative,0.545,rhetoric,0.604,declamation,0.823,rhetoric,0.852,sophistical,0.865,eloquence,0.674,invective,0.64,comprehensible,0.609
3,allegories,0.49,tambourine,0.484,pantomimical,0.476,poetical,0.541,declamation,0.563,rhetoric,0.794,invective,0.851,invective,0.856,demagogic,0.654,casuistry,0.637,vulgar,0.607
4,fignificant,0.47,giorgis,0.482,voca,0.476,declamatory,0.531,declamatory,0.559,epigrammatic,0.791,declamation,0.847,vituperation,0.855,vituperative,0.651,platitudinous,0.636,oratorical,0.606
5,grammatical,0.469,vocai,0.479,recitations,0.474,criticism,0.525,commonplace,0.545,metaphors,0.787,sophistical,0.823,declamation,0.85,argumentative,0.64,dialectical,0.632,meaningless,0.605
6,emphatical,0.468,vocil,0.47,vocl,0.471,oratorical,0.522,eloquence,0.54,didactic,0.781,rhapsodical,0.818,vituperative,0.838,phrases,0.639,denunciatory,0.626,generalities,0.601
7,metaphor,0.464,rogier,0.462,bannisterjun,0.464,plagiarism,0.522,phrases,0.527,oratory,0.77,verbosity,0.816,metaphorical,0.832,declamation,0.639,vituperative,0.626,altruism,0.598
8,phrafes,0.463,rossignol,0.46,farcical,0.462,satiric,0.522,sophistry,0.525,sophistical,0.768,flippancy,0.812,eloquence,0.832,epigrammatic,0.639,highflown,0.626,phrase,0.597
9,epithets,0.453,torical,0.46,mimicry,0.46,declama,0.519,pertness,0.524,eloquence,0.76,highflown,0.812,selfglorification,0.824,verbiage,0.63,dialectics,0.618,generalisation,0.597
10,significant,0.441,voca,0.456,vocaland,0.459,theoretical,0.517,phraseology,0.518,bombastic,0.759,didactic,0.81,argumentation,0.824,platitudes,0.63,didactic,0.618,materialist,0.593
11,ridicu,0.44,toric,0.455,vucal,0.457,bombastic,0.516,figurative,0.516,dialectical,0.759,declamatory,0.81,cynicism,0.819,hyperbole,0.628,vulgar,0.615,cliche,0.592
12,uncouth,0.438,comic,0.454,bannifter,0.457,lyrical,0.513,poetic,0.508,discursiveness,0.758,buffoonery,0.81,glibness,0.813,meretricious,0.624,fulsome,0.612,abstruse,0.592
13,jargon,0.438,daigville,0.454,ratical,0.452,poetry,0.512,dialectics,0.504,captandum,0.758,jocularity,0.809,grandiloquent,0.812,bombast,0.624,platitudes,0.612,invective,0.591
14,parsing,0.435,inltrumental,0.453,dranatic,0.451,eloquence,0.512,subtilty,0.5,sarcasm,0.757,argumentation,0.807,scurrility,0.81,generalities,0.622,tubthumping,0.612,oftrepeated,0.588
15,allufions,0.433,verfification,0.453,voeal,0.45,dialogue,0.511,poetical,0.493,claptrap,0.756,sarcasm,0.807,adulation,0.809,dialectic,0.622,churchillian,0.611,ephemeral,0.587
16,phrases,0.432,imagery,0.452,catches,0.448,colloquial,0.51,grammatical,0.492,pedantic,0.754,cynicism,0.804,epigrammatic,0.809,blatant,0.62,grandiloquent,0.607,churchillian,0.587
17,tropes,0.431,champnefs,0.449,vocat,0.447,commonplace,0.51,tropes,0.49,rhapsodical,0.753,selfassertion,0.8,rhodomontade,0.809,verbosity,0.62,phrases,0.605,vitriolic,0.585
18,crabbed,0.429,vecal,0.447,thevocal,0.445,versatility,0.506,farfetched,0.487,dialectics,0.752,rheto,0.799,vective,0.808,polemical,0.62,meaningless,0.602,cliches,0.583
