,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,betimes,0.537,betimes,0.582,carly,0.519,carly,0.634,carly,0.775,carly,0.826,earlv,0.808,earlv,0.867,earlv,0.927,eirly,0.911,earlv,0.91,earlv,0.842,eariy,0.843,eariy,0.797
1,campagne,0.444,campaign,0.451,betimes,0.461,folicits,0.363,eirly,0.676,earlv,0.752,eaily,0.802,eariy,0.81,eariy,0.917,earlv,0.881,eariy,0.899,eariy,0.833,earlv,0.841,earlv,0.786
2,field,0.423,campagne,0.409,morning,0.44,morning,0.361,earlv,0.668,eariy,0.748,eariy,0.792,eaily,0.806,eariv,0.905,esrly,0.877,esrly,0.892,earlj,0.795,oarly,0.79,earlj,0.703
3,campaign,0.417,morning,0.409,alorning,0.424,purfuit,0.349,eariy,0.593,eirly,0.739,carly,0.788,eariv,0.776,earlj,0.88,eariy,0.871,earlj,0.884,eariv,0.789,earlj,0.754,eary,0.689
4,pagne,0.395,spring,0.405,morn,0.393,eatly,0.348,eaily,0.577,eaily,0.713,eariv,0.759,enrly,0.767,oarly,0.871,oarly,0.871,eirly,0.881,oarly,0.769,eaily,0.746,earjy,0.682
5,spring,0.394,offensively,0.389,morhing,0.386,lafl,0.339,tarly,0.568,eatly,0.687,eirly,0.734,eatly,0.746,eirly,0.868,earlj,0.867,sarly,0.866,earjy,0.742,eariv,0.743,tarly,0.676
6,formidable,0.389,field,0.376,spring,0.372,lad,0.338,caily,0.464,eariv,0.671,carlv,0.703,esrly,0.737,esrly,0.863,eariv,0.842,earjy,0.853,carlv,0.728,earjy,0.724,carlv,0.621
7,vigorously,0.368,numerous,0.375,morring,0.345,evenirg,0.337,rarly,0.45,easly,0.624,eatly,0.703,carlv,0.728,eaily,0.853,enrly,0.832,enrly,0.853,eirly,0.724,oarlv,0.724,eariv,0.615
8,successful,0.358,gampaign,0.368,mornirg,0.341,morn,0.334,erly,0.444,tarly,0.587,enrly,0.602,eirly,0.722,carlv,0.853,tarly,0.793,eariv,0.846,earfy,0.721,carlv,0.72,eany,0.59
9,morning,0.349,undertaking,0.366,eatly,0.34,jobfon,0.325,morning,0.439,earlj,0.582,tarly,0.599,carly,0.711,enrly,0.851,carly,0.791,oarly,0.843,earlr,0.713,eirly,0.719,eaily,0.588
10,enterprise,0.344,morn,0.364,affive,0.339,mornin,0.325,eatly,0.427,carlv,0.581,earty,0.597,eairly,0.658,sarly,0.766,etrly,0.79,tarly,0.843,eajly,0.708,eatly,0.71,earv,0.581
11,attack,0.335,vigorous,0.358,mornings,0.332,campaign,0.324,exceflive,0.406,esrly,0.572,eailv,0.596,eurly,0.644,earjy,0.764,eaxly,0.786,earfy,0.837,eaxly,0.705,tarly,0.697,arly,0.577
12,powerful,0.332,opportu,0.353,7night,0.325,neighbour,0.324,mprning,0.405,rarly,0.564,esrly,0.591,eailv,0.634,earfy,0.764,carlv,0.784,earlr,0.824,tarly,0.682,karly,0.68,earlier,0.563
13,fuddainly,0.332,forward,0.344,formidable,0.322,moming,0.322,felfpollution,0.399,caily,0.56,eairly,0.573,etirly,0.624,carly,0.759,earjy,0.776,eaxly,0.823,oarlv,0.671,farly,0.676,karly,0.56
14,flanders,0.332,active,0.343,unruly,0.32,aftive,0.322,morn,0.391,earlier,0.552,earlj,0.561,oarly,0.605,enrlv,0.758,sarly,0.773,carlv,0.815,karly,0.667,earlr,0.655,farlv,0.534
15,battel,0.33,vigilant,0.34,momning,0.319,spring,0.32,fummer,0.391,etrly,0.544,eafly,0.537,earty,0.604,eatly,0.758,karly,0.765,etrly,0.809,eerly,0.664,rarly,0.654,farly,0.533
16,readiness,0.326,readi,0.338,piety,0.319,theevening,0.32,betimes,0.387,earty,0.507,rarly,0.533,earlj,0.599,•arly,0.737,eairly,0.761,esrlv,0.797,esrly,0.661,esrly,0.652,sarly,0.524
