,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,kaperi,0.76,khanat,0.683,khanat,0.679
1,landafträdelse,0.752,niger,0.678,arkipelag,0.669
2,kompensation,0.747,zulfikar,0.676,landsträcka,0.663
3,nndersåter,0.742,landsträcka,0.669,zulfikar,0.663
4,öfverherrskap,0.739,arkipelag,0.667,nyassasjön,0.656
5,slafegarne,0.737,liaotong,0.66,liaotong,0.655
6,undantagsställning,0.725,turkestans,0.659,turkestans,0.652
7,nationalskuld,0.724,nyassasjön,0.659,niger,0.652
8,daimios,0.719,mandschuriet,0.655,lydstat,0.647
9,wallachi,0.717,epirus,0.65,mandschuriet,0.646
10,försvarande,0.715,lydstat,0.649,intressesferen,0.645
11,occupation,0.714,tonkins,0.648,kapkolonien,0.644
12,sydslav,0.714,landafträdelse,0.646,lydland,0.643
13,bolgrad,0.713,intressesferen,0.643,territorium,0.643
14,carlismen,0.713,lydland,0.641,epirus,0.64
15,rumeniens,0.713,zanzibars,0.641,landafträdelse,0.639
16,territoriel,0.712,bessarabien,0.638,tonkins,0.639
17,konfederade,0.709,enklav,0.636,enklav,0.638
18,nordöstlig,0.707,kambodja,0.636,handelsväg,0.635
19,inleressen,0.707,handelsväg,0.636,militärväg,0.635
20,härstyrka,0.707,kompensation,0.636,kambodja,0.635
21,autonom,0.706,thessaliens,0.636,colonier,0.633
22,försvarskraft,0.706,vasallstat,0.635,bolgrad,0.632
23,defensivallians,0.705,ockupationstrupp,0.635,thessaliens,0.631
24,mellanstaterna,0.705,kuha,0.635,ockuperadt,0.629
25,ockupationstrupp,0.705,ockuperadt,0.634,balkanbalfön,0.629
26,lydstat,0.704,militärväg,0.634,zanzibars,0.629
27,innebnre,0.704,colonier,0.633,vasallstat,0.629
28,krigskostnadsersättning,0.703,balkanbalfön,0.633,deltaland,0.629
29,patagonien,0.703,bolgrad,0.632,kuha,0.629
30,fueros,0.702,tripoli,0.631,kompensation,0.628
31,tumsbredd,0.702,deltaland,0.631,ceuta,0.628
32,reservarmé,0.701,landsdelarne,0.629,kurdistan,0.628
33,furstedömet,0.701,fästningsfyrkanten,0.629,skyddsvälde,0.628
34,colonier,0.7,skyddsvälde,0.627,landsdelarne,0.627
35,eqvivalent,0.7,egeisk,0.627,kolfält,0.626
36,ockuperadt,0.699,atschin,0.627,ockupationstrupp,0.626
37,eröfrande,0.697,assab,0.626,atschin,0.625
38,thessaliens,0.697,territorium,0.626,bessarabien,0.625
39,skyddstullarne,0.697,hainau,0.625,assab,0.623
40,taikuns,0.695,gammalserbien,0.625,hainau,0.622
41,rajahs,0.695,novibazar,0.625,tripoli,0.622
42,förlänande,0.694,tonking,0.625,tessalien,0.621
43,insnrgenterne,0.694,herligdömena,0.624,egeisk,0.619
44,familjeförbindelse,0.694,makedonien,0.623,landssträckor,0.619
45,gheter,0.694,birmas,0.623,boliviansk,0.619
46,härsmakt,0.694,kurdistan,0.623,tonking,0.619
47,fördragsenlig,0.693,afträdande,0.623,kornbod,0.619
48,försvarskrig,0.693,tenessee,0.622,fästningsfyrkanten,0.618
49,höghetsrätt,0.692,boliviansk,0.622,kolonierne,0.618
50,pacifikation,0.691,tessalien,0.622,okultiverad,0.618
51,landsdelarnes,0.691,dobrudscha,0.622,tenessee,0.618
52,folkstammarne,0.691,kolfält,0.622,gammalserbien,0.617
53,förtryckande,0.69,zulfikarpasset,0.621,balfön,0.617
54,öfverherre,0.689,luxembourgs,0.621,sydafrikansk,0.616
55,besittningstagande,0.689,khokand,0.62,makedonien,0.615
56,kolonierne,0.689,kapkolonien,0.62,thessalien,0.615
57,federalism,0.689,beludschistan,0.619,novibazar,0.615
58,ärhällit,0.688,thessalien,0.618,afträdande,0.615
59,genomtåg,0.688,kolonierne,0.618,herligdömena,0.615
60,siebenburgen,0.688,waadt,0.617,kustområde,0.615
61,militärstat,0.688,umbrien,0.617,chihuahua,0.614
62,storherrns,0.688,ockupering,0.617,beludschistan,0.614
63,ockupering,0.688,bokhara,0.616,khokand,0.613
64,förbundstrupperna,0.688,transkaspiska,0.616,zulfikarpasset,0.613
65,parisertraktaten,0.688,landssträckor,0.616,luxembourgs,0.612
66,hugadt,0.688,balfön,0.616,maktsfer,0.612
67,venetianarne,0.687,chihuahua,0.615,birmas,0.612
68,herligdömena,0.687,rhenprovinserna,0.615,slafstaterna,0.611
69,krigsskadeersättning,0.686,sennaar,0.614,dobrudscha,0.609
70,friköpande,0.686,okultiverad,0.613,waadt,0.609
71,donauländerna,0.685,gränsflod,0.613,öfverherrskap,0.609
72,armenien,0.684,istrien,0.613,ockupering,0.609
73,marinbudgeten,0.684,maktsfer,0.613,flottafdelning,0.609
74,förbundsexekutionen,0.684,kustområde,0.613,ilerzegovina,0.608
75,mexicanarne,0.684,rumeniens,0.612,thracien,0.608
76,muhamedanerne,0.684,mellanstaterna,0.612,transkaspiska,0.608
77,beduinerne,0.684,samarkand,0.612,eqvatorialprovinsen,0.608
78,insurrectionen,0.684,donaufurstendömena,0.612,istrien,0.607
79,försvarssystem,0.684,öfverherrskap,0.611,umbrien,0.607
80,deiför,0.684,flottafdelning,0.611,mellanstaterna,0.607
81,civilförvaltning,0.684,afträdelse,0.611,aralsjön,0.607
82,vinterfälttåg,0.684,eqvatorialprovinsen,0.611,rhenprovinserna,0.607
83,neutralisering,0.683,tarapaca,0.611,negerrike,0.606
84,förspilt,0.683,negerrike,0.61,zambesi,0.605
