,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,stånds,0.832,embetsmannavälde,0.761,statssamhälle,0.7,statssamhälle,0.7
1,upprätthållare,0.821,sjelfbestämmelserätt,0.742,sjelfbeständ,0.69,sjelfbeständ,0.69
2,lärowcrk,0.8,frihandelsprincip,0.74,herrfla,0.689,herrfla,0.689
3,medborgareklasser,0.8,statsordning,0.735,ckonomista,0.688,ckonomista,0.688
4,wäljes,0.799,peiska,0.735,wälsinnade,0.684,wälsinnade,0.684
5,finaneiella,0.799,grundegendom,0.734,wälbesinnande,0.681,wälbesinnande,0.681
6,siett,0.797,återupprättelse,0.732,sramätskridande,0.679,sramätskridande,0.679
7,oppositionsparti,0.796,lifsprincip,0.732,wadliga,0.677,wadliga,0.677
8,lojhet,0.794,framtidsmål,0.731,landtbrukande,0.676,landtbrukande,0.676
9,stiftning,0.794,sidoordnad,0.731,näringsidkande,0.675,näringsidkande,0.675
10,fruntimmersförening,0.794,fyrdelning,0.73,enstiltes,0.674,enstiltes,0.674
11,ogilladt,0.793,likaberättigande,0.73,wärnande,0.671,wärnande,0.671
12,sockennämd,0.792,majlagarne,0.727,ästädningssätt,0.67,ästädningssätt,0.67
13,quarantaines,0.79,undergräfvande,0.727,lefnadswilkor,0.67,lefnadswilkor,0.67
14,förblifvit,0.79,näringsidkande,0.726,samhällslifwet,0.668,medborgareklasser,0.67
15,civilrätt,0.789,feodalism,0.725,förbindelsemedel,0.668,samhällslifwet,0.668
16,samhällelig,0.789,riksbag,0.724,uttveckling,0.668,förbindelsemedel,0.668
17,neinl,0.789,förderflighet,0.724,omrädct,0.667,uttveckling,0.668
18,stickelighet,0.788,afväpningen,0.723,sjelsstyrelse,0.667,omrädct,0.667
19,rädflag,0.788,ästädningssätt,0.723,beflägtade,0.666,sjelsstyrelse,0.667
20,jordegande,0.788,jemlik,0.723,finaneiella,0.665,besutna,0.667
21,coh,0.787,landsdelarnes,0.723,ekonomifl,0.665,beflägtade,0.666
22,handelsklass,0.787,öfverhetens,0.723,fyrdelning,0.665,finaneiella,0.665
23,noriges,0.786,statsenhet,0.723,intrehe,0.664,ekonomifl,0.665
24,valnämnd,0.786,lörsvar,0.722,medborgareklasser,0.663,fyrdelning,0.665
25,losen,0.786,wadliga,0.722,förelysa,0.663,intrehe,0.664
26,samhällsförbättring,0.786,monopolier,0.72,samhälla,0.662,förelysa,0.663
27,riksdagsmannawalen,0.785,antirepublikansk,0.719,stägtets,0.662,samhälla,0.662
28,anhöllos,0.785,sjelfbestämningsrätt,0.719,samhällsband,0.662,stägtets,0.662
29,medelporto,0.785,folck,0.719,statssystem,0.661,samhällsband,0.662
30,penningrörelse,0.785,jemlikhetens,0.718,förswarswäsen,0.66,statssystem,0.661
31,hviken,0.785,retrograd,0.717,besutna,0.66,förswarswäsen,0.66
32,medlemmarnes,0.784,federalistisk,0.717,provinciella,0.659,provinciella,0.659
33,förtjenstcr,0.783,skogssköflingen,0.717,muhamedansta,0.659,muhamedansta,0.659
34,wadliga,0.782,korrumpera,0.716,framätflridande,0.658,förkofring,0.659
35,afföda,0.782,likaberättigad,0.716,militärwäsendet,0.658,framätflridande,0.658
